木村拓哉	기무라 다쿠야
新海誠	신카이 마코토
鈴木大地	스즈키 다이치
加藤勝信	가토 가쓰노부
山本幸三	야마모토 고조
今村雅弘	이마무라 마사히로
宮本茂	미야모토 시게루
こうだ くみ	고다 구미
田中雪男	다나카 유키오
妹尾あいこ	세노오 아이코
上条当麻	가미조 도마
小泉純一郎	고이즈미 준이치로
東條希	도조 노조미
遠藤正明	엔도 마사아키
是枝裕和	고레에다 히로카즈
井上敏樹	이노우에 도시키
麻生太郎	아소 다로
東京	도쿄
九州	규슈
新潟	니가타
大阪	오사카
秋葉原	아키하바라
北海道	홋카이도
京都	교토
神戸	고베
姫路	히메지
嵐山	아라시야마
西表	이리오모테
渋谷	시부야
東北	도호쿠
自由ヶ丘	지유가오카
鳩ヶ谷	하토가야
茅ヶ崎	지가사키
関ヶ原	세키가하라
兼松	가네마쓰
カルビー	가루비
京セラ	교세라
九州おぎはら産業	규슈오기하라산교
任天堂	닌텐도
日産	닛산
ダイソー	다이소
東芝	도시바
三菱	미쓰비시
三洋	산요
セガ	세가
ソニー	소니
日立	히타치
スタジオジブリ	스타지오지부리
寿司	스시
丼	돈부리
麺類	멘루이
刺身	사시미
山葵	와사비
焼き蕎麦	야키소바
たこやき	다코야키
天空の城ラピュタ	덴쿠노시로라퓨타
風の谷のナウシカ	가제노타니노나우시카
新世紀エヴァンゲリオン	신세이키에반게리온
嫌われ松子の一生	기라와레마쓰코노잇쇼
世界の中心で、愛をさけぶ	세카이노추신데, 아이오사케부
いま、会いにゆきます	이마, 아이니유키마스
スレイヤーズ	스레이야즈
美少女戦士セーラームーン	비쇼조센시세라문
ポケットモンスター	포켓토몬스타
デジタルモンスター	데지타루몬스타
魔女の宅急便	마조노탓큐빈
神秘の世界エルハザード	신피노세카이에루하자도
天地無用	덴치무요
ああっ女神さまっ	아앗메가미사맛
ハウルの動く城	하우루노우고쿠시로
言の葉の庭	고토노하노니와
魔界戦記ディスガイア	마카이센키디스가이아
スーパーマリオ	스파마리오
犬夜叉	이누야샤
君の名は。	기미노나하.
歴史への招待	레키시헤노쇼타이
温泉へ行こう!	온센헤이코!
パソコン	파소콘
トイレット	도이렛토
バス	바스
タクシー	다쿠시
キーボード	기보도
マクドナルド	마쿠도나루도
ディーブイディー	디부이디
ヴァイオリン	바이오린
ヴナロード	브나로도
ニヴヒ	니브히
ネゲヴ	네게브
モルジヴ	모루지브
テルアヴィヴヤッフォ	데루아비브얏포
時々	도키도키
人々	히토비토
山々	야마야마
個々	고코
翌々日	요쿠요쿠지쓰
代々木	요요기
さゝき	사사키
いすゞ	이스즈
バナヽ	바나나
いすゞ自動車	이스즈지도샤
いいえ	이에
かわいい	가와이이
思う	오모우
縫う	누우
聞いて	기이테
青森は寒かろう	아오모리하사무카로
ごはんを食べよう	고한오타베요
きれいだろう	기레이다로
起きよう	오키요
話さなかろう	하나사나카로
起きさせよう	오키사세요
本物らしい	혼모노라시
アーボ	아보
ピカチュウ	피카추
ライチュウ	라이추
プリン	푸린
パラス	파라스
ディグダ	디구다
ガーディ	가디
ケーシィ	게시
ヤドン	야돈
ヤドラン	야도란
ゴース	고스
ゴースト	고스토
ルージュラ	루주라
ラプラス	라푸라스
メタモン	메타몬
イーブイ	이부이
プテラ	푸테라
ミュウ	뮤
