Şəmkir	s j e m . k i . l ɯ
jurnal	dʒ u . l ɯ . n a l
Abşeron	a b . s j e . l o n
Lənkəran	l e n . k e . l a n
Şirvan	s i . l ɯ . b a n
Mingəçevir	m i n . ɡ e . tʃ e . b i . l ɯ
Naxçıvan	n a . h ɯ . tʃ ɯ . b a n
Zaqatala	dʒ a . ɡ a . t a l . l a
Naftalan	n a . p ɯ . t a l . l a n
Bakı	b a . k ɯ
Xınalıq	h ɯ . n a l . l ɯ . k ɯ
Azərbaycan	a . dʒ e . l ɯ . b a . i . dʒ a n
Yevlax	j e . b ɯ l . l a . h ɯ
Tovuz	t o . b u . s ɯ
Bülbül	b w i l . b w i l
Qobustan	ɡ o . b u . s ɯ . t a n
Gəncə	ɡ e n . dʒ e
Xaçmaz	h a . tʃ i . m a . s ɯ
Şəki	s j e . k i
Füzuli	p w i . dʒ u l . l i
Xırdalan	h ɯ . l ɯ . d a l . l a n
Salyan	s a l . l i . a n
Talış	t a l . l ɯ . s j u
Ağdam	a . ɡ ɯ . d a m
Qəbələ	ɡ e . b e l . l e
