Şəmkir	솀키르	sjemkʰilɯ
Sumqayıt	숨가이으트	sumgaiɯtʰɯ
jurnal	주르날	t͡ɕulɯnal
Abşeron	압셰론	aps͈jelon
Lənkəran	렌케란	lenkʰelan
Şirvan	시르반	silɯban
Mingəçevir	민게체비르	minget͡ɕʰebilɯ
Naxçıvan	나흐츠반	nahɯt͡ɕʰɯban
Zaqatala	자가탈라	t͡ɕagatʰalla
Naftalan	나프탈란	napʰɯtʰallan
Bakı	바크	pakʰɯ
Xınalıq	흐날르크	hɯnallɯkʰɯ
Azərbaycan	아제르바이잔	ad͡ɕelɯbaid͡ɕan
Yevlax	예블라흐	jebɯllahɯ
Tovuz	토부스	tʰobusɯ
Bülbül	뷜뷜	pwilbwil
Qobustan	고부스탄	kobusɯtʰan
Gəncə	겐제	kend͡ɕe
Xaçmaz	하치마스	hat͡ɕʰimasɯ
Şəki	셰키	sjekʰi
Füzuli	퓌줄리	pʰwid͡ɕulli
Xırdalan	흐르달란	hɯlɯdallan
Salyan	살리안	sallian
Talış	탈르슈	tʰallɯsju
Ağdam	아그담	agɯdam
Qəbələ	게벨레	kebelle
