София	s o p i j a
Смолян	s ɯ m o l l j a n
Родопи	l o d o p i
Девня	d e b ɯ n j a
Мусала	m u s a l l a
Златоград	dʒ ɯ l l a t o g ɯ l a d ɯ
Банско	b a n s ɯ k o
Сливен	s ɯ l l i b e n
Крум	k ɯ l u m
Добрич	d o b ɯ l i tʃ i
Мелник	m e l l i k ɯ
Свещари	s ɯ b e s j u t a l i
Пещера	p e s j u t e l a
Созопол	s o dʒ o p o l
Казанлък	k a dʒ a l l ʌ k ɯ
Рила	l i l l a
Евксиноград	e p ɯ k ɯ s i n o g ɯ l a d ɯ
Търговище	t ʌ l ɯ g o b i s j u t e
Бургас	b u l ɯ g a s ɯ
Ралица	l a l l i tʃ a
Петрич	p e t ɯ l i tʃ i
Варна	b a l ɯ n a
Кърджали	k ʌ l ɯ dʒ a l l i
Дуранкулак	d u l a n k u l l a k ɯ
Исперих	i s ɯ p e l i h ɯ
Плевен	p ɯ l l e b e n
Кюстендил	k j u s ɯ t e n d i l
Асеновград	a s e n o b ɯ g ɯ l a d ɯ
Несебър	n e s e b ʌ l ɯ
Мадара	m a d a l a
Панагюрище	p a n a g j u l i s j u t e
Пловдив	p ɯ l l o b ɯ d i p ɯ
Пирин	p i l i n
Добърско	d o b ʌ l ɯ s ɯ k o
Искър	i s ɯ k ʌ l ɯ
