София	소피야	sopʰija
Смолян	스몰랸	sɯmolljan
Родопи	로도피	lodopʰi
Девня	데브냐	tebɯnja
Мусала	무살라	musalla
Златоград	즐라토그라드	t͡ɕɯllatʰogɯladɯ
Банско	반스코	pans͈ɯkʰo
Сливен	슬리벤	sɯlliben
Крум	크룸	kʰɯlum
Добрич	도브리치	tobɯlit͡ɕʰi
Мелник	멜니크	mellikʰɯ
Свещари	스베슈타리	sɯbesjutʰali
Пещера	페슈테라	pʰesjutʰela
Созопол	소조폴	sod͡ɕopʰol
Казанлък	카잔러크	kʰad͡ɕallʌkʰɯ
Рила	릴라	lilla
Евксиноград	에프크시노그라드	epʰɯkʰɯsinogɯladɯ
Търговище	터르고비슈테	tʰʌlɯgobisjutʰe
Бургас	부르가스	pulɯgasɯ
Ралица	랄리차	lallit͡ɕʰa
Петрич	페트리치	pʰetʰɯlit͡ɕʰi
Варна	바르나	palɯna
Кърджали	커르잘리	kʰʌlɯd͡ɕalli
Дуранкулак	두란쿨라크	tulankʰullakʰɯ
Исперих	이스페리흐	isɯpʰelihɯ
Плевен	플레벤	pʰɯlleben
Кюстендил	큐스텐딜	kʰjusɯtʰendil
Асеновград	아세노브그라드	asenobɯgɯladɯ
Несебър	네세버르	nesebʌlɯ
Мадара	마다라	madala
Панагюрище	파나규리슈테	pʰanagjulisjutʰe
Пловдив	플로브디프	pʰɯllobɯdipʰɯ
Пирин	피린	pʰilin
Добърско	도버르스코	tobʌlɯsɯkʰo
Искър	이스커르	isɯkʰʌlɯ
