Montserrat	m o n . s e . l a . t ɯ
Empúries	e m . p u . l i . e . s ɯ
Rosselló	l o . s e l . l j o
Andorra	a n . d o . l a
Elx	e l . s i
Eivissa	e . i . b i . s a
Ribagorça	l i . b a . ɡ o . l ɯ . s a
llengua	l j e ŋ . ɡ w a
Pallars	p a l . l j a . l ɯ . s ɯ
modernisme	m o . d e . l ɯ . n i . dʒ ɯ . m e
Espanyol	e . s ɯ . p a . n j o l
Cerdanya	s e . l ɯ . d a . n j a
Arantxa	a . l a n . tʃ a
Manresa	m a n . l e . dʒ a
Girona	dʒ i . l o . n a
Lleida	l j e . i . d a
Barça	b a . l ɯ . s a
Montjuïc	m o n . dʒ u . i . k ɯ
Palma	p a l . m a
Tarragona	t a . l a . ɡ o . n a
Alacant	a l . l a . k a n
Berga	b e . l ɯ . ɡ a
Canigó	k a . n i . ɡ o
Figueres	p i . ɡ e . l e . s ɯ
Barcelona	b a . l ɯ . s e l . l o . n a
Conflent	k o n . p ɯ l . l e n
Urgell	u . l ɯ . dʒ e l
València	b a l . l e n . s i . a
Besalú	b e . dʒ a l . l u
Catalunya	k a . t a l . l u . n j a
Renaixença	l e . n a . s j e n . s a
Osona	o . dʒ o . n a
