Montserrat	몬세라트	mons͈elatʰɯ
Empúries	엠푸리에스	empʰuliesɯ
Rosselló	로셀료	loselljo
Andorra	안도라	andola
Elx	엘시	els͈i
Eivissa	에이비사	eibisa
Ribagorça	리바고르사	libagolɯsa
llengua	롕과	ljeŋgwa
Pallars	팔랴르스	pʰalljalɯsɯ
modernisme	모데르니즈메	modelɯnid͡ɕɯme
Espanyol	에스파뇰	esɯpʰanjol
Cerdanya	세르다냐	selɯdanja
Arantxa	아란차	alant͡ɕʰa
Manresa	만레자	malled͡ɕa
Girona	지로나	t͡ɕilona
Lleida	례이다	ljeida
Barça	바르사	palɯsa
Montjuïc	몬주이크	mond͡ɕuikʰɯ
Palma	팔마	pʰalma
Tarragona	타라고나	tʰalagona
Alacant	알라칸	allakʰan
Berga	베르가	pelɯga
Canigó	카니고	kʰanigo
Figueres	피게레스	pʰigelesɯ
Barcelona	바르셀로나	palɯsellona
Conflent	콘플렌	kʰonpʰɯllen
Urgell	우르젤	ulɯd͡ɕel
València	발렌시아	pallens͈ia
Besalú	베잘루	ped͡ɕallu
Catalunya	카탈루냐	kʰatʰallunja
Renaixença	레나셴사	lenasjens͈a
Osona	오조나	od͡ɕona
