kachna	k a . h ɯ . n a
kulečnik	k u l . l e . tʃ i . n i . k ɯ
šaty	s j a . t i
dech	d e . h ɯ
hořký	h o . l ɯ . s j u . k i
zámek	dʒ a . m e . k ɯ
nemocnice	n e . m o . tʃ ɯ . n i . tʃ e
ledvina	l e . d ɯ . b i . n a
quasi	k ɯ . b a . s i
nemoc	n e . m o . tʃ ɯ
matka	m a . t ɯ . k a
chlapec	h ɯ l . l a . p e . tʃ ɯ
šest	s j e . s ɯ . t ɯ
mrak	m ɯ . l a . k ɯ
nikdy	n i . k ɯ . d i
pozdní	p o . dʒ ɯ . d ɯ . n i
úrok	u . l o . k ɯ
kouř	k o . u . l ɯ . s i
koroptev	k o . l o b . t e . p ɯ
oběť	o . b e . t i
jaro	j a . l o
loďka	l o . t i . k a
humr	h u . m ɯ . l ɯ
bolest	b o l . l e . s ɯ . t ɯ
hmyz	h ɯ . m i . s ɯ
barva	b a . l ɯ . b a
pokoj	p o . k o . i
míč	m i . tʃ i
léto	l e . t o
jazýk	j a . dʒ i . k ɯ
hadr	h a . d ɯ . l ɯ
balík	b a l . l i . k ɯ
námořník	n a . m o . l ɯ . dʒ u . n i . k ɯ
kov	k o . p ɯ
tělo	t e l . l o
věk	b e . k ɯ
žvěřina	dʒ u . b e . l ɯ . dʒ i . n a
mozek	m o . dʒ e . k ɯ
Brož	b ɯ . l o . s i
hruď	h ɯ . l u . t i
xerox	dʒ e . l o ɡ . s ɯ
prach	p ɯ . l a . h ɯ
choditi	h o . d i . t i
postel	p o . s ɯ . t e l
harmonika	h a . l ɯ . m o . n i . k a
nos	n o . s ɯ
dobrý	d o . b ɯ . l i
padák	p a . d a . k ɯ
šplhati	s j u . p ɯ l . h a . t i
máslo	m a . s ɯ l . l o
kino	k i . n o
čapek	tʃ a . p e . k ɯ
saxofón	s a ɡ . s o . p o n
bez	b e . s ɯ
Praha	p ɯ . l a . h a
buben	b u . b e n
nervózni	n e . l ɯ . b o . dʒ ɯ . n i
míra	m i . l a
podzim	p o . d ɯ . dʒ i m
řeka	l ɯ . dʒ e . k a
šternberk	s j u . t e . l ɯ n . b e . l ɯ . k ɯ
ďábel	d j a . b e l
gramofon	ɡ ɯ . l a . m o . p o n
knoflík	k ɯ . n o . p ɯ l . l i . k ɯ
myš	m i . s i
kolo	k o l . l o
sáňky	s a n . k i
štěstí	s j u . t e . s ɯ . t i
bůh	b u . h ɯ
ruka	l u . k a
strop	s ɯ . t ɯ . l o . p ɯ
puška	p u . s j u . k a
vysoký	b i . s o . k i
divadlo	d i . b a . d ɯ l . l o
knihovna	k ɯ . n i . h o . b ɯ . n a
fík	p i . k ɯ
obchod	o b . h o . t ɯ
tam	t a m
Plzeň	p ɯ l . dʒ e n
led	l e . t ɯ
líný	l i . n i
jeřab	j e . l ɯ . dʒ a . p ɯ
most	m o . s ɯ . t ɯ
lev	l e . p ɯ
mír	m i . l ɯ
žižka	dʒ i . s j u . k a
obec	o . b e . tʃ ɯ
komár	k o . m a . l ɯ
cigareta	tʃ i . ɡ a . l e . t a
němý	n e . m i
dům	d u m
odpadky	o . t ɯ . p a . t ɯ . k i
noha	n o . h a
koš	k o . s i
podmínka	p o . d ɯ . m i n . k a
sedlo	s e . d ɯ l . l o
