kachna	카흐나	kʰahɯna
kulečnik	쿨레치니크	kʰullet͡ɕʰinikʰɯ
šaty	샤티	sjatʰi
dech	데흐	tehɯ
hořký	호르슈키	holɯsjukʰi
zámek	자메크	t͡ɕamekʰɯ
nemocnice	네모츠니체	nemot͡ɕʰɯnit͡ɕʰe
ledvina	레드비나	ledɯbina
quasi	크바시	kʰɯbasi
nemoc	네모츠	nemot͡ɕʰɯ
matka	마트카	matʰɯkʰa
chlapec	흘라페츠	hɯllapʰet͡ɕʰɯ
šest	셰스트	sjesɯtʰɯ
mrak	므라크	mɯlakʰɯ
nikdy	니크디	nikʰɯdi
pozdní	포즈드니	pʰod͡ɕɯdɯni
úrok	우로크	ulokʰɯ
kouř	코우르시	kʰoulɯsi
koroptev	코롭테프	kʰoloptʰepʰɯ
oběť	오베티	obetʰi
jaro	야로	jalo
loďka	로티카	lotʰikʰa
humr	후므르	humɯlɯ
bolest	볼레스트	pollesɯtʰɯ
hmyz	흐미스	hɯmisɯ
barva	바르바	palɯba
pokoj	포코이	pʰokʰoi
míč	미치	mit͡ɕʰi
léto	레토	letʰo
jazýk	야지크	jad͡ɕikʰɯ
hadr	하드르	hadɯlɯ
balík	발리크	pallikʰɯ
námořník	나모르주니크	namolɯd͡ɕunikʰɯ
kov	코프	kʰopʰɯ
tělo	텔로	tʰello
věk	베크	pekʰɯ
žvěřina	주베르지나	t͡ɕubelɯd͡ɕina
mozek	모제크	mod͡ɕekʰɯ
Brož	브로시	pɯlosi
hruď	흐루티	hɯlutʰi
xerox	제록스	t͡ɕeloks͈ɯ
prach	프라흐	pʰɯlahɯ
choditi	호디티	hoditʰi
postel	포스텔	pʰosɯtʰel
harmonika	하르모니카	halɯmonikʰa
nos	노스	nosɯ
dobrý	도브리	tobɯli
padák	파다크	pʰadakʰɯ
šplhati	슈플하티	sjupʰɯlhatʰi
máslo	마슬로	masɯllo
kino	키노	kʰino
čapek	차페크	t͡ɕʰapʰekʰɯ
saxofón	삭소폰	saks͈opʰon
bez	베스	pesɯ
Praha	프라하	pʰɯlaha
buben	부벤	puben
nervózni	네르보즈니	nelɯbod͡ɕɯni
míra	미라	mila
podzim	포드짐	pʰodɯd͡ɕim
řeka	르제카	lɯd͡ɕekʰa
šternberk	슈테른베르크	sjutʰelɯnbelɯkʰɯ
ďábel	댜벨	tjabel
gramofon	그라모폰	kɯlamopʰon
knoflík	크노플리크	kʰɯnopʰɯllikʰɯ
myš	미시	misi
kolo	콜로	kʰollo
sáňky	산키	sankʰi
štěstí	슈테스티	sjutʰesɯtʰi
bůh	부흐	puhɯ
ruka	루카	lukʰa
strop	스트로프	sɯtʰɯlopʰɯ
puška	푸슈카	pʰusjukʰa
vysoký	비소키	pisokʰi
divadlo	디바들로	tibadɯllo
knihovna	크니호브나	kʰɯnihobɯna
fík	피크	pʰikʰɯ
obchod	옵호트	opʰotʰɯ
tam	탐	tʰam
Plzeň	플젠	pʰɯld͡ɕen
led	레트	letʰɯ
líný	리니	lini
jeřab	예르자프	jelɯd͡ɕapʰɯ
most	모스트	mosɯtʰɯ
lev	레프	lepʰɯ
mír	미르	milɯ
žižka	지슈카	t͡ɕisjukʰa
obec	오베츠	obet͡ɕʰɯ
komár	코마르	kʰomalɯ
cigareta	치가레타	t͡ɕʰigaletʰa
němý	네미	nemi
dům	둠	tum
odpadky	오트파트키	otʰɯpʰatʰɯkʰi
noha	노하	noha
koš	코시	kʰosi
podmínka	포드민카	pʰodɯminkʰa
sedlo	세들로	sedɯllo
