maozedong	m a o dʒ ʌ d u ŋ
chenglong	tʃ ʌ ŋ n u ŋ
fanbingbing	p a n b i ŋ b i ŋ
xijinping	s i dʒ i n p i ŋ
liyanhong	l i j e n h u ŋ
sunyang	s u n j a ŋ
zhoujielun	dʒ ʌ u dʒ e l u n
zhangziyi	dʒ a ŋ dʒ ɯ i
dengxiaoping	d ʌ ŋ s j a o p i ŋ
hujintao	h u dʒ i n t a o
liudehua	l j u d ʌ h w a
zhangguorong	dʒ a ŋ g w ʌ l u ŋ
liangchaowei	l j a ŋ tʃ a o w e i
zhouxingchi	dʒ ʌ u s i ŋ tʃ ɯ
zhourunfa	dʒ ʌ u l u n p a
wangzuxian	w a ŋ dʒ u s j e n
jiangqionger	dʒ a ŋ tʃ u ŋ ʌ l
qingdao	tʃ i ŋ d a o
beijing	b e i dʒ i ŋ
hangzhou	h a ŋ dʒ ʌ u
shanghai	s a ŋ h a i
yanbian	j e n b j e n
dalian	d a l j e n
manzhou	m a n dʒ ʌ u
guangzhou	ɡ w a ŋ dʒ ʌ u
zhongqing	dʒ u ŋ tʃ i ŋ
guangdong	ɡ w a ŋ d u ŋ
shenzhen	s ʌ n dʒ ʌ n
jilin	dʒ i l i n
tianjin	t j e n dʒ i n
tainan	t a i n a n
sichuan	s ɯ tʃ w a n
nanjing	n a n dʒ i ŋ
wanlizhangcheng	w a l l i dʒ a ŋ tʃ ʌ ŋ
fushun	p u s u n
liaoning	l j a o n i ŋ
guoguangchang	ɡ w ʌ g w a ŋ tʃ a ŋ
liuhe	l j u h ʌ
tuyouyou	t u j u j u
xujiayin	s w i dʒ a i n
wangjianlin	w a ŋ dʒ e l l i n
luzhiqiang	l u dʒ ɯ tʃ a ŋ
mahuateng	m a h w a t ʌ ŋ
nuerbaikeli	n u ʌ l b a i k ʌ l i
jinliqun	dʒ i l l i tʃ w i n
caoguowei	tʃ a o g w ʌ w e i
lihejun	l i h ʌ dʒ w i n
youke	j u k ʌ
leijun	l e i dʒ w i n
libaozhang	l i b a o dʒ a ŋ
gutianle	ɡ u t j e l l ʌ
dengsenyue	d ʌ ŋ s ʌ n w e
fengshanshan	p ʌ ŋ s a n s a n
mayun	m a w i n
guoshengkun	ɡ w ʌ s ʌ ŋ k u n
miyuting	m i w i t i ŋ
lianglemin	l j a ŋ n ʌ m i n
gukailai	ɡ u k a i l a i
yixiaozhun	i s j a o dʒ u n
hushuli	h u s u l i
dingxuexiang	d i ŋ s w e s j a ŋ
caimingzhao	tʃ a i m i ŋ dʒ a o
boao	b o a o
zhaowuji	dʒ a o u dʒ i
cuitiankai	tʃ u i t j e n k a i
wangyang	w a ŋ j a ŋ
loujiwei	l ʌ u dʒ i w e i
changwanquan	tʃ a ŋ w a n tʃ w i a n
gaohucheng	ɡ a o h u tʃ ʌ ŋ
yangyanyong	j a ŋ j e n j u ŋ
luoxia	l w ʌ s j a
luzhenhong	l u dʒ ʌ n h u ŋ
liuyu	l j u w i
chufujia	tʃ u p u dʒ a
cuixiao	tʃ u i s j a o
anxu	a n s w i
lishuai	l i s w a i
lüjiangang	l w i dʒ e n g a ŋ
liuyandong	l j u j e n d u ŋ
huchunhua	h u tʃ u n h w a
sunzhengcai	s u n dʒ ʌ ŋ tʃ a i
huachunying	h w a tʃ u n i ŋ
zhaoleji	dʒ a o l ʌ dʒ i
mengjianzhu	m ʌ ŋ dʒ e n dʒ u
liyuanchao	l i w i a n tʃ a o
sunchunlan	s u n tʃ u l l a n
liyundi	l i w i n d i
langlang	l a ŋ n a ŋ
hansuyin	h a n s u i n
zhanggaoli	dʒ a ŋ g a o l i
fangfenghui	p a ŋ p ʌ ŋ h u i
zhangyouxia	dʒ a ŋ j u s j a
zhangyang	dʒ a ŋ j a ŋ
zhaokeshi	dʒ a o k ʌ s ɯ
maxiaotian	m a s j a o t j e n
wangshu	w a ŋ s u
moyan	m o j e n
hujiwei	h u dʒ i w e i
maoyushi	m a o w i s ɯ
