成龍	청룽	t͡ɕʰʌŋnuŋ
范冰冰	판빙빙	pʰanbiŋbiŋ
习近平	시진핑	sid͡ɕinpʰiŋ
李彦宏	리옌훙	lijenhuŋ
周杰伦	저우제룬	t͡ɕʌud͡ɕelun
邓小平	덩샤오핑	tʌŋs͈jaopʰiŋ
胡锦涛	후진타오	hud͡ɕintʰao
刘德华	류더화	ljudʌhwa
张国荣	장궈룽	t͡ɕaŋgwʌluŋ
梁朝伟	량차오웨이	ljaŋt͡ɕʰaowei
周星馳	저우싱츠	t͡ɕʌusiŋt͡ɕʰɯ
周润发	저우룬파	t͡ɕʌulunpʰa
蒋琼耳	장충얼	t͡ɕaŋt͡ɕʰuŋʌl
靑島	칭다오	t͡ɕʰiŋdao
北京	베이징	peid͡ɕiŋ
杭州	항저우	haŋd͡ɕʌu
上海	상하이	saŋhai
延邊	옌볜	jenbjen
大連	다롄	taljen
滿州	만저우	mand͡ɕʌu
廣州	광저우	kwaŋd͡ɕʌu
重慶	중칭	t͡ɕuŋt͡ɕʰiŋ
廣東	광둥	kwaŋduŋ
深圳	선전	sʌnd͡ɕʌn
吉林	지린	t͡ɕilin
天津	톈진	tʰjend͡ɕin
臺南	타이난	tʰainan
南京	난징	nand͡ɕiŋ
萬里長城	완리장청	wallid͡ɕaŋt͡ɕʰʌŋ
抚顺	푸순	pʰusun
辽宁	랴오닝	ljaoniŋ
郭廣昌	궈광창	kwʌgwaŋt͡ɕʰaŋ
劉鶴	류허	ljuhʌ
屠呦呦	투유유	tʰujuju
許家印	쉬자인	swid͡ɕain
王健林	왕젠린	waŋd͡ɕellin
廬志强	루즈창	lud͡ɕɯt͡ɕʰaŋ
馬化騰	마화텅	mahwatʰʌŋ
努爾白克力	누얼바이커리	nuʌlbaikʰʌli
金立群	진리췬	t͡ɕillit͡ɕʰwin
曹國偉	차오궈웨이	t͡ɕʰaogwʌwei
李河君	리허쥔	lihʌd͡ɕwin
游客	유커	jukʰʌ
雷軍	레이쥔	leid͡ɕwin
李保樟	리바오장	libaod͡ɕaŋ
古天樂	구톈러	kutʰjellʌ
馮珊珊	펑산산	pʰʌŋs͈ans͈an
馬雲	마윈	mawin
郭聲琨	궈성쿤	kwʌsʌŋkʰun
芈昱廷	미위팅	miwitʰiŋ
梁樂民	량러민	ljaŋnʌmin
谷開來	구카이라이	kukʰailai
易小準	이샤오준	isjaod͡ɕun
胡舒立	후수리	husuli
丁薛祥	딩쉐샹	tiŋs͈wesjaŋ
蔡名照	차이밍자오	t͡ɕʰaimiŋd͡ɕao
博鰲	보아오	poao
趙無極	자오우지	t͡ɕaoud͡ɕi
崔天凱	추이톈카이	t͡ɕʰuitʰjenkʰai
汪洋	왕양	waŋjaŋ
樓繼偉	러우지웨이	lʌud͡ɕiwei
常萬全	창완취안	t͡ɕʰaŋwant͡ɕʰwian
高虎城	가오후청	kaohut͡ɕʰʌŋ
楊燕勇	양옌융	jaŋjenjuŋ
羅夏	뤄샤	lwʌsja
陸振洪	루전훙	lud͡ɕʌnhuŋ
劉宇	류위	ljuwi
儲夫佳	추푸자	t͡ɕʰupʰud͡ɕa
崔暁	추이샤오	t͡ɕʰuisjao
安旭	안쉬	ans͈wi
李帥	리솨이	liswai
呂建剛	뤼젠강	lwid͡ɕengaŋ
劉延東	류옌둥	ljujenduŋ
胡春華	후춘화	hut͡ɕʰunhwa
華春瑩	화춘잉	hwat͡ɕʰuniŋ
趙樂際	자오러지	t͡ɕaolʌd͡ɕi
孟建柱	멍젠주	mʌŋd͡ɕend͡ɕu
李源潮	리위안차오	liwiant͡ɕʰao
李雲迪	리윈디	liwindi
郞朗	랑랑	laŋnaŋ
張高麗	장가오리	t͡ɕaŋgaoli
房峰輝	팡펑후이	pʰaŋpʰʌŋhui
張又俠	장유샤	t͡ɕaŋjusja
張陽	장양	t͡ɕaŋjaŋ
趙克石	자오커스	t͡ɕaokʰʌsɯ
馬曉天	마샤오톈	masjaotʰjen
王澍	왕수	waŋs͈u
莫言	모옌	mojen
胡績偉	후지웨이	hud͡ɕiwei
茅于軾	마오위스	maowisɯ
陳光誠	천광청	t͡ɕʰʌngwaŋt͡ɕʰʌŋ
梁振英	량전잉	ljaŋd͡ɕʌniŋ
鄧建國	덩젠궈	tʌŋd͡ɕengwʌ
王軍霞	왕쥔샤	waŋd͡ɕwins͈ja
劉宏宇	류훙위	ljuhuŋwi
朱民	주민	t͡ɕumin
胡佳	후자	hud͡ɕa
義烏	이우	iu
艾青	아이칭	ait͡ɕʰiŋ
楊伯江	양보장	jaŋbod͡ɕaŋ
艾未未	아이웨이웨이	aiweiwei
周海嬰	저우하이잉	t͡ɕʌuhaiiŋ
焦建國	자오젠궈	t͡ɕaod͡ɕengwʌ
馬蔚華	마웨이화	maweihwa
郭敬明	궈징밍	kwʌd͡ɕiŋmiŋ
朱學勤	주쉐친	t͡ɕuswet͡ɕʰin
徐紹史	쉬사오스	swisaosɯ
謝旭人	셰쉬런	sjeswilʌn
賈宏聲	자훙성	t͡ɕahuŋs͈ʌŋ
劉曉波	류샤오보	ljusjaobo
李妮娜	리니나	linina
龐清	팡칭	pʰaŋt͡ɕʰiŋ
佟健	퉁젠	tʰuŋd͡ɕen
周洋	저우양	t͡ɕʌujaŋ
張會	장후이	t͡ɕaŋhui
趙宏博	자오훙보	t͡ɕaohuŋbo
申雪	선쉐	sʌns͈we
王北星	왕베이싱	waŋbeisiŋ
王濛	왕멍	waŋmʌŋ
王家瑞	왕자루이	waŋd͡ɕalui
彭麗媛	펑리위안	pʰʌŋniwian
肖向前	샤오샹첸	sjaosjaŋt͡ɕʰen
紹興	사오싱	saosiŋ
袁貴仁	위안구이런	wianguilʌn
崔世安	추이스안	t͡ɕʰuisɯan
李開復	리카이푸	likʰaipʰu
田原	톈위안	tʰjenwian
卓琳	줘린	t͡ɕwʌlin
吕燕	뤼옌	lwijen
