a	ə
a's	eɪ z
aaa	t ɹ ɪ p ə l eɪ
aaberg	ɑ b ɝ ɡ
aachen	ɑ k ə n
aachener	ɑ k ə n ɝ
aaker	ɑ k ɝ
aalborg	ɔ l b ɔ ɹ ɡ
aalburg	æ l b ɝ ɡ
aalen	æ l ə n
aaliyah	ɑ l i ɑ
aalseth	ɑ l s ɛ θ
aalsmeer	ɑ l s m ɪ ɹ
aalto	ɑ l t oʊ
aamodt	ɑ m ə t
aancor	ɑ n k ɔ ɹ
aardema	ɑ ɹ d ɛ m ə
aardvark	ɑ ɹ d v ɑ ɹ k
aardvarks	ɑ ɹ d v ɑ ɹ k s
aargh	ɑ ɹ ɡ
aarhus	ɑ h u s
aaron	ɛ ɹ ə n
aaron's	ɛ ɹ ə n z
aarons	ɛ ɹ ə n z
aaronson	ɛ ɹ ə n s ə n
aaronson's	ɛ ɹ ə n s ə n z
aarti	ɑ ɹ t i
aase	ɑ s
aasen	ɑ s ə n
ab	æ b
aba	eɪ b i eɪ
ababa	ə b ɑ b ə
abacha	æ b ə k ə
aback	ə b æ k
abaco	æ b ə k oʊ
abacus	æ b ə k ə s
abad	ə b ɑ d
abadaka	ə b æ d ə k ə
abadi	ə b æ d i
abadie	ə b æ d i
abair	ə b ɛ ɹ
abalkin	ə b ɑ l k ɪ n
abalone	æ b ə l oʊ n i
abalones	æ b ə l oʊ n i z
abalos	ɑ b ɑ l oʊ z
abandon	ə b æ n d ə n
abandoned	ə b æ n d ə n d
abandoning	ə b æ n d ə n ɪ ŋ
abandonment	ə b æ n d ə n m ə n t
abandonments	ə b æ n d ə n m ə n t s
abandons	ə b æ n d ə n z
abanto	ə b æ n t oʊ
abarca	ə b ɑ ɹ k ə
abare	ɑ b ɑ ɹ i
abascal	æ b ə s k ə l
abash	ə b æ ʃ
abashed	ə b æ ʃ t
abasia	ə b eɪ ʒ j ə
abate	ə b eɪ t
abated	ə b eɪ t ɪ d
abatement	ə b eɪ t m ə n t
abatements	ə b eɪ t m ə n t s
abates	ə b eɪ t s
abating	ə b eɪ t ɪ ŋ
abattoir	æ b ə t w ɑ ɹ
abba	æ b ə
abbado	ə b ɑ d oʊ
abbas	ə b ɑ s
abbasi	ɑ b ɑ s i
abbate	ɑ b eɪ t
abbatiello	ɑ b ɑ t i ɛ l oʊ
abbe	æ b i
abbenhaus	æ b ə n h aʊ s
abbett	ə b ɛ t
abbeville	æ b v ɪ l
abbey	æ b i
abbey's	æ b i z
abbie	æ b i
abbitt	æ b ɪ t
abbot	æ b ə t
abbotstown	æ b ə t s t aʊ n
abbott	æ b ə t
abbott's	æ b ə t s
