Llywelyn	h ɯ l l ʌ w e l l i n
Llangollen	h ɯ l l a n g o h ɯ l l e n
Gwilym	ɡ w i l l i m
Calennig	k a l l e n i g ɯ
Gwynedd	ɡ w i n e d ɯ
Brynmawr	b ɯ l ʌ n m a u l ɯ
Aberystwyth	a b e l ʌ s ɯ t u i s ɯ
Cerys	k e l i s ɯ
cnapan	k ɯ n a p a n
Llanelli	h ɯ l l a n e h ɯ l l i
Ifans	i b a n s ɯ
Huw	h i u
cwm	k u m
Emrys	e m n i s ɯ
Ciaran	k i a l a n
Cymru	k ʌ m n i
Tawe	t a w e
Iwan	i w a n
Caernarfon	k a i l ɯ n a l ɯ b o n
Meredith	m e l e d i s ɯ
Ceredigion	k e l e d i g i o n
Ieuan	j e i a n
Dafydd	d a b i d ɯ
Ystradgynlais	ʌ s ɯ t ɯ l a d ɯ g ʌ l l a i s ɯ
Rhys	h ɯ l i s ɯ
Hywel	h ʌ w e l
Powys	p o w i s ɯ
Glyndŵr	ɡ ɯ l l ʌ n t u l ɯ
Cymraeg	k ʌ m n a i g ɯ
Myfanwy	m ʌ b a n u i
Llinor	h ɯ l l i n o l ɯ
