Llywelyn	흘러웰린	hɯllʌwellin
Llangollen	흘란고흘렌	hɯllangohɯllen
Gwilym	귈림	kwillim
Calennig	칼레니그	kʰallenigɯ
Gwynedd	귀네드	kwinedɯ
Brynmawr	브런마우르	pɯlʌnmaulɯ
Aberystwyth	아베러스투이스	abelʌsɯtʰuisɯ
Cerys	케리스	kʰelisɯ
cnapan	크나판	kʰɯnapʰan
Llanelli	흘라네흘리	hɯllanehɯlli
Ifans	이반스	ibans͈ɯ
Huw	히우	hiu
cwm	쿰	kʰum
Emrys	엠리스	emnisɯ
Ciaran	키아란	kʰialan
Cymru	컴리	kʰʌmni
Tawe	타웨	tʰawe
Iwan	이완	iwan
Caernarfon	카이르나르본	kʰailɯnalɯbon
Meredith	메레디스	meledisɯ
Ceredigion	케레디기온	kʰeledigion
Ieuan	예이안	jeian
Dafydd	다비드	tabidɯ
Ystradgynlais	어스트라드건라이스	ʌsɯtʰɯladɯgʌllaisɯ
Rhys	흐리스	hɯlisɯ
Hywel	허웰	hʌwel
Powys	포위스	pʰowisɯ
Glyndŵr	글런두르	kɯllʌnt͈ulɯ
Cymraeg	컴라이그	kʰʌmnaigɯ
Myfanwy	머바누이	mʌbanui
Llinor	흘리노르	hɯllinolɯ
