einer	아이너	ainʌ
Habsburg	합스부르크	haps͈ɯbulɯkʰɯ
Fräulein	프로일라인	pʰɯloillain
Daniel	다니엘	taniel
einen	아이넨	ainen
für	퓌어	pʰwiʌ
Vater	파터	pʰatʰʌ
Freiherr	프라이헤어	pʰɯlaiheʌ
Europa	오이로파	oilopʰa
Schiller	실러	sillʌ
Tübingen	튀빙겐	tʰwibiŋgen
Hormon	호르몬	holɯmon
Niclas	니클라스	nikʰɯllasɯ
Helmut	헬무트	helmutʰɯ
Hamburg	함부르크	hambulɯkʰɯ
Herr	헤어	heʌ
Bayern	바이에른	paielɯn
Hermes	헤르메스	helɯmesɯ
Alexander	알렉산더	alleks͈andʌ
Henrietta	헨리에타	hellietʰa
Buch	부흐	puhɯ
Christine	크리스티네	kʰɯlisɯtʰine
Schule	슐레	sjulle
Spengler	슈펭글러	sjupʰeŋgɯllʌ
Reval	레발	lebal
Schüler	쉴러	swillʌ
Stadt	슈타트	sjutʰatʰɯ
Rostock	로스토크	losɯtʰokʰɯ
schon	숀	sjon
Fischer	피셔	pʰisjʌ
läuten	로이텐	loitʰen
der	데어	teʌ
Herbst	헤르프스트	helɯpʰɯsɯtʰɯ
Tür	튀어	tʰwiʌ
Berggarten	베르크가르텐	pelɯkʰɯgalɯtʰen
Matthäus	마테우스	matʰeusɯ
Guggenheim	구겐하임	kugenhaim
Ohr	오어	oʌ
ein	아인	ain
Heidegger	하이데거	haidegʌ
Kellner	켈너	kʰellʌ
Richard	리하르트	lihalɯtʰɯ
Beelitz	벨리츠	pellit͡ɕʰɯ
Frank	프랑크	pʰɯlaŋkʰɯ
Wilhelm	빌헬름	pilhellɯm
Grotesk	그로테스크	kɯlotʰesɯkʰɯ
Heidelberg	하이델베르크	haidelbelɯkʰɯ
Karlsruhe	카를스루에	kʰalɯls͈ɯlue
ich	이히	ihi
Schelle	셸레	sjelle
Freundin	프로인딘	pʰɯloint͈in
Augsburg	아우크스부르크	aukʰɯsɯbulɯkʰɯ
Samuel	자무엘	t͡ɕamuel
norddeutsch	노르트도이치	nolɯtʰɯdoit͡ɕʰi
Feuer	포이어	pʰoiʌ
Amadeus	아마데우스	amadeusɯ
Meyer	마이어	maiʌ
Michael	미하엘	mihael
Steffen	슈테펜	sjutʰepʰen
Schatz	샤츠	sjat͡ɕʰɯ
Emmy	에미	emi
Kupfer	쿠퍼	kʰupʰʌ
Sachsen	작센	t͡ɕaks͈en
Mischling	미슐링	misjulliŋ
Mensch	멘슈	mens͈ju
bist	비스트	pisɯtʰɯ
ist	이스트	isɯtʰɯ
Rasur	라주어	lad͡ɕuʌ
Max	막스	maks͈ɯ
Fuggerei	푸게라이	pʰugelai
Hefeweizen	헤페바이첸	hepʰebait͡ɕʰen
