προϋπολογίζω	프로이폴로이조	pʰɯloipʰolloid͡ɕo
Καλαμάτα	칼라마타	kʰallamatʰa
χθες	흐테스	hɯtʰesɯ
Πέμπτη	펨티	pʰemtʰi
ιστορία	이스토리아	isɯtʰolia
Ξανά	크사나	kʰɯsana
Γκέκας	게카스	kekʰasɯ
Καραμανλής	카라만리스	kʰalamallisɯ
Ετεοκλή	에테오클리	etʰeokʰɯlli
βοήθειες	보이티에스	poitʰiesɯ
Μιχάλης	미할리스	mihallisɯ
Θάνου	타누	tʰanu
χαρακτήρα	하락티라	halaktʰila
Φιλιππούπολη	필리푸폴리	pʰillipʰupʰolli
βορράς	보라스	polasɯ
Χαϊδάρι	하이다리	haidali
Συμεών	시메온	simeon
Αιγαίο	에예오	ejeo
Πελασγός	펠라스고스	pʰellasɯgosɯ
Διομήδης	디오미디스	tiomidisɯ
Διόνυσος	디오니소스	tionisosɯ
Λάρισα	라리사	lalisa
Θεοδωράκης	테오도라키스	tʰeodolakʰisɯ
Ιωάννινα	이오아니나	ioanina
χαίρετε	헤레테	heletʰe
Θεόδωρος	테오도로스	tʰeodolosɯ
Σμύρνη	스미르니	sɯmilɯni
Κάυστρος	카이스트로스	kʰaisɯtʰɯlosɯ
Ξάνθη	크산티	kʰɯsantʰi
Ολυμπιακός	올림비아코스	ollimbiakʰosɯ
Ζεύγμα	제브그마	t͡ɕebɯgɯma
κόμμα	코마	kʰoma
έβδομη	에브도미	ebɯdomi
Ψέριμος	프세리모스	pʰɯselimosɯ
Τάσσος	타소스	tʰasosɯ
Κατερίνη	카테리니	kʰatʰelini
Καζαντζάκης	카잔자키스	kʰad͡ɕand͡ɕakʰisɯ
Νάξος	낙소스	naks͈osɯ
Χρύσης	흐리시스	hɯlisisɯ
Νικολάου	니콜라우	nikʰollau
Αιολίδα	에올리다	eollida
Γρηγόριος	그리고리오스	kɯligoliosɯ
Μύκονος	미코노스	mikʰonosɯ
Άνθιμος	안티모스	antʰimosɯ
Κεφαλλονιά	케팔로니아	kʰepʰallonia
Προκόπιος	프로코피오스	pʰɯlokʰopʰiosɯ
Γιωργία	요르이아	jolɯia
άτεκνη	아테크니	atʰekʰɯni
λιοντάρι	리온다리	liondali
Βέροια	베리아	pelia
Αγρίνιο	아그리니오	agɯlinio
Ίλιον	일리온	illion
Χοϊδάς	호이다스	hoidasɯ
Πάρις	파리스	pʰalisɯ
Παπανδρέου	파판드레우	pʰapʰandɯleu
έξυπνη	엑시프니	eks͈ipʰɯni
τζατζίκι	자지키	t͡ɕad͡ɕikʰi
ευφράδεια	에프라디아	epʰɯladia
Αναστάσιος	아나스타시오스	anasɯtʰasiosɯ
Θράκη	트라키	tʰɯlakʰi
Μάρκος	마르코스	malɯkʰosɯ
δυϊκός	디이코스	tiikʰosɯ
Ματθίας	마티아스	matʰiasɯ
Έσδρας	에스드라스	esɯdɯlasɯ
σκέπτομαι	스켑토메	sɯkʰeptʰome
Άλιμος	알리모스	allimosɯ
Ρόδος	로도스	lodosɯ
καυτός	카프토스	kʰapʰɯtʰosɯ
Σάββας	사바스	sabasɯ
Αθήνα	아티나	atʰina
Βόλος	볼로스	pollosɯ
Περιστέρι	페리스테리	pʰelisɯtʰeli
Εύοσμος	에보스모스	ebosɯmosɯ
Ήπειρος	이피로스	ipʰilosɯ
Πλάτων	플라톤	pʰɯllatʰon
μεζές	메제스	med͡ɕesɯ
Μάνδρα	만드라	mandɯla
Ανταρκτική	안다르크티키	andalɯkʰɯtʰikʰi
καλά	칼라	kʰalla
Κομοτηνή	코모티니	kʰomotʰini
εκπρόσωπος	엑프로소포스	ekpʰɯlosopʰosɯ
Βάρη	바리	pali
μπρούντζος	브룬조스	pɯlund͡ɕosɯ
Φυλλίς	필리스	pʰillisɯ
ηθοποιός	이토피오스	itʰopʰiosɯ
