A	A
a	ɐ
aa	ɑ
aal	ɑ l
aalii	ɑ l ɪ aɪ
aam	ɑ m
Aani	ɑ n i
aardvark	ɑ ɹ d v ɑ ɹ k
aardwolf	ɑ ɹ d w ʊ l f
Aaron	ɛ ɹ ə n
Aaronic	ə ɹ ɑ n ɪ k
Aaronical	ɑ ɹ ɹ ɑ n ɪ k ə l
Aaronite	ɑ ɹ ɹ ə n aɪ t
Aaronitic	ɑ ɹ ɹ ə n ɪ ɾ ɪ k
Aaru	ɑ ɹ ɹ u
Ab	ɑ b
aba	ɐ b æ
Ababdeh	ɐ b æ b d eɪ
Ababua	ɐ b æ b j u ə
abac	ɐ b æ k
abaca	æ b ɑ k ə
abacate	æ b ɐ k eɪ t
abacay	æ b ɐ k eɪ
abacinate	æ b æ s ᵻ n eɪ t
abacination	æ b ɐ s ᵻ n eɪ ʃ ə n
abaciscus	æ b ɐ s ɪ s k ə s
abacist	æ b ɐ s ɪ s t
aback	ɐ b æ k
abactinal	ɐ b æ k t ɪ n ə l
abactinally	ɐ b æ k t ɪ n ə l i
abaction	ɐ b æ k ʃ ə n
abactor	ɐ b æ k t ɚ ɹ
abaculus	æ b æ k j ʊ l ə s
abacus	æ b æ k ə s
Abadite	ɐ b æ d aɪ t
abaff	ɐ b æ f
abaft	ɐ b æ f t
abaisance	ɐ b eɪ s ə n s
abaiser	ɐ b eɪ z ɚ ɹ
abaissed	ɐ b eɪ ɪ s t
abalienate	ɐ b eɪ l i ə n eɪ t
abalienation	ɐ b eɪ l i ə n eɪ ʃ ə n
abalone	ɐ b æ l oʊ n
Abama	ɐ b ɑ m ə
abampere	ɐ b æ m p ɛ ɹ
abandon	ɐ b æ n d ə n
abandonable	ɐ b æ n d oʊ n ə b ə l
abandoned	ɐ b æ n d ə n d
abandonedly	ɐ b æ n d oʊ n ɪ d l i
abandonee	ɐ b æ n d oʊ n i
abandoner	ɐ b æ n d oʊ n ɚ ɹ
abandonment	ɐ b æ n d ə n m ə n t
Abanic	ɐ b æ n ɪ k
Abantes	ɐ b æ n t s
abaptiston	ɐ b æ p t ɪ s t ə n
Abarambo	ɐ b ɐ ɹ æ m b oʊ
Abaris	ɐ b ɑ ɹ ɹ ɪ s
abarthrosis	ɐ b ɑ ɹ θ ɹ oʊ s ɪ s
abarticular	ɐ b ɑ ɹ t ɪ k j ʊ l ɚ ɹ
abarticulation	ɐ b ɑ ɹ ɾ ɪ k j ʊ l eɪ ʃ ə n
abas	ɐ b æ z
abase	ɐ b eɪ s
abased	ɐ b eɪ s t
abasedly	ɐ b eɪ s ɪ d l i
abasedness	ɐ b eɪ s t n ə s
abasement	ɐ b eɪ s m ə n t
abaser	ɐ b eɪ s ɚ ɹ
Abasgi	ɐ b æ s ɡ i
abash	ɐ b æ ʃ
abashed	ɐ b æ ʃ t
abashedly	ɐ b æ ʃ ᵻ d l i
abashedness	ɐ b æ ʃ t n ə s
abashless	ɐ b æ ʃ l ə s
abashlessly	ɐ b æ ʃ l ə s l i
abashment	ɐ b æ ʃ m ə n t
abasia	ɐ b eɪ s i ə
abasic	ɐ b eɪ s ɪ k
abask	ɐ b æ s k
Abassin	ɐ b æ s ɪ n
abastardize	ɐ b æ s t ɚ d aɪ z
abatable	ɐ b eɪ ɾ ə b ə l
abate	ɐ b eɪ t
abatement	ɐ b eɪ t m ə n t
abater	ɐ b eɪ ɾ ɚ ɹ
abatis	ɐ b ɑ ɾ i z
abatised	ɐ b æ ɾ aɪ z d
abaton	ɐ b æ t ə n
abator	ɐ b eɪ ɾ ɚ ɹ
abattoir	æ b ɐ t w ɑ ɹ
Abatua	ɐ b æ ɾ u ə
abature	ɐ b æ t ʃ ɚ ɹ
abave	ɐ b eɪ v
abaxial	ɐ b eɪ k s ɪ ə l
abaxile	ɐ b æ k s aɪ l
abaze	ɐ b eɪ z
abb	æ b
Abba	ɑ b ə
abbacomes	æ b ɐ k ʌ m z
abbacy	æ b ə s i
Abbadide	æ b ɐ d aɪ d
abbas	æ b ə z
abbasi	æ b ɑ s i
abbassi	æ b æ s i
Abbasside	æ b ɐ s aɪ d
abbatial	æ b eɪ ʃ ə l
abbatical	æ b æ ɾ ɪ k ə l
abbess	æ b ɛ s
abbey	æ b i
abbeystede	æ b ɪ s t ɛ d
Abbie	æ b i
abbot	æ b ə t
abbotcy	æ b ə t s i
abbotnullius	æ b ə t n ʌ l ɪ ə s
abbotship	æ b ə tʃ ɪ p
abbreviate	ɐ b ɹ i v ɪ eɪ t
abbreviately	ɐ b ɹ i v ɪ eɪ t l i
abbreviation	ɐ b ɹ i v ɪ eɪ ʃ ə n
abbreviator	ɐ b ɹ i v ɪ eɪ ɾ ɚ ɹ
abbreviatory	ɐ b ɹ i v ɪ ə t ɔ ɹ i
abbreviature	ɐ b ɹ i v ɪ ə t ʃ ɚ ɹ
Abby	æ b i
abcoulomb	ɐ b k u l ɑ m
abdal	æ b d ə l
abdat	æ b d æ t
Abderian	æ b d ɪ ɹ i ə n
Abderite	æ b d ɚ ɹ aɪ t
abdest	æ b d ɪ s t
abdicable	æ b d ɪ k ə b ə l
abdicant	æ b d ɪ k ə n t
abdicate	æ b d ᵻ k eɪ t
abdication	æ b d ɪ k eɪ ʃ ə n
abdicative	æ b d ɪ k ə t ɪ v
abdicator	æ b d ᵻ k eɪ ɾ ɚ ɹ
Abdiel	æ b d i l
abditive	æ b d ᵻ t ɪ v
abditory	æ b d ɪ t ɔ ɹ i
abdomen	æ b d ə m ə n
abdominal	æ b d ɑ m ɪ n ə l
Abdominales	æ b d ə m ɪ n eɪ l z
abdominalian	æ b d ə m ɪ n eɪ l i ə n
abdominally	æ b d ɑ m ɪ n ə l i
abdominoanterior	æ b d ə m ɪ n oʊ n t ɪ ɹ i ɚ ɹ
abdominocardiac	æ b d ə m ɪ n ə k ɑ ɹ d i æ k
abdominocentesis	æ b d ə m ɪ n oʊ s ə n t i s ɪ s
abdominocystic	æ b d ə m ɪ n ə s ɪ s t ɪ k
abdominogenital	æ b d ə m ɪ n oʊ d ʒ n ɪ ɾ ə l
abdominohysterectomy	æ b d ə m ɪ n oʊ ɪ s t ɚ ɹ ɛ k t ə m i
abdominohysterotomy	æ b d ə m ɪ n oʊ ɪ s t ɚ ɹ oʊ ɾ ə m i
abdominoposterior	æ b d ə m ɪ n ə p ə s t ɪ ɹ i ɚ ɹ
abdominoscope	æ b d ə m ɪ n ə s k oʊ p
abdominoscopy	æ b d ə m ɪ n ɑ s k ə p i
abdominothoracic	æ b d ə m ɪ n ə θ ɔ ɹ æ s ɪ k
abdominous	æ b d ə m ɪ n ə s
abdominovaginal	æ b d ə m ɪ n ə v æ d ʒ ɪ n ə l
abdominovesical	æ b d ə m ɪ n oʊ v z ɪ k ə l
abduce	ɐ b d u s
abducens	ɐ b d u s ə n z
abducent	ɐ b d u s ə n t
abduct	ɐ b d ʌ k t
abduction	ɐ b d ʌ k ʃ ə n
abductor	ɐ b d ʌ k t ɚ ɹ
Abe	eɪ b
abeam	ɐ b i m
abear	ɐ b ɛ ɹ
abearance	ɐ b ɛ ɹ ə n s
abecedarian	ɐ b ɛ s ɪ d ɛ ɹ i ə n
abecedarium	ɐ b ɛ s ɪ d ɛ ɹ i ə m
abecedary	ɐ b ɛ s ɪ d ɛ ɹ i
abed	ɐ b ɛ d
abeigh	ɐ b eɪ
Abel	A b l
abele	eɪ b ə l
Abelia	eɪ b ə l i ə
Abelian	eɪ b ə l i ə n
Abelicea	eɪ b ə l aɪ s i ə
Abelite	eɪ b ə l aɪ t
abelite	eɪ b ə l aɪ t
Abelmoschus	eɪ b ə l m ɑ ʃ ə s
abelmosk	eɪ b ə l m ɑ s k
Abelonian	eɪ b ə l oʊ n i ə n
abeltree	eɪ b ə l t ɹ i
Abencerrages	ɐ b ɛ n s ɪ ɹ ɪ d ʒ ᵻ z
abenteric	ɐ b ə n t ɛ ɹ ɪ k
abepithymia	ɐ b ɛ p ɪ θ ɪ m i ə
Aberdeen	æ b ə ɹ d i n
aberdevine	æ b ɚ d ɛ v aɪ n
Aberdonian	æ b ə ɹ d O n i ə n
Aberia	æ b ɚ ɹ i ə
aberrance	ɐ b ɛ ɹ ə n s
aberrancy	ɐ b ɛ ɹ ə n s i
aberrant	ɐ b ɛ ɹ ə n t
aberrate	æ b ɚ ɹ eɪ t
aberration	æ b ɚ ɹ eɪ ʃ ə n
aberrational	æ b ɚ ɹ eɪ ʃ ə n ə l
aberrator	æ b ɚ ɹ eɪ ɾ ɚ ɹ
aberrometer	æ b ɚ ɹ ɑ m ɪ ɾ ɚ ɹ
aberroscope	æ b ɚ ɹ ɑ s k oʊ p
aberuncator	æ b ɚ ɹ ʌ ŋ k eɪ ɾ ɚ ɹ
abet	ɐ b ɛ t
abetment	ɐ b ɛ t m ə n t
abettal	ɐ b ɛ ɾ ə l
abettor	ɐ b ɛ ɾ ɚ
abevacuation	ɐ b ɛ v ɐ k j u eɪ ʃ ə n
abey	ɐ b eɪ
abeyance	ɐ b eɪ ə n s
abeyancy	ɐ b eɪ ə n s i
abeyant	ɐ b eɪ ə n t
abfarad	ɐ b f æ ɹ æ d
abhenry	ɐ b h ɛ n ɹ i
abhiseka	ɐ b h aɪ s k ə
abhominable	ɐ b h ɑ m ɪ n ə b ə l
abhor	ɐ b h ɔ ɹ
abhorrence	ɐ b h ɔ ɹ ə n s
abhorrency	ɐ b h ɔ ɹ ə n s i
abhorrent	ɐ b h ɔ ɹ ə n t
abhorrently	ɐ b h ɔ ɹ ə n t l i
abhorrer	ɐ b h ɔ ɹ ə
abhorrible	ɐ b h ɔ ɹ ᵻ b ə l
abhorring	ɐ b h ɔ ɹ ɪ ŋ
Abhorson	ɐ b h ɔ ɹ s ə n
abidal	æ b ɪ d ə l
abidance	æ b ɪ d ə n s
abide	ɐ b aɪ d
abider	ɐ b aɪ d ɚ ɹ
abidi	æ b ɪ d i
abiding	ɐ b aɪ d ɪ ŋ
abidingly	ɐ b aɪ d ɪ ŋ l i
abidingness	ɐ b aɪ d ɪ ŋ n ə s
Abie	æ b i
Abies	ɐ b aɪ z
abietate	æ b aɪ ə t eɪ t
abietene	æ b aɪ ə t i n
abietic	æ b aɪ ə ɾ ɪ k
abietin	æ b aɪ ə t ɪ n
Abietineae	æ b aɪ ə t ɪ n i
abietineous	æ b aɪ ə t aɪ n i ə s
abietinic	æ b aɪ ə t ɪ n ɪ k
Abiezer	æ b i z ɚ ɹ
Abigail	æ b ɪ ɡ eɪ l
abigail	æ b ɪ ɡ eɪ l
abigailship	æ b ɪ ɡ eɪ l ʃ ɪ p
abigeat	æ b aɪ d ʒ æ t
abigeus	æ b aɪ d ʒ i ə s
abilao	æ b ɪ l aʊ
ability	ɐ b ɪ l ə ɾ i
abilla	æ b ɪ l ə
abilo	æ b ɪ l oʊ
abintestate	æ b ɪ n t ɛ s t eɪ t
abiogenesis	æ b ɪ oʊ d ʒ ɛ n ᵻ s ɪ s
abiogenesist	æ b ɪ oʊ d ʒ ɛ n ᵻ s ɪ s t
abiogenetic	æ b ɪ oʊ d ʒ n ɛ ɾ ɪ k
abiogenetical	æ b ɪ oʊ d ʒ n ɛ ɾ ɪ k ə l
abiogenetically	æ b ɪ oʊ d ʒ n ɛ ɾ ɪ k l i
abiogenist	æ b ɪ oʊ d ʒ n ɪ s t
abiogenous	æ b ɪ ɑ d ʒ ə n ə s
abiogeny	æ b ɪ ɑ d ʒ ɛ n i
abiological	æ b ɪ ə l ɑ d ʒ ɪ k ə l
abiologically	æ b ɪ ə l ɑ d ʒ ɪ k l i
abiology	æ b aɪ ɑ l ə d ʒ i
abiosis	æ b ɪ oʊ s ɪ s
abiotic	æ b ɪ ɑ ɾ ɪ k
abiotrophic	æ b ɪ ə t ɹ oʊ f ɪ k
abiotrophy	æ b ɪ ɑ t ɹ ə f i
Abipon	æ b ɪ p ɑ n
abir	æ b ɪ ɹ
abirritant	æ b ɚ ɹ ɪ t ə n t
abirritate	æ b ɜ ɹ ᵻ t eɪ t
abirritation	æ b ɚ ɹ ɪ t eɪ ʃ ə n
abirritative	æ b ɚ ɹ ᵻ t eɪ ɾ ɪ v
abiston	æ b ɪ s t ə n
Abitibi	æ b ɪ t ɪ b aɪ
abiuret	æ b ɪ j u ɹ ə t
abject	æ b d ʒ ɛ k t
