Turku	t u . l ɯ . k u
Rovaniemi	l o . b a . n i . e . m i
Tampere	t a m . p e . l e
Lappeenranta	l a . p e n . l a n . t a
Louhi	l o . u . h i
kantele	k a n . t e l . l e
Espoo	e . s ɯ . p o
Suomenlinna	s u . o . m e n . l i n . n a
Lemminkäinen	l e m . m i ŋ . k æ . i . n e n
Kullervo	k u l . l e . l ɯ . b o
Aino	a . i . n o
Vaasa	b a . s a
Kajaani	k a . j a . n i
Joensuu	j o . e n . s u
Joukahainen	j o . u . k a . h a . i . n e n
Nokia	n o . k i . a
Helsinki	h e l . s i ŋ . k i
Karjala	k a . l i . a l . l a
Jyväskylä	w i . b æ . s ɯ . k w i l . l æ
Saimaa	s a . i . m a
Suomi	s u . o . m i
Kalevala	k a l . l e . b a l . l a
sauna	s a . u . n a
Pohjola	p o . h ɯ . j o l . l a
sisu	s i . s u
Oulu	o . u l . l u
Mikkeli	m i . k e l . l i
Ilmarinen	i l . m a . l i . n e n
Marjatta	m a . l i . a . t a
Vantaa	b a n . t a
Ukko	u . k o
Tapiola	t a . p i . o l . l a
Sampo	s a m . p o
Kuopio	k u . o . p i . o
Savonlinna	s a . b o n . l i n . n a
