Turku	투르쿠	tʰulɯkʰu
Rovaniemi	로바니에미	lobaniemi
Tampere	탐페레	tʰampʰele
Lappeenranta	라펜란타	lapʰellantʰa
Louhi	로우히	louhi
kantele	칸텔레	kʰantʰelle
Espoo	에스포	esɯpʰo
Suomenlinna	수오멘린나	suomellinna
Lemminkäinen	렘밍캐이넨	lemmiŋkʰɛinen
Kullervo	쿨레르보	kʰullelɯbo
Aino	아이노	aino
Vaasa	바사	pasa
Kajaani	카야니	kʰajani
Joensuu	요엔수	joens͈u
Joukahainen	요우카하이넨	joukʰahainen
Nokia	노키아	nokʰia
Helsinki	헬싱키	hels͈iŋkʰi
Karjala	카리알라	kʰalialla
Jyväskylä	위배스퀼래	wibɛsɯkʰwillɛ
Saimaa	사이마	saima
Suomi	수오미	suomi
Kalevala	칼레발라	kʰalleballa
sauna	사우나	sauna
Pohjola	포흐욜라	pʰohɯjolla
sisu	시수	sisu
Oulu	오울루	oullu
Mikkeli	미켈리	mikʰelli
Ilmarinen	일마리넨	ilmalinen
Marjatta	마리아타	maliatʰa
Vantaa	반타	pantʰa
Ukko	우코	ukʰo
Tapiola	타피올라	tʰapʰiolla
Sampo	삼포	sampʰo
Kuopio	쿠오피오	kʰuopʰio
Savonlinna	사본린나	sabollinna
