Κυβέλη	키벨레	kʰibelle
Νίκη	니케	nikʰe
Κροῖσος	크로이소스	kʰɯloisosɯ
Δαρδανέλλια	다르다넬리아	talɯdanellia
Τυφών	티폰	tʰipʰon
Ἀχέρων	아케론	akʰelon
Εὔβοια	에우보이아	euboia
Μυκήνη	미케네	mikʰene
Δωρίς	도리스	tolisɯ
Ἀκρόπολις	아크로폴리스	akʰɯlopʰollisɯ
Ἑρμιόνη	헤르미오네	helɯmione
Ἀρτεμίς	아르테미스	alɯtʰemisɯ
Ζήνων	제논	t͡ɕenon
Ποσειδῶν	포세이돈	pʰoseidon
Ἄργος	아르고스	alɯgosɯ
Ἄτλας	아틀라스	atʰɯllasɯ
Βοιωτία	보이오티아	poiotʰia
Σαλαμίς	살라미스	sallamisɯ
Πυθαγόρας	피타고라스	pʰitʰagolasɯ
Γανυμήδης	가니메데스	kanimedesɯ
Εὐρυδίκη	에우리디케	eulidikʰe
Ἄτταλος	아탈로스	atʰallosɯ
Πάππος	파포스	pʰapʰosɯ
Θουκυδίδης	투키디데스	tʰukʰididesɯ
Πανδώρα	판도라	pʰandola
Διόνυσος	디오니소스	tionisosɯ
Ἑλλάς	헬라스	hellasɯ
Ὕπνος	히프노스	hipʰɯnosɯ
Ἀττική	아티케	atʰikʰe
Πηνελόπη	페넬로페	pʰenellopʰe
Δαμασκός	다마스코스	tamasɯkʰosɯ
Στύξ	스틱스	sɯtʰiks͈ɯ
Ἠώς	에오스	eosɯ
Ἀπολλώνιος	아폴로니오스	apʰolloniosɯ
Σόλων	솔론	sollon
Ἱππολύτη	히폴리테	hipʰollitʰe
Ὅμηρος	호메로스	homelosɯ
Τυῤῥηνία	티레니아	tʰilenia
Ἀναξαγόρας	아낙사고라스	anaks͈agolasɯ
Περσεύς	페르세우스	pʰelɯseusɯ
Σφίγξ	스핑크스	sɯpʰiŋkʰɯsɯ
Ἑστία	헤스티아	hesɯtʰia
Ἀντιόχεια	안티오케이아	antʰiokʰeia
Ἀφροδίτη	아프로디테	apʰɯloditʰe
Πρωτεύς	프로테우스	pʰɯlotʰeusɯ
Πλούταρχος	플루타르코스	pʰɯllutʰalɯkʰosɯ
Ὠκεανία	오케아니아	okʰeania
Θῆβαι	테바이	tʰebai
Χίμαιρα	키마이라	kʰimaila
Δαλματία	달마티아	talmatʰia
Πενθεσίλεια	펜테실레이아	pʰentʰesilleia
Ἥρα	헤라	hela
Νέμεσις	네메시스	nemesisɯ
Ἀμαζόνες	아마조네스	amad͡ɕonesɯ
Νηρεύς	네레우스	neleusɯ
Αἴας	아이아스	aiasɯ
Μορφεύς	모르페우스	molɯpʰeusɯ
Θάνατος	타나토스	tʰanatʰosɯ
Ὦξος	옥소스	oks͈osɯ
Θερμοπύλαι	테르모필라이	tʰelɯmopʰillai
Στράβων	스트라본	sɯtʰɯlabon
Φρυγία	프리기아	pʰɯligia
Φοίβη	포이베	pʰoibe
Ἀπόλλων	아폴론	apʰollon
Ἑλλήσποντος	헬레스폰토스	hellesɯpʰontʰosɯ
Χρόνος	크로노스	kʰɯlonosɯ
Λυκοῦργος	리쿠르고스	likʰulɯgosɯ
Βορέας	보레아스	poleasɯ
Ἄρης	아레스	alesɯ
Ἐρατοσθένης	에라토스테네스	elatʰosɯtʰenesɯ
Ἀνδρομάχη	안드로마케	andɯlomakʰe
Ἶρις	이리스	ilisɯ
Ὀδυσσεύς	오디세우스	odiseusɯ
Ἀτλάντις	아틀란티스	atʰɯllantʰisɯ
Καλλιόπη	칼리오페	kʰalliopʰe
Σκύθαι	스키타이	sɯkʰitʰai
Περικλῆς	페리클레스	pʰelikʰɯllesɯ
Ἡρόδοτος	헤로도토스	helodotʰosɯ
Ζέφυρος	제피로스	t͡ɕepʰilosɯ
Αἴγυπτος	아이깁토스	aigiptʰosɯ
Οὐρανός	우라노스	ulanosɯ
Πέργαμον	페르가몬	pʰelɯgamon
Κέρβερος	케르베로스	kʰelɯbelosɯ
Ἀντιγόνη	안티고네	antʰigone
όμφαλος	옴팔로스	ompʰallosɯ
Μέδουσα	메두사	medusa
Ἀχελῷος	아켈로오스	akʰelloosɯ
Δεκάπολις	데카폴리스	tekʰapʰollisɯ
Ἥλιος	헬리오스	helliosɯ
Ἰάσων	이아손	iason
Ἑκάτη	헤카테	hekʰatʰe
Γαῖα	가이아	kaia
Τυνδάρεως	틴다레오스	tʰindaleosɯ
Ἡσίοδος	헤시오도스	hesiodosɯ
Ἱέρων	히에론	hielon
Τιτάν	티탄	tʰitʰan
Ἴλιον	일리온	illion
Ἀριστοτέλης	아리스토텔레스	alisɯtʰotʰellesɯ
Ὀδύσσεια	오디세이아	odiseia
Σέλευκος	셀레우코스	selleukʰosɯ
Μίδας	미다스	midasɯ
Ἀναξίμανδρος	아낙시만드로스	anaks͈imandɯlosɯ
Ἡρακλῆς	헤라클레스	helakʰɯllesɯ
