jastuk	j a . s ɯ . t u . k ɯ
кула	k u l . l a
vatra	b a . t ɯ . l a
Ниш	n i . s i
gost	ɡ o . s ɯ . t ɯ
opština	o b . s j u . t i . n a
sestrić	s e . s ɯ . t ɯ . l i . tʃ i
ostrvo	o . s ɯ . t ɯ . l ɯ . b o
pasulj	p a . s u l
drvo	d ɯ . l ɯ . b o
сједло	s j e . d ɯ l . l o
drobnjak	d ɯ . l o . b ɯ . n j a . k ɯ
čelik	tʃ e l . l i . k ɯ
смрт	s ɯ . m ɯ . l ɯ . t ɯ
muž	m u . dʒ u
telo	t e l . l o
mlad	m ɯ l . l a . d ɯ
Njegoš	n e . ɡ o . s i
јастук	j a . s ɯ . t u . k ɯ
vlasništvo	b ɯ l . l a . s ɯ . n i . s j u . t ɯ . b o
glas	ɡ ɯ l . l a . s ɯ
torba	t o . l ɯ . b a
džep	dʒ e . p ɯ
cev	tʃ e . b ɯ
pogreb	p o . ɡ ɯ . l e . b ɯ
pojas	p o . j a . s ɯ
nos	n o . s ɯ
dim	d i m
odjelo	o . d e l . l o
млад	m ɯ l . l a . d ɯ
општина	o b . s j u . t i . n a
шљивовица	s j u l . l i . b o . b i . tʃ a
šah	s j a . h ɯ
olovka	o l . l o . b ɯ . k a
malo	m a l . l o
kula	k u l . l a
šal	s j a l
osam	o . s a m
svibanj	s ɯ . b i . b a n
narudžba	n a . l u . dʒ i . b a
loman	l o . m a n
kifla	k i . p ɯ l . l a
cigara	tʃ i . ɡ a . l a
novac	n o . b a . tʃ ɯ
šaraf	s j a . l a . p ɯ
zavoj	dʒ a . b o . i
molim	m o l . l i m
izložba	i . dʒ ɯ l . l o . dʒ u . b a
dugme	d u . ɡ ɯ . m e
broš	b ɯ . l o . s i
zubar	dʒ u . b a . l ɯ
korist	k o . l i . s ɯ . t ɯ
pozno	p o . dʒ ɯ . n o
peta	p e . t a
krug	k ɯ . l u . ɡ ɯ
Niš	n i . s i
много	m ɯ . n o . ɡ o
šljivovica	s j u l . l i . b o . b i . tʃ a
posle	p o . s ɯ l . l e
hitan	h i . t a n
mnogo	m ɯ . n o . ɡ o
naći	n a . tʃ i
ljeto	l e . t o
mir	m i . l ɯ
lep	l e . p ɯ
levo	l e . b o
put	p u . t ɯ
sedam	s e . d a m
balkon	b a l . k o n
točka	t o . tʃ i . k a
bakar	b a . k a . l ɯ
desno	d e . s ɯ . n o
žena	dʒ e . n a
banka	b a n . k a
obraz	o . b ɯ . l a . dʒ ɯ
fasada	p a . s a . d a
medved	m e . d ɯ . b e . d ɯ
бједро	b e . d ɯ . l o
riba	l i . b a
proliv	p ɯ . l o l . l i . b ɯ
smrt	s ɯ . m ɯ . l ɯ . t ɯ
bog	b o . ɡ ɯ
bjedro	b e . d ɯ . l o
sjedlo	s j e . d ɯ l . l o
kolač	k o l . l a . tʃ i
