jastuk	야스투크	jasɯtʰukʰɯ
кула	쿨라	kʰulla
vatra	바트라	patʰɯla
Ниш	니시	nisi
gost	고스트	kosɯtʰɯ
opština	옵슈티나	ops͈jutʰina
sestrić	세스트리치	sesɯtʰɯlit͡ɕʰi
ostrvo	오스트르보	osɯtʰɯlɯbo
pasulj	파술	pʰasul
drvo	드르보	tɯlɯbo
сједло	셰들로	sjedɯllo
drobnjak	드로브냐크	tɯlobɯnjakʰɯ
čelik	첼리크	t͡ɕʰellikʰɯ
смрт	스므르트	sɯmɯlɯtʰɯ
muž	무주	mud͡ɕu
telo	텔로	tʰello
mlad	믈라드	mɯlladɯ
Njegoš	네고시	negosi
јастук	야스투크	jasɯtʰukʰɯ
vlasništvo	블라스니슈트보	pɯllasɯnisjutʰɯbo
glas	글라스	kɯllasɯ
torba	토르바	tʰolɯba
džep	제프	t͡ɕepʰɯ
cev	체브	t͡ɕʰebɯ
pogreb	포그레브	pʰogɯlebɯ
pojas	포야스	pʰojasɯ
nos	노스	nosɯ
dim	딤	tim
odjelo	오델로	odello
млад	믈라드	mɯlladɯ
општина	옵슈티나	ops͈jutʰina
шљивовица	슐리보비차	sjullibobit͡ɕʰa
šah	샤흐	sjahɯ
olovka	올로브카	ollobɯkʰa
malo	말로	mallo
kula	쿨라	kʰulla
šal	샬	sjal
osam	오삼	osam
svibanj	스비반	sɯbiban
narudžba	나루지바	nalud͡ɕiba
loman	로만	loman
kifla	키플라	kʰipʰɯlla
cigara	치가라	t͡ɕʰigala
novac	노바츠	nobat͡ɕʰɯ
šaraf	샤라프	sjalapʰɯ
zavoj	자보이	t͡ɕaboi
molim	몰림	mollim
izložba	이즐로주바	id͡ɕɯllod͡ɕuba
dugme	두그메	tugɯme
broš	브로시	pɯlosi
zubar	주바르	t͡ɕubalɯ
korist	코리스트	kʰolisɯtʰɯ
pozno	포즈노	pʰod͡ɕɯno
peta	페타	pʰetʰa
krug	크루그	kʰɯlugɯ
Niš	니시	nisi
много	므노고	mɯnogo
šljivovica	슐리보비차	sjullibobit͡ɕʰa
posle	포슬레	pʰosɯlle
hitan	히탄	hitʰan
mnogo	므노고	mɯnogo
naći	나치	nat͡ɕʰi
ljeto	레토	letʰo
mir	미르	milɯ
lep	레프	lepʰɯ
levo	레보	lebo
put	푸트	pʰutʰɯ
sedam	세담	sedam
balkon	발콘	palkʰon
točka	토치카	tʰot͡ɕʰikʰa
bakar	바카르	pakʰalɯ
desno	데스노	tesɯno
žena	제나	t͡ɕena
banka	반카	pankʰa
obraz	오브라즈	obɯlad͡ɕɯ
fasada	파사다	pʰasada
medved	메드베드	medɯbedɯ
бједро	베드로	pedɯlo
riba	리바	liba
proliv	프롤리브	pʰɯlollibɯ
smrt	스므르트	sɯmɯlɯtʰɯ
bog	보그	pogɯ
bjedro	베드로	pedɯlo
sjedlo	셰들로	sjedɯllo
kolač	콜라치	kʰollat͡ɕʰi
