csomag	tʃ o . m ʌ . ɡ ɯ
citrom	tʃ i . t ɯ . l o m
róka	l o . k ʌ
sál	s j a l
mert	m e . l ɯ . t ɯ
zsák	dʒ a . k ɯ
nagy	n ʌ . dʒ i
hónap	h o . n ʌ . p ɯ
blúz	b ɯ l . l u . dʒ ɯ
ár	a . l ɯ
rozs	l o . dʒ u
január	j ʌ . n u . a . l ɯ
húsz	h u . s ɯ
hal	h ʌ l
torna	t o . l ɯ . n ʌ
fej	p e . i
évszázad	e . b ɯ . s a . dʒ ʌ . d ɯ
nyer	n e . l ɯ
lakat	l ʌ . k ʌ . t ɯ
hányszor	h a . n i . s o . l ɯ
nyak	n j ʌ . k ɯ
isten	i . s j u . t e n
selyem	s j e . j e m
juh	j u . h ɯ
daru	d ʌ . l u
csont	tʃ o n . t ɯ
máj	m a . i
lapos	l ʌ . p o . s i
kezd	k e . dʒ ɯ . d ɯ
bomba	b o m . b ʌ
király	k i . l a . i
olaj	o l . l ʌ . i
lyuk	j u . k ɯ
ablak	ʌ . b ɯ l . l ʌ . k ɯ
borotva	b o . l o . t ɯ . b ʌ
álom	a l . l o m
nyugta	n j u . ɡ ɯ . t ʌ
meleg	m e l . l e . ɡ ɯ
bab	b ʌ . b ɯ
sí	s i
asztal	ʌ . s ɯ . t ʌ l
kulcs	k u l . tʃ i
gond	ɡ o n . d ɯ
elfog	e l . p o . ɡ ɯ
ajak	ʌ . j ʌ . k ɯ
dzsem	dʒ e m
vesz	b e . s ɯ
atya	ʌ . tʃ ʌ
arc	ʌ . l ɯ . tʃ ɯ
nyolcvan	n j o l . tʃ ɯ . b ʌ n
mész	m e . s ɯ
pihen	p i . h e n
medve	m e . d ɯ . b e
ajto	ʌ . i . t o
néma	n e . m ʌ
bunda	b u n . d ʌ
árpa	a . l ɯ . p ʌ
alszik	ʌ l . s i . k ɯ
béka	b e . k ʌ
málna	m a l . n ʌ
dinnye	d i n . n e
irány	i . l a . n i
mélység	m e . i . s j e . ɡ ɯ
aratás	ʌ . l ʌ . t a . s i
fű	p w i
csavar	tʃ ʌ . b ʌ . l ɯ
zab	dʒ ʌ . b ɯ
keksz	k e ɡ . s ɯ
len	l e n
csipke	tʃ i b . k e
Pest	p e . s j u . t ɯ
gyár	dʒ a . l ɯ
puska	p u . s j u . k ʌ
enyv	e . n i . b ɯ
dél	d e l
hagyma	h ʌ . dʒ i . m ʌ
gumi	ɡ u . m i
szék	s e . k ɯ
barna	b ʌ . l ɯ . n ʌ
hús	h u . s i
nulla	n u l . l ʌ
füst	p w i . s j u . t ɯ
