csomag	초머그	t͡ɕʰomʌgɯ
citrom	치트롬	t͡ɕʰitʰɯlom
róka	로커	lokʰʌ
sál	샬	sjal
mert	메르트	melɯtʰɯ
zsák	자크	t͡ɕakʰɯ
nagy	너지	nʌd͡ɕi
hónap	호너프	honʌpʰɯ
blúz	블루즈	pɯllud͡ɕɯ
ár	아르	alɯ
rozs	로주	lod͡ɕu
január	여누아르	jʌnualɯ
húsz	후스	husɯ
hal	헐	hʌl
torna	토르너	tʰolɯnʌ
fej	페이	pʰei
évszázad	에브사저드	ebɯsad͡ɕʌdɯ
nyer	네르	nelɯ
lakat	러커트	lʌkʰʌtʰɯ
hányszor	하니소르	hanisolɯ
nyak	녀크	njʌkʰɯ
isten	이슈텐	isjutʰen
selyem	셰옘	sjejem
juh	유흐	juhɯ
daru	더루	tʌlu
csont	촌트	t͡ɕʰontʰɯ
máj	마이	mai
lapos	러포시	lʌpʰosi
kezd	케즈드	kʰed͡ɕɯdɯ
bomba	봄버	pombʌ
király	키라이	kʰilai
olaj	올러이	ollʌi
lyuk	유크	jukʰɯ
ablak	어블러크	ʌbɯllʌkʰɯ
borotva	보로트버	polotʰɯbʌ
álom	알롬	allom
nyugta	뉴그터	njugɯtʰʌ
meleg	멜레그	mellegɯ
bab	버브	pʌbɯ
sí	시	si
asztal	어스털	ʌsɯtʰʌl
kulcs	쿨치	kʰult͡ɕʰi
gond	곤드	kondɯ
elfog	엘포그	elpʰogɯ
ajak	어여크	ʌjʌkʰɯ
dzsem	젬	t͡ɕem
vesz	베스	pesɯ
atya	어처	ʌt͡ɕʰʌ
arc	어르츠	ʌlɯt͡ɕʰɯ
nyolcvan	뇰츠번	njolt͡ɕʰɯbʌn
mész	메스	mesɯ
pihen	피헨	pʰihen
medve	메드베	medɯbe
ajto	어이토	ʌitʰo
néma	네머	nemʌ
bunda	분더	pundʌ
árpa	아르퍼	alɯpʰʌ
alszik	얼시크	ʌls͈ikʰɯ
béka	베커	pekʰʌ
málna	말너	mallʌ
dinnye	딘네	tinne
irány	이라니	ilani
mélység	메이셰그	meisjegɯ
aratás	어러타시	ʌlʌtʰasi
fű	퓌	pʰwi
csavar	처버르	t͡ɕʰʌbʌlɯ
zab	저브	t͡ɕʌbɯ
keksz	켁스	kʰeks͈ɯ
len	렌	len
csipke	칩케	t͡ɕʰipkʰe
Pest	페슈트	pʰesjutʰɯ
gyár	자르	t͡ɕalɯ
puska	푸슈커	pʰusjukʰʌ
enyv	에니브	enibɯ
dél	델	tel
hagyma	허지머	hʌd͡ɕimʌ
gumi	구미	kumi
szék	세크	sekʰɯ
barna	버르너	pʌlɯnʌ
hús	후시	husi
nulla	눌러	nullʌ
füst	퓌슈트	pʰwisjutʰɯ
