Þjórsá	s i . o . l ɯ . s a . u
Eyjafjallajökull	e . i . j a . p i . a . d ɯ l . l a . j e . k w i . d ɯ l
Mosfellsbær	m o . s ɯ . p e l . s ɯ . b a . i . l ɯ
Goðafoss	ɡ o . d a . p o . s ɯ
Vík	b i . k ɯ
Keflavík	k e . p ɯ l . l a . b i . k ɯ
Húsavík	h u . s a . b i . k ɯ
Kópavogur	k o . p a . b o . ɡ w i . l ɯ
Garðar	ɡ a . l ɯ . d a . l ɯ
Ólafsvík	o l . l a . p ɯ . s ɯ . b i . k ɯ
Reykjanes	l e . i . k j a . n e . s ɯ
Þórisvatn	s o . l i . s ɯ . b a . t ɯ n
Borganes	b o . l ɯ . ɡ a . n e . s ɯ
Vatnajökull	b a . t ɯ . n a . j e . k w i . d ɯ l
Njarðvík	n i . a . l ɯ . d ɯ . b i . k ɯ
Dalvík	d a l . b i . k ɯ
Surtsey	s w i . l ɯ . t ɯ . s e . i
Hvammstangi	k ɯ . b a m . s ɯ . t a . u ŋ . ɡ i
Þingvellir	s i ŋ . ɡ ɯ . b e . d ɯ l . l i . l ɯ
Akranes	a . k ɯ . l a . n e . s ɯ
Langjökull	l a . u ŋ . ɡ ɯ . j e . k w i . d ɯ l
Skjálfandafljót	s ɯ . k j a . u l . b a n . d a . p ɯ l . l i . o . t ɯ
Sjón	s j o n
Stykkishólmur	s ɯ . t i . k i . s ɯ . h o l . m w i . l ɯ
Djúpivogur	d i . u . p i . b o . ɡ w i . l ɯ
Hofsjökull	h o . p ɯ . s ɯ . j e . k w i . d ɯ l
Grímsey	ɡ ɯ . l i m . s e . i
Selfoss	s e l . p o . s ɯ
Mugison	m w i . i . i . s o n
Akureyri	a . k w i . l e . i . l i
Mývatn	m i . b a . t ɯ n
Hólmavík	h o l . m a . b i . k ɯ
Bolungarvík	b o l . l u ŋ . ɡ a . l ɯ . b i . k ɯ
Lagarfljólt	l a . ɡ a . l ɯ . p ɯ l . l i . o l . t ɯ
Mýrdalsjökull	m i . l ɯ . d a l . s ɯ . j e . k w i . d ɯ l
Egilsstaðir	e . i . i l . s ɯ . t a . d i . l ɯ
Grindavík	ɡ ɯ . l i n . d a . b i . k ɯ
Hvíta	k ɯ . b i . t a
Reykjavík	l e . i . k j a . b i . k ɯ
