allegretto	a l l e g ɯ l e t o
gita	dʒ i t a
bisnonno	b i s ɯ n o n n o
Pinocchio	p i n o k i o
Bologna	b o l l o n j a
Torino	t o l i n o
sol	s o l
carro	k a l o
poetica	p o e t i k a
Vivace	b i b a tʃ e
uva	u b a
rosso	l o s o
micio	m i tʃ o
Anna	a n n a
mezzo	m e tʃ o
gomma	ɡ o m m a
quello	k w e l l o
Firenze	p i l e n tʃ e
palco	p a l k o
italia	i t a l l i a
soqquadro	s o k w a d ɯ l o
Caravaggio	k a l a b a dʒ o
capra	k a p ɯ l a
Como	k o m o
erta	e l ɯ t a
quando	k w a n d o
Fognini	p o n i n i
Milano	m i l l a n o
Dante	d a n t e
genere	dʒ e n e l e
Pisa	p i s a
gnocco	n j o k o
Fabrizio	p a b ɯ l i tʃ i o
Tosca	t o s ɯ k a
polca	p o l k a
Juventus	j u b e n t u s ɯ
Roma	l o m a
cherubino	k e l u b i n o
prima	p ɯ l i m a
freddo	p ɯ l e d o
gnu	n j u
Innocenti	i n n o tʃ e n t i
oh	o
glossa	ɡ ɯ l l o s a
nozze	n o tʃ e
gneiss	n j e i s ɯ
oblio	o b ɯ l l i o
hanno	a n n o
caccia	k a tʃ a
Carlo	k a l ɯ l l o
gloria	ɡ ɯ l l o l i a
crescendo	k ɯ l e s j e n d o
Rex	l e k s ɯ
sbozzacchisce	s ɯ b o tʃ a k i s j e
bravo	b ɯ l a b o
tranne	t ɯ l a n n e
paglia	p a l l i a
padrone	p a d ɯ l o n e
manovra	m a n o b ɯ l a
buffa	b u p a
infamia	i n p a m i a
Campanella	k a m p a n e l l a
manica	m a n i k a
ogni	o n i
drizza	d ɯ l i tʃ a
Scalenghe	s ɯ k a l l e n g e
nephos	n e p o s ɯ
spuma	s ɯ p u m a
cenere	tʃ e n e l e
egli	e l l i
asma	a s ɯ m a
Galileo	ɡ a l l i l l e o
queto	k w e t o
Marconi	m a l ɯ k o n i
Cerigotto	tʃ e l i g o t o
mancanza	m a n k a n tʃ a
Puccini	p u tʃ i n i
credo	k ɯ l e d o
montagna	m o n t a n j a
sasso	s a s o
quota	k u o t a
Anghiari	a n g i a l i
quieto	k w i e t o
scivolo	s i b o l l o
Ignazio	i n j a tʃ i o
Macchiavelli	m a k i a b e l l i
largo	l a l ɯ g o
cima	tʃ i m a
Sorrento	s o l e n t o
Sicilia	s i tʃ i l l i a
Genova	dʒ e n o b a
abituro	a b i t u l o
Schiavonia	s ɯ k i a b o n i a
divertimento	d i b e l ɯ t i m e n t o
mamma	m a m m a
scudo	s ɯ k u d o
Nero	n e l o
Fogli	p o l l i
tiramisù	t i l a m i s u
pizza	p i tʃ a
spaghetti	s ɯ p a g e t i
pasta	p a s ɯ t a
nutella	n u t e l l a
vongole	b o n g o l l e
gelato	dʒ e l l a t o
maccheroni	m a k e l o n i
dólce	d o l tʃ e
ciabatta	tʃ a b a t a
Salami	s a l l a m i
broccoli	b ɯ l o k o l l i
Gnocchi	n j o k i
bruschetta	b ɯ l u s ɯ k e t a
gorgonzola	ɡ o l ɯ g o n tʃ o l l a
mozzarella	m o tʃ a l e l l a
mascarpone	m a s ɯ k a l ɯ p o n e
carbonara	k a l ɯ b o n a l a
ricotta	l i k o t a
macchiato	m a k i a t o
affogato	a p o g a t o
cappuccino	k a p u tʃ i n o
espresso	e s ɯ p ɯ l e s o
barista	b a l i s ɯ t a
cantata	k a n t a t a
madonna	m a d o n n a
bolero	b o l l e l o
ocarina	o k a l i n a
piccolo	p i k o l l o
Fuga	p u g a
Aria	a l i a
soprano	s o p ɯ l a n o
alto	a l t o
Maestro	m a e s ɯ t ɯ l o
cantabile	k a n t a b i l l e
forte	p o l ɯ t e
piano	p i a n o
fortissimo	p o l ɯ t i s i m o
pianissimo	p i a n i s i m o
staccato	s ɯ t a k a t o
diminuendo	d i m i n u e n d o
andante	a n d a n t e
andantino	a n d a n t i n o
moderato	m o d e l a t o
allegreto	a l l e g ɯ l e t o
allegro	a l l e g ɯ l o
vivace	b i b a tʃ e
biennale	b i e n n a l l e
torso	t o l ɯ s o
graffiti	ɡ ɯ l a p i t i
fresco	p ɯ l e s ɯ k o
libero	l i b e l o
ballerina	b a l l e l i n a
ballerino	b a l l e l i n o
paparazzi	p a p a l a tʃ i
mafia	m a p i a
Amore	a m o l e
prèsto	p ɯ l e s ɯ t o
