allegretto	알레그레토	allegɯletʰo
gita	지타	t͡ɕitʰa
bisnonno	비스논노	pisɯnonno
Pinocchio	피노키오	pʰinokʰio
Bologna	볼로냐	pollonja
Torino	토리노	tʰolino
sol	솔	sol
carro	카로	kʰalo
poetica	포에티카	pʰoetʰikʰa
Vivace	비바체	pibat͡ɕʰe
uva	우바	uba
rosso	로소	loso
micio	미초	mit͡ɕʰo
Anna	안나	anna
mezzo	메초	met͡ɕʰo
gomma	곰마	komma
quello	퀠로	kʰwello
Firenze	피렌체	pʰilent͡ɕʰe
palco	팔코	pʰalkʰo
italia	이탈리아	itʰallia
soqquadro	소콰드로	sokʰwadɯlo
Caravaggio	카라바조	kʰalabad͡ɕo
capra	카프라	kʰapʰɯla
Como	코모	kʰomo
erta	에르타	elɯtʰa
quando	콴도	kʰwando
Fognini	포니니	pʰonini
Milano	밀라노	millano
Dante	단테	tantʰe
genere	제네레	t͡ɕenele
Pisa	피사	pʰisa
gnocco	뇨코	njokʰo
Fabrizio	파브리치오	pʰabɯlit͡ɕʰio
Tosca	토스카	tʰosɯkʰa
polca	폴카	pʰolkʰa
Juventus	유벤투스	jubentʰusɯ
Roma	로마	loma
cherubino	케루비노	kʰelubino
prima	프리마	pʰɯlima
freddo	프레도	pʰɯledo
gnu	뉴	nju
Innocenti	인노첸티	innot͡ɕʰentʰi
oh	오	o
glossa	글로사	kɯllosa
nozze	노체	not͡ɕʰe
gneiss	녜이스	njeisɯ
oblio	오블리오	obɯllio
hanno	안노	anno
caccia	카차	kʰat͡ɕʰa
Carlo	카를로	kʰalɯllo
gloria	글로리아	kɯllolia
crescendo	크레셴도	kʰɯlesjendo
Rex	렉스	leks͈ɯ
sbozzacchisce	스보차키셰	sɯbot͡ɕʰakʰisje
bravo	브라보	pɯlabo
tranne	트란네	tʰɯlanne
paglia	팔리아	pʰallia
padrone	파드로네	pʰadɯlone
manovra	마노브라	manobɯla
buffa	부파	pupʰa
infamia	인파미아	inpʰamia
Campanella	캄파넬라	kʰampʰanella
manica	마니카	manikʰa
ogni	오니	oni
drizza	드리차	tɯlit͡ɕʰa
Scalenghe	스칼렌게	sɯkʰallenge
nephos	네포스	nepʰosɯ
spuma	스푸마	sɯpʰuma
cenere	체네레	t͡ɕʰenele
egli	엘리	elli
asma	아스마	asɯma
Galileo	갈릴레오	kallilleo
queto	퀘토	kʰwetʰo
Marconi	마르코니	malɯkʰoni
Cerigotto	체리고토	t͡ɕʰeligotʰo
mancanza	만칸차	mankʰant͡ɕʰa
Puccini	푸치니	pʰut͡ɕʰini
credo	크레도	kʰɯledo
montagna	몬타냐	montʰanja
sasso	사소	saso
quota	쿠오타	kʰuotʰa
Anghiari	안기아리	angiali
quieto	퀴에토	kʰwietʰo
scivolo	시볼로	sibollo
Ignazio	이냐치오	injat͡ɕʰio
Macchiavelli	마키아벨리	makʰiabelli
largo	라르고	lalɯgo
cima	치마	t͡ɕʰima
Sorrento	소렌토	solentʰo
Sicilia	시칠리아	sit͡ɕʰillia
Genova	제노바	t͡ɕenoba
abituro	아비투로	abitʰulo
Schiavonia	스키아보니아	sɯkʰiabonia
divertimento	디베르티멘토	tibelɯtʰimentʰo
mamma	맘마	mamma
scudo	스쿠도	sɯkʰudo
Nero	네로	nelo
Fogli	폴리	pʰolli
tiramisù	티라미수	tʰilamisu
pizza	피차	pʰit͡ɕʰa
spaghetti	스파게티	sɯpʰagetʰi
pasta	파스타	pʰasɯtʰa
nutella	누텔라	nutʰella
vongole	본골레	pongolle
gelato	젤라토	t͡ɕellatʰo
maccheroni	마케로니	makʰeloni
dólce	돌체	tolt͡ɕʰe
ciabatta	차바타	t͡ɕʰabatʰa
Salami	살라미	sallami
broccoli	브로콜리	pɯlokʰolli
Gnocchi	뇨키	njokʰi
bruschetta	브루스케타	pɯlusɯkʰetʰa
gorgonzola	고르곤촐라	kolɯgont͡ɕʰolla
mozzarella	모차렐라	mot͡ɕʰalella
mascarpone	마스카르포네	masɯkʰalɯpʰone
carbonara	카르보나라	kʰalɯbonala
ricotta	리코타	likʰotʰa
macchiato	마키아토	makʰiatʰo
affogato	아포가토	apʰogatʰo
cappuccino	카푸치노	kʰapʰut͡ɕʰino
espresso	에스프레소	esɯpʰɯleso
barista	바리스타	palisɯtʰa
cantata	칸타타	kʰantʰatʰa
madonna	마돈나	madonna
bolero	볼레로	pollelo
ocarina	오카리나	okʰalina
piccolo	피콜로	pʰikʰollo
Fuga	푸가	pʰuga
Aria	아리아	alia
soprano	소프라노	sopʰɯlano
alto	알토	altʰo
Maestro	마에스트로	maesɯtʰɯlo
cantabile	칸타빌레	kʰantʰabille
forte	포르테	pʰolɯtʰe
piano	피아노	pʰiano
fortissimo	포르티시모	pʰolɯtʰisimo
pianissimo	피아니시모	pʰianisimo
staccato	스타카토	sɯtʰakʰatʰo
diminuendo	디미누엔도	timinuendo
andante	안단테	andantʰe
andantino	안단티노	andantʰino
moderato	모데라토	modelatʰo
allegreto	알레그레토	allegɯletʰo
allegro	알레그로	allegɯlo
vivace	비바체	pibat͡ɕʰe
biennale	비엔날레	piennalle
torso	토르소	tʰolɯso
graffiti	그라피티	kɯlapʰitʰi
fresco	프레스코	pʰɯlesɯkʰo
libero	리베로	libelo
ballerina	발레리나	pallelina
ballerino	발레리노	pallelino
paparazzi	파파라치	pʰapʰalat͡ɕʰi
mafia	마피아	mapʰia
Amore	아모레	amole
prèsto	프레스토	pʰɯlesɯtʰo
