東京	d o . k j o
九州	ɡ j u . s j u
新潟	n i . ɡ a . t a
大阪	o . s a . k a
秋葉原	a . k i . h a . b a . l a
北海道	h o t . k a . i . d o
京都	ɡ j o . t o
神戸	ɡ o . b e
姫路	h i . m e . dʒ i
嵐山	a . l a . s i . j a . m a
西表	i . l i . o . m o . t e
渋谷	s i . b u . j a
東北	d o . h o . k u
自由ヶ丘	dʒ i . j u . ɡ a . o . k a
鳩ヶ谷	h a . t o . ɡ a . j a
茅ヶ崎	dʒ i . ɡ a . s a . k i
関ヶ原	s e . k i . ɡ a . h a . l a
カルビー	ɡ a . l u . b i
京セラ	ɡ j o . s e . l a
九州おぎはら産業	ɡ j u . s j u . o . ɡ i . h a . l a . s a n . ɡ j o
任天堂	n i n . t e n . d o
日産	n i t . s a n
ダイソー	d a . i . s o
東芝	d o . s i . b a
三洋	s a n . j o
セガ	s e . ɡ a
ソニー	s o . n i
日立	h i . t a . tʃ i
スタジオジブリ	s ɯ . t a . dʒ i . o . dʒ i . b u . l i
寿司	s ɯ . s i
丼	d o n . b u . l i
麺類	m e n . l u . i
刺身	s a . s i . m i
山葵	w a . s a . b i
焼き蕎麦	j a . k i . s o . b a
たこやき	d a . k o . j a . k i
天空の城ラピュタ	d e n . k u . n o . s i . l o . l a . p j u . t a
風の谷のナウシカ	ɡ a . dʒ e . n o . t a . n i . n o . n a . u . s i . k a
新世紀エヴァンゲリオン	s i n . s e . i . k i . e . b a n . ɡ e . l i . o n
スレイヤーズ	s ɯ . l e . i . j a . dʒ ɯ
美少女戦士セーラームーン	b i . s j o . dʒ o . s e n . s i . s e . l a . m u n
ポケットモンスター	p o . k e t . t o . m o n . s ɯ . t a
デジタルモンスター	d e . dʒ i . t a . l u . m o n . s ɯ . t a
魔女の宅急便	m a . dʒ o . n o . t a t . k j u . b i n
神秘の世界エルハザード	s i n . p i . n o . s e . k a . i . e . l u . h a . dʒ a . d o
天地無用	d e n . tʃ i . m u . j o
ああっ女神さまっ	a . a t . m e . ɡ a . m i . s a . m a t
ハウルの動く城	h a . u . l u . n o . u . ɡ o . k u . s i . l o
言の葉の庭	ɡ o . t o . n o . h a . n o . n i . w a
魔界戦記ディスガイア	m a . k a . i . s e n . k i . d i . s ɯ . ɡ a . i . a
スーパーマリオ	s ɯ . p a . m a . l i . o
犬夜叉	i . n u . j a . s j a
歴史への招待	l e . k i . s i . h e . n o . s j o . t a . i
パソコン	p a . s o . k o n
トイレット	d o . i . l e t . t o
バス	b a . s ɯ
タクシー	d a . k u . s i
キーボード	ɡ i . b o . d o
マクドナルド	m a . k u . d o . n a . l u . d o
ディーブイディー	d i . b u . i . d i
ヴァイオリン	b a . i . o . l i n
ヴナロード	b ɯ . n a . l o . d o
ニヴヒ	n i . b ɯ . h i
ネゲヴ	n e . ɡ e . b ɯ
モルジヴ	m o . l u . dʒ i . b ɯ
テルアヴィヴヤッフォ	d e . l u . a . b i . b ɯ . j a t . p o
時々	d o . k i . d o . k i
人々	h i . t o . b i . t o
山々	j a . m a . j a . m a
個々	ɡ o . k o
代々木	j o . j o . ɡ i
さゝき	s a . s a . k i
いすゞ	i . s ɯ . dʒ ɯ
バナヽ	b a . n a . n a
いすゞ自動車	i . s ɯ . dʒ ɯ . dʒ i . d o . s j a
いいえ	i . e
かわいい	ɡ a . w a . i . i
思う	o . m o . u
縫う	n u . u
聞いて	ɡ i . i . t e
青森は寒かろう	a . o . m o . l i . h a . s a . m u . k a . l o
ごはんを食べよう	ɡ o . h a n . o . t a . b e . j o
きれいだろう	ɡ i . l e . i . d a . l o
起きよう	o . k i . j o
話さなかろう	h a . n a . s a . n a . k a . l o
起きさせよう	o . k i . s a . s e . j o
本物らしい	h o n . m o . n o . l a . s i
アーボ	a . b o
ピカチュウ	p i . k a . tʃ u
ライチュウ	l a . i . tʃ u
プリン	p u . l i n
パラス	p a . l a . s ɯ
ディグダ	d i . ɡ u . d a
ガーディ	ɡ a . d i
ケーシィ	ɡ e . s i
ヤドン	j a . d o n
ヤドラン	j a . d o . l a n
ゴース	ɡ o . s ɯ
ゴースト	ɡ o . s ɯ . t o
ルージュラ	l u . dʒ u . l a
ラプラス	l a . p u . l a . s ɯ
メタモン	m e . t a . m o n
イーブイ	i . b u . i
プテラ	p u . t e . l a
ミュウ	m j u
