東京	도쿄	tokʰjo
九州	규슈	kjusju
新潟	니가타	nigatʰa
大阪	오사카	osakʰa
秋葉原	아키하바라	akʰihabala
北海道	홋카이도	hotkʰaido
京都	교토	kjotʰo
神戸	고베	kobe
姫路	히메지	himed͡ɕi
嵐山	아라시야마	alasijama
西表	이리오모테	iliomotʰe
渋谷	시부야	sibuja
東北	도호쿠	tohokʰu
自由ヶ丘	지유가오카	t͡ɕijugaokʰa
鳩ヶ谷	하토가야	hatʰogaja
茅ヶ崎	지가사키	t͡ɕigasakʰi
関ヶ原	세키가하라	sekʰigahala
カルビー	가루비	kalubi
京セラ	교세라	kjosela
九州おぎはら産業	규슈오기하라산교	kjusjuogihalasank͈jo
任天堂	닌텐도	nintʰendo
日産	닛산	nits͈an
ダイソー	다이소	taiso
東芝	도시바	tosiba
三洋	산요	sanjo
セガ	세가	sega
ソニー	소니	soni
日立	히타치	hitʰat͡ɕʰi
スタジオジブリ	스타지오지부리	sɯtʰad͡ɕiod͡ɕibuli
寿司	스시	sɯsi
丼	돈부리	tonbuli
麺類	멘루이	mellui
刺身	사시미	sasimi
山葵	와사비	wasabi
焼き蕎麦	야키소바	jakʰisoba
たこやき	다코야키	takʰojakʰi
天空の城ラピュタ	덴쿠노시로라퓨타	tenkʰunosilolapʰjutʰa
風の谷のナウシカ	가제노타니노나우시카	kad͡ɕenotʰaninonausikʰa
新世紀エヴァンゲリオン	신세이키에반게리온	sins͈eikʰiebangelion
スレイヤーズ	스레이야즈	sɯleijad͡ɕɯ
美少女戦士セーラームーン	비쇼조센시세라문	pisjod͡ɕosens͈iselamun
ポケットモンスター	포켓토몬스타	pʰokʰettʰomons͈ɯtʰa
デジタルモンスター	데지타루몬스타	ted͡ɕitʰalumons͈ɯtʰa
魔女の宅急便	마조노탓큐빈	mad͡ɕonotʰatkʰjubin
神秘の世界エルハザード	신피노세카이에루하자도	sinpʰinosekʰaieluhad͡ɕado
天地無用	덴치무요	tent͡ɕʰimujo
ああっ女神さまっ	아앗메가미사맛	aanmegamisamat
ハウルの動く城	하우루노우고쿠시로	haulunougokʰusilo
言の葉の庭	고토노하노니와	kotʰonohanoniwa
魔界戦記ディスガイア	마카이센키디스가이아	makʰaisenkʰidisɯgaia
スーパーマリオ	스파마리오	sɯpʰamalio
犬夜叉	이누야샤	inujasja
歴史への招待	레키시헤노쇼타이	lekʰisihenosjotʰai
パソコン	파소콘	pʰasokʰon
トイレット	도이렛토	toilettʰo
バス	바스	pasɯ
タクシー	다쿠시	takʰusi
キーボード	기보도	kibodo
マクドナルド	마쿠도나루도	makʰudonaludo
ディーブイディー	디부이디	tibuidi
ヴァイオリン	바이오린	paiolin
ヴナロード	브나로도	pɯnalodo
ニヴヒ	니브히	nibɯhi
ネゲヴ	네게브	negebɯ
モルジヴ	모루지브	molud͡ɕibɯ
テルアヴィヴヤッフォ	데루아비브얏포	teluabibɯjatpʰo
時々	도키도키	tokʰidokʰi
人々	히토비토	hitʰobitʰo
山々	야마야마	jamajama
個々	고코	kokʰo
代々木	요요기	jojogi
さゝき	사사키	sasakʰi
いすゞ	이스즈	isɯd͡ɕɯ
バナヽ	바나나	panana
いすゞ自動車	이스즈지도샤	isɯd͡ɕɯd͡ɕidosja
いいえ	이에	ie
かわいい	가와이이	kawaii
思う	오모우	omou
縫う	누우	nuu
聞いて	기이테	kiitʰe
青森は寒かろう	아오모리하사무카로	aomolihasamukʰalo
ごはんを食べよう	고한오타베요	kohanotʰabejo
きれいだろう	기레이다로	kileidalo
起きよう	오키요	okʰijo
話さなかろう	하나사나카로	hanasanakʰalo
起きさせよう	오키사세요	okʰisasejo
本物らしい	혼모노라시	honmonolasi
アーボ	아보	abo
ピカチュウ	피카추	pʰikʰat͡ɕʰu
ライチュウ	라이추	lait͡ɕʰu
プリン	푸린	pʰulin
パラス	파라스	pʰalasɯ
ディグダ	디구다	tiguda
ガーディ	가디	kadi
ケーシィ	게시	kesi
ヤドン	야돈	jadon
ヤドラン	야도란	jadolan
ゴース	고스	kosɯ
ゴースト	고스토	kosɯtʰo
ルージュラ	루주라	lud͡ɕula
ラプラス	라푸라스	lapʰulasɯ
メタモン	메타몬	metʰamon
イーブイ	이부이	ibui
プテラ	푸테라	pʰutʰela
ミュウ	뮤	mju
