ბურჯანაძე	b u l ɯ dʒ a n a dʒ e
გრიგოლ	ɡ ɯ l i g o l
არაყიშვილი	a l a k i s j u b i l l i
ნიკოლოზ	n i k o l l o dʒ ɯ
ზუგდიდი	dʒ u g ɯ d i d i
ფოთი	p o t i
რაფიელ	l a p i e l
ჩიქობავა	tʃ i k o b a b a
მაყვალა	m a k ɯ b a l l a
ლევან	l e b a n
სააკაშვილი	s a k a s j u b i l l i
თამარი	t a m a l i
ნიკა	n i k a
სააკაძე	s a k a dʒ e
ჟვანია	dʒ u b a n i a
პეტრე	p e t ɯ l e
კონსტანტინე	k o n s ɯ t a n t i n e
მერაბ	m e l a b ɯ
კიტა	k i t a
გრიშაშვილი	ɡ ɯ l i s j a s j u b i l l i
ქასრაშვილი	k a s ɯ l a s j u b i l l i
მანაგაძე	m a n a g a dʒ e
მტკვარი	ɯ m t ɯ k ɯ b a l i
ელენე	e l l e n e
ზურაბ	dʒ u l a b ɯ
გილაური	ɡ i l l a u l i
ჯვარი	dʒ ɯ b a l i
არნოლდ	a l ɯ n o l d ɯ
გამსახურდია	ɡ a m s a h u l ɯ d i a
ბათუმი	b a t u m i
ფარნავაზი	p a l ɯ n a b a dʒ i
ნინო	n i n o
იოსებ	i o s e b ɯ
კახა	k a h a
ავტო	a p ɯ t o
მითრიდატე	m i t ɯ l i d a t e
კოსტავა	k o s ɯ t a b a
ერისთავი	e l i s ɯ t a b i
ფაჩულია	p a tʃ u l l i a
აბაშიძე	a b a s i dʒ e
აზმაიფარაშვილი	a dʒ ɯ m a i p a l a s j u b i l l i
ჯავახიშვილი	dʒ a b a h i s j u b i l l i
არველაძე	a l ɯ b e l l a dʒ e
ედუარდ	e d u a l ɯ d ɯ
კალანდაძე	k a l l a n d a dʒ e
ზარზმა	dʒ a l ɯ dʒ ɯ m a
დავით	d a b i t ɯ
ახვლედიანი	a h ɯ b ɯ l l e d i a n i
მთაწმინდა	ɯ m t a tʃ ɯ m i n d a
მგალობლიშვილ	ɯ m g a l l o b ɯ l l i s j u b i l
ზაზა	dʒ a dʒ a
თათია	t a t i a
მიხეილ	m i h e i l
კალაძე	k a l l a dʒ e
ბარათაშვილი	b a l a t a s j u b i l l i
დიმიტრი	d i m i t ɯ l i
ალექსანდრე	a l l e k ɯ s a n d ɯ l e
ზვიად	dʒ ɯ b i a d ɯ
ჭილაშვილი	tʃ i l l a s j u b i l l i
ანა	a n a
რუსთავი	l u s ɯ t a b i
ვახუშტი	b a h u s j u t i
ღონღაძე	ɡ o n g a dʒ e
ამილახვარი	a m i l l a h ɯ b a l i
შევარდნაძე	s j e b a l ɯ d ɯ n a dʒ e
კახაბერ	k a h a b e l ɯ
ქუთაისი	k u t a i s i
გიორგი	ɡ i o l ɯ g i
ავალიშვილი	a b a l l i s j u b i l l i
თბილისი	t ɯ b i l l i s i
შოთა	s j o t a
გორი	ɡ o l i
