ბურჯანაძე	부르자나제	pulɯd͡ɕanad͡ɕe
გრიგოლ	그리골	kɯligol
არაყიშვილი	아라키슈빌리	alakʰisjubilli
ნიკოლოზ	니콜로즈	nikʰollod͡ɕɯ
ზუგდიდი	주그디디	t͡ɕugɯdidi
ფოთი	포티	pʰotʰi
რაფიელ	라피엘	lapʰiel
ჩიქობავა	치코바바	t͡ɕʰikʰobaba
მაყვალა	마크발라	makʰɯballa
ლევან	레반	leban
სააკაშვილი	사카슈빌리	sakʰasjubilli
თამარი	타마리	tʰamali
ნიკა	니카	nikʰa
სააკაძე	사카제	sakʰad͡ɕe
ჟვანია	주바니아	t͡ɕubania
პეტრე	페트레	pʰetʰɯle
კონსტანტინე	콘스탄티네	kʰons͈ɯtʰantʰine
მერაბ	메라브	melabɯ
კიტა	키타	kʰitʰa
გრიშაშვილი	그리샤슈빌리	kɯlisjasjubilli
ქასრაშვილი	카스라슈빌리	kʰasɯlasjubilli
მანაგაძე	마나가제	managad͡ɕe
მტკვარი	음트크바리	ɯmtʰɯkʰɯbali
ელენე	엘레네	ellene
ზურაბ	주라브	t͡ɕulabɯ
გილაური	길라우리	killauli
ჯვარი	즈바리	t͡ɕɯbali
არნოლდ	아르놀드	alɯnoldɯ
გამსახურდია	감사후르디아	kams͈ahulɯdia
ბათუმი	바투미	patʰumi
ფარნავაზი	파르나바지	pʰalɯnabad͡ɕi
ნინო	니노	nino
იოსებ	이오세브	iosebɯ
კახა	카하	kʰaha
ავტო	아프토	apʰɯtʰo
მითრიდატე	미트리다테	mitʰɯlidatʰe
კოსტავა	코스타바	kʰosɯtʰaba
ერისთავი	에리스타비	elisɯtʰabi
ფაჩულია	파출리아	pʰat͡ɕʰullia
აბაშიძე	아바시제	abasid͡ɕe
აზმაიფარაშვილი	아즈마이파라슈빌리	ad͡ɕɯmaipʰalasjubilli
ჯავახიშვილი	자바히슈빌리	t͡ɕabahisjubilli
არველაძე	아르벨라제	alɯbellad͡ɕe
ედუარდ	에두아르드	edualɯdɯ
კალანდაძე	칼란다제	kʰallandad͡ɕe
ზარზმა	자르즈마	t͡ɕalɯd͡ɕɯma
დავით	다비트	tabitʰɯ
ახვლედიანი	아흐블레디아니	ahɯbɯllediani
მთაწმინდა	음타츠민다	ɯmtʰat͡ɕʰɯminda
მგალობლიშვილ	음갈로블리슈빌	ɯmgallobɯllisjubil
ზაზა	자자	t͡ɕad͡ɕa
თათია	타티아	tʰatʰia
მიხეილ	미헤일	miheil
კალაძე	칼라제	kʰallad͡ɕe
ბარათაშვილი	바라타슈빌리	palatʰasjubilli
დიმიტრი	디미트리	timitʰɯli
ალექსანდრე	알레크산드레	allekʰɯsandɯle
ზვიად	즈비아드	t͡ɕɯbiadɯ
ჭილაშვილი	칠라슈빌리	t͡ɕʰillasjubilli
ანა	아나	ana
რუსთავი	루스타비	lusɯtʰabi
ვახუშტი	바후슈티	pahusjutʰi
ღონღაძე	곤가제	kongad͡ɕe
ამილახვარი	아밀라흐바리	amillahɯbali
შევარდნაძე	셰바르드나제	sjebalɯdɯnad͡ɕe
კახაბერ	카하베르	kʰahabelɯ
ქუთაისი	쿠타이시	kʰutʰaisi
გიორგი	기오르기	kiolɯgi
ავალიშვილი	아발리슈빌리	aballisjubilli
თბილისი	트빌리시	tʰɯbillisi
შოთა	쇼타	sjotʰa
გორი	고리	koli
