gahnite	k a n a i t
garnetting	k a n e t i ŋ
GANEFO	k a n e p o
garnett	k a n e t
Garnett	k a n e t
Ganymede	k a n i m e d e
garnierite	k a n i ʌ l a i t
garnet	k a n i t
Gadda	k a d a
gadolinite	k a d o l l i n a i t
gadolinium	k a d o l l i n j u m
guard	k a d
Gardiner	k a d n ʌ
Gardner	k a d n ʌ
Gargantua	k a l g a ŋ t w i a
Garnier	k a l n i e
Garborg	k a l b o l g
Gary	k a l i
Garibaldi	k a l i b a l d i
garial	k a l i a l
Gamaliel	k a m a l l i e l
gammil	k a m i l
Gabin	k a b ɛ ŋ
garbology	k a b o l l ʌ d i
Gabriel	k a b l i e l
Gabrieli	k a b l i e l l i
Garvey	k a b i
garbage	k a b i d i
Gassendi	k a s a ŋ d i
gasogen	k a s o g e n
gasohol	k a s o o l
gasoline	k a s o l l i n
gas	k a s
gasteria	k a s t e l i a
gastrinoma	k a s t l i n o m a
gastrin	k a s t l i n
gospel	k a s p e l
gossip	k a s i p
gayal	k a j a l
gaur	k a u l
gauss	k a u s
Gauss	k a u s
Gautama	k a u t a m a
gown	k a u n
Gower	k a w ʌ
Geiger	k a i g ʌ
guide	k a i d
guidebook	k a i d b u k
Geibel	k a i b e l
Gaiseric	k a i s e l i k
Geissler	k a i s l l ʌ
Gaea	k a i a
Gaius	k a i u s
Geyser	k a i d ʌ
gazania	k a d a n i a
Gazette	k a d e t
gazelle	k a d e l
Catholic	k a t o l l i k
GATT	k a t
GARP	k a p
garfish	k a p i s i
Garfield	k a p i l d
Gandhi	k a n d i
Gandhiism	k a n d i d m
Gall	k a l
gal	k a l
Galdan	k a l d a n
Galago	k a l l a g o
gallacetophenone	k a l l a s e t o p e n o n
Galateia	k a l l a t e i a
Galatia	k a l l a t i a
galactan	k a l l a k t a n
galactosamine	k a l l a k t o s a m i n
galactoside	k a l l a k t o s i d
galactose	k a l l a k t o o s
galanthamine	k a l l a n t a m i n
Galanthus	k a l l a n t u s
Galland	k a l l a ŋ
Garland	k a l l ʌ n d
Galle	k a l l e
Galenos	k a l l e n o s
Galois	k a l l u a
