gahnite	가나이트	kanaitʰɯ
garnetting	가네팅	kanetʰiŋ
GANEFO	가네포	kanepʰo
garnett	가넷	kanet
Garnett	가넷	kanet
Ganymede	가니메데	kanimede
garnierite	가니어라이트	kaniʌlaitʰɯ
garnet	가닛	kanit
Gadda	가다	kada
gadolinite	가돌리나이트	kadollinaitʰɯ
gadolinium	가돌리늄	kadollinjum
guard	가드	kadɯ
Gardiner	가드너	kadɯnʌ
Gardner	가드너	kadɯnʌ
Gargantua	가르강튀아	kalɯgaŋtʰwia
Garnier	가르니에	kalɯnie
Garborg	가르보르그	kalɯbolɯgɯ
Gary	게리	keli
Garibaldi	가리발디	kalibaldi
garial	가리알	kalial
Gamaliel	가말리엘	kamalliel
gammil	가밀	kamil
Gabin	가뱅	kabɛŋ
garbology	가볼러지	kabollʌd͡ɕi
Gabriel	가브리엘	kabɯliel
Gabrieli	가브리엘리	kabɯlielli
Garvey	가비	kabi
garbage	가비지	kabid͡ɕi
Gassendi	가상디	kasaŋdi
gasogen	가소겐	kasogen
gasohol	가소올	kasool
gasoline	가솔린	kasollin
gas	가스	kasɯ
gasteria	가스테리아	kasɯtʰelia
gastrinoma	가스트리노마	kasɯtʰɯlinoma
gastrin	가스트린	kasɯtʰɯlin
gospel	가스펠	kasɯpʰel
gossip	가십	kasip
gayal	가얄	kajal
gaur	가우르	kaulɯ
gauss	가우스	kausɯ
Gauss	가우스	kausɯ
Gautama	가우타마	kautʰama
gown	가운	kaun
Gower	가워	kawʌ
Geiger	가이거	kaigʌ
guide	가이드	kaidɯ
guidebook	가이드북	kaidɯbuk
Geibel	가이벨	kaibel
Gaiseric	가이세리크	kaiselikʰɯ
Geissler	가이슬러	kaisɯllʌ
Gaea	가이아	kaia
Gaius	가이우스	kaiusɯ
Geyser	가이저	kaid͡ɕʌ
gazania	가자니아	kad͡ɕania
Gazette	가제트	kad͡ɕetʰɯ
gazelle	가젤	kad͡ɕel
Catholic	가톨릭	katʰollik
GATT	가트	katʰɯ
GARP	가프	kapʰɯ
garfish	가피시	kapʰisi
Garfield	가필드	kapʰildɯ
Gandhi	간디	kandi
Gandhiism	간디즘	kandid͡ɕɯm
Gall	갈	kal
gal	갈	kal
Galdan	갈단	kaldan
Galago	갈라고	kallago
gallacetophenone	갈라세토페논	kallasetʰopʰenon
Galateia	갈라테이아	kallatʰeia
Galatia	갈라티아	kallatʰia
galactan	갈락탄	kallaktʰan
galactosamine	갈락토사민	kallaktʰosamin
galactoside	갈락토시드	kallaktʰosidɯ
galactose	갈락토오스	kallaktʰoosɯ
