Iuno	j u . n o
consul	k o n . s u l
Lusitania	l u . s i . t a . n i . a
Cyrus	k i . l u . s ɯ
Apuleius	a . p u l . l e . i . u . s ɯ
Assyria	a . s i . l i . a
Minerva	m i . n e . l ɯ . b a
Hannibal	h a n . n i . b a l
Neptunus	n e b . t u . n u . s ɯ
Britannia	b ɯ . l i . t a n . n i . a
senatus	s e . n a . t u . s ɯ
Darius	d a . l i . u . s ɯ
Metamorphoseon	m e . t a . m o . l ɯ . p o . s e . o n
Asia	a . s i . a
Syracusae	s i . l a . k u . s a . i
Roma	l o . m a
Illyricum	i l . l i . l i . k u m
Bacchus	b a . k u . s ɯ
Aeneis	a . i . n e . i . s ɯ
Iudaea	j u . d a . i . a
Carthago	k a . l ɯ . t a . ɡ o
SPARTACVS	s ɯ . p a . l ɯ . t a . k u . s ɯ
Vesta	b e . s ɯ . t a
Venus	b e . n u . s ɯ
Averroës	a . b e . l o . e . s ɯ
Diana	d i . a . n a
Numidia	n u . m i . d i . a
Gotarzes	ɡ o . t a . l ɯ . dʒ e . s ɯ
Spartacus	s ɯ . p a . l ɯ . t a . k u . s ɯ
Mithridates	m i . t ɯ . l i . d a . t e . s ɯ
Vulcanus	b u l . k a . n u . s ɯ
Gallia	ɡ a l . l i . a
Mars	m a . l ɯ . s ɯ
Padus	p a . d u . s ɯ
Latium	l a . t i . u m
Anselmus	a n . s e l . m u . s ɯ
Pluto	p ɯ l . l u . t o
Galatia	ɡ a l . l a . t i . a
Apollo	a . p o l . l o
Thracia	t ɯ . l a . k i . a
Germania	ɡ e . l ɯ . m a . n i . a
Cannae	k a n . n a . i
Sicilia	s i . k i l . l i . a
APVLEIVS	a . p u l . l e . i . u . s ɯ
Iupitter	j u . p i . t e . l ɯ
Confessiones	k o n . p e . s i . o . n e . s ɯ
Ceres	k e . l e . s ɯ
Ianus	j a . n u . s ɯ
Saturnus	s a . t u . l ɯ . n u . s ɯ
Parthia	p a . l ɯ . t i . a
Aegyptus	a . i . ɡ i b . t u . s ɯ
Hispania	h i . s ɯ . p a . n i . a
Mercurius	m e . l ɯ . k u . l i . u . s ɯ
