Iuno	유노	juno
consul	콘술	kʰons͈ul
Lusitania	루시타니아	lusitʰania
Cyrus	키루스	kʰilusɯ
Apuleius	아풀레이우스	apʰulleiusɯ
Assyria	아시리아	asilia
Minerva	미네르바	minelɯba
Hannibal	한니발	hannibal
Neptunus	넵투누스	neptʰunusɯ
Britannia	브리탄니아	pɯlitʰannia
senatus	세나투스	senatʰusɯ
Darius	다리우스	taliusɯ
Metamorphoseon	메타모르포세온	metʰamolɯpʰoseon
Asia	아시아	asia
Syracusae	시라쿠사이	silakʰusai
Roma	로마	loma
Illyricum	일리리쿰	illilikʰum
Bacchus	바쿠스	pakʰusɯ
Aeneis	아이네이스	aineisɯ
Iudaea	유다이아	judaia
Carthago	카르타고	kʰalɯtʰago
SPARTACVS	스파르타쿠스	sɯpʰalɯtʰakʰusɯ
Vesta	베스타	pesɯtʰa
Venus	베누스	penusɯ
Averroës	아베로에스	abeloesɯ
Diana	디아나	tiana
Numidia	누미디아	numidia
Gotarzes	고타르제스	kotʰalɯd͡ɕesɯ
Spartacus	스파르타쿠스	sɯpʰalɯtʰakʰusɯ
Mithridates	미트리다테스	mitʰɯlidatʰesɯ
Vulcanus	불카누스	pulkʰanusɯ
Gallia	갈리아	kallia
Mars	마르스	malɯsɯ
Padus	파두스	pʰadusɯ
Latium	라티움	latʰium
Anselmus	안셀무스	ans͈elmusɯ
Pluto	플루토	pʰɯllutʰo
Galatia	갈라티아	kallatʰia
Apollo	아폴로	apʰollo
Thracia	트라키아	tʰɯlakʰia
Germania	게르마니아	kelɯmania
Cannae	칸나이	kʰannai
Sicilia	시킬리아	sikʰillia
APVLEIVS	아풀레이우스	apʰulleiusɯ
Iupitter	유피테르	jupʰitʰelɯ
Confessiones	콘페시오네스	kʰonpʰesionesɯ
Ceres	케레스	kʰelesɯ
Ianus	야누스	janusɯ
Saturnus	사투르누스	satʰulɯnusɯ
Parthia	파르티아	pʰalɯtʰia
Aegyptus	아이깁투스	aigiptʰusɯ
Hispania	히스파니아	hisɯpʰania
Mercurius	메르쿠리우스	melɯkʰuliusɯ
