Panevėžys	p a n e b e dʒ i s ɯ
Jogaila	j o g a i l l a
Biržai	b i l ɯ dʒ a i
Maironis	m a i l o n i s ɯ
Alytus	a l l i t u s ɯ
Algirdas	a l g i l ɯ d a s ɯ
Kęstutis	k e s ɯ t u t i s ɯ
Gediminas	ɡ e d i m i n a s ɯ
Įsrutis	i s ɯ l u t i s ɯ
Čiurlionis	tʃ u l ɯ l l j o n i s ɯ
Vytautas	b i t a u t a s ɯ
Mindaugas	m i n d a u g a s ɯ
Kaunas	k a u n a s ɯ
Mikalojus	m i k a l l o j u s ɯ
Šiauliai	s j a u l l j a i
Marijampolė	m a l i j a m p o l l e
Mažeikiai	m a dʒ e i k j a i
Konstantinas	k o n s ɯ t a n t i n a s ɯ
Dubingiai	d u b i ŋ g j a i
Trakai	t ɯ l a k a i
Kernavė	k e l ɯ n a b e
Klaipėda	k ɯ l l a i p e d a
Vilnius	b i l l j u s ɯ
