Panevėžys	파네베지스	pʰanebed͡ɕisɯ
Jogaila	요가일라	jogailla
Biržai	비르자이	pilɯd͡ɕai
Maironis	마이로니스	mailonisɯ
Alytus	알리투스	allitʰusɯ
Algirdas	알기르다스	algilɯdasɯ
Kęstutis	케스투티스	kʰesɯtʰutʰisɯ
Gediminas	게디미나스	kediminasɯ
Įsrutis	이스루티스	isɯlutʰisɯ
Čiurlionis	추를료니스	t͡ɕʰulɯlljonisɯ
Vytautas	비타우타스	pitʰautʰasɯ
Mindaugas	민다우가스	mindaugasɯ
Kaunas	카우나스	kʰaunasɯ
Mikalojus	미칼로유스	mikʰallojusɯ
Šiauliai	샤울랴이	sjaulljai
Marijampolė	마리얌폴레	malijampʰolle
Mažeikiai	마제이캬이	mad͡ɕeikʰjai
Konstantinas	콘스탄티나스	kʰons͈ɯtʰantʰinasɯ
Dubingiai	두빙갸이	tubiŋgjai
Trakai	트라카이	tʰɯlakʰai
Kernavė	케르나베	kʰelɯnabe
Klaipėda	클라이페다	kʰɯllaipʰeda
Vilnius	빌뉴스	pilljusɯ
