Кичево	k i . tʃ e . b o
Кочани	k o . tʃ a . n i
Велес	b e l . l e . s ɯ
Македонија	m a . k e . d o . n i . j a
Шар	s j a . l ɯ
Скопје	s ɯ . k o . p i . e
Куманово	k u . m a . n o . b o
Слатино	s ɯ l . l a . t i . n o
Прилеп	p ɯ . l i l . l e . p ɯ
Струмица	s ɯ . t ɯ . l u . m i . tʃ a
Гостивар	ɡ o . s ɯ . t i . b a . l ɯ
Кратово	k ɯ . l a . t o . b o
Струга	s ɯ . t ɯ . l u . ɡ a
Металург	m e . t a l . l u . l ɯ . k ɯ
Кораб	k o . l a . p ɯ
Охрид	o . h ɯ . l i . t ɯ
Куклица	k u . k ɯ l . l i . tʃ a
Кавадарци	k a . b a . d a . l ɯ . tʃ i
Радовиш	l a . d o . b i . s i
Битола	b i . t o l . l a
Кокино	k o . k i . n o
Штип	s j u . t i . p ɯ
Тетово	t e . t o . b o
Гевгелија	ɡ e . b ɯ . ɡ e l . l i . j a
