Кичево	키체보	kʰit͡ɕʰebo
Кочани	코차니	kʰot͡ɕʰani
Велес	벨레스	pellesɯ
Македонија	마케도니야	makʰedonija
Шар	샤르	sjalɯ
Скопје	스코피에	sɯkʰopʰie
Куманово	쿠마노보	kʰumanobo
Слатино	슬라티노	sɯllatʰino
Прилеп	프릴레프	pʰɯlillepʰɯ
Струмица	스트루미차	sɯtʰɯlumit͡ɕʰa
Гостивар	고스티바르	kosɯtʰibalɯ
Кратово	크라토보	kʰɯlatʰobo
Струга	스트루가	sɯtʰɯluga
Металург	메탈루르크	metʰallulɯkʰɯ
Кораб	코라프	kʰolapʰɯ
Охрид	오흐리트	ohɯlitʰɯ
Куклица	쿠클리차	kʰukʰɯllit͡ɕʰa
Кавадарци	카바다르치	kʰabadalɯt͡ɕʰi
Радовиш	라도비시	ladobisi
Битола	비톨라	pitʰolla
Кокино	코키노	kʰokʰino
Штип	슈티프	sjutʰipʰɯ
Тетово	테토보	tʰetʰobo
Гевгелија	게브겔리야	kebɯgellija
