a	에이
a capella	아 카펠라
Aalborg	알보크
Aalesund	올레순드
Aaran	애런
abandon	어밴던
Abbeville	아브빌
Abbeville County	아브빌 카운티
Abbot	애벗
Abbotsford	애보츠퍼드
Abbott	애보트
Abbs Valley	앱스 밸리
Abbyville	애비빌
Abe Springs	에이브 스프링스
Abell	아벨
Abercrombie	애버크롬비
Aberdeen	애버딘
Abidjan	아비장
Abilene	아빌렌
Abingdon	애빙던
Abington	애빙턴
Abiquiu	애비퀴우
Abita Springs	아비타 스프링스
able	에이블
Able	에이블
Abney	애브니
Abo	애보
Aboite	애보이트
about	어바웃
Abraham	에이브러햄
Abrams	애브램스
Absecon	앱시컨
absent	앱센트
Abu Dhabi	아부다비
Abuja	아부자
acacia	아카시아
academy	아카데미
Acadia	아카디아
Acadia Parish County	아카디아 패리시
Acampo	아캄포
acapella	아카펠라
Acapulco	아카풀코
accent	악센트
access	액세스
access time	액세스타임
accessory	액세사리
Accident	엑시던트
Accomack County	어코맥 카운티
accordion	아코디언
Accotink	애코팅크
Accoville	아코빌
Accra	아크라
acetaldehyde	아세트알데히드
acetate	아세테이트
acetone	아세톤
Achille	아칠
Achilles	아킬레스
Ackerman	애커먼
Ackley	애클리
Acona	애코나
Acres	에이커스
acrylic	아크릴
act	액트
actinium	악티늄
action	액션
action star	액션스타
active	액티브
ActiveMovie	액티브무비
ActiveX	액티브엑스
Acton	액턴
Acushnet	어커시넷
Acworth	애크워스
Acy	에이시
ad-blloon	애드벌룬
Ada	에이다
Ada County	아다 카운티
Adabelle	애더벨
Adair County	아데어 카운티
Adairsville	아데어스빌
Adam	아담
Adams	애덤스
Adams County	애덤스 카운티
Adams Mills	애덤스 밀스
Adamstown	애덤스타운
Adamsville	애덤스빌
Adana	아다나
adaptor	어댑터
Add-On Program	애드온 프로그램
Addington	애딩턴
Addis	애디스
Addis Ababa	아디스 아바바
Addison	애디슨
Addison County	애디슨 카운티
Addy	애디
Adel	아델
Adela	아델라
Adelaide	아델레이드
Adelanto	아델란토
Adell	아델
Aden	아덴
Adger	애드가
Adin	애딘
ADIYAMAN	아디야만
Adler	애들러
admin	어드민
Admire	어드마이어
admob	애드몹
Adna	애드나
Adobe Flash	어도비 플래시
Adolph	아돌프
Adolphus	아돌퍼스
Adona	아도나
Adonijah	아도니야
Adrian	에이드리언
adsense	애드센스
Adult	어덜트
Advance	어드밴스
Advent	애드번트
adventure	어드벤처
Adwolf	아드울프
Aeneas	아이네이아스
aerobics	에어로빅스
Aestetik	에스테틱
Aetna	애트나
Aetna Springs	애트나 스프링스
Affinity	어피니티
Afghanistan	아프가니스탄
afreeca	아프리카
after service	애프터 서비스
agape	아가페
Agar	아가
Agate	아게이트
Agate Beach	아게이트 비치
Agawam	아가왐
Agency	에이전시
Agenda	아젠다
agent	에이전트
Agness	아그네스
Agnew	애그뉴
Agoura	아구라
Agoura Hills	아구라힐스
Agra	아그라
Agri	아리
Agricola	아그리콜라
Agua Caliente Springs	아구아 칼리엔테 스프링스
Agua Dulce	아과 둘세
Aguanga	아구앙가
Aguascalientes	아구아스카리엔테스
Aguila	아귈라
Aguilar	아귈라
Ahnapee	아나피
Ahoskie	아호스키
Ahualoa	아후알로아
Ahwahnee	아와니
AIDS	에이즈
Aiken	에이컨
Aiken County	에이킨 카운티
Ailey	에일리
Aims	에임스
Aina Haina	아이나 하이나
Ainsworth	에인스워스
air	에어
air busan	에어부산
air condition	에어 컨디션
air conditioner	에어컨
air hole	에어홀
air mail	에어메일
air port	에어포트
air valve	에어 밸브
air-bus	에어버스
airbnb	에어비앤비
Airlie	에어라이
Airmont	에어몬트
Airpoint	에어포인트
Airway Heights	에어웨이 하이츠
Aitkin	에잇킨
Aitkin County	에이트킨 카운티
Ajax	에이잭스
Akan	아칸소
Akaroa	아카로아
Akers	에이커스
Akita	아키타
Aklavik	어클라빅
Akron	애크런
Aktau	악타우
Akutan	아쿠탄
Al Ain	알 아인
Alabama	앨라배마
Alabama Port	앨라배마 포트
Alachua	앨라추아
Alachua County	앨라추아 카운티
Aladdin	알라딘
Alamana	앨라마나
Alamance County	앨러먼스 카운티
Alameda	앨러미다
Alameda County	앨러미다 카운티
Alamo	알라모
Alamogordo	앨라모고도
Alamosa	앨라모사
Alamosa County	앨라모사 카운티
Alapaha	알라파하
alarm	알람
alarm bell	알람벨
Alaska	알래스카
Alba	알바
Alban	알반
Albania	알바니아
Albany	알바니
Albany County	올버니 카운티
Albatross	앨버트로스
Albee	앨비
Albemarle	앨버말
Albemarle County	앨버말 카운티
Albert	앨버트
Albert Lea	앨버트리아
Alberta	앨버타
Alberton	앨버턴
Albertville	앨버트빌
Albia	앨비아
Albin	앨빈
albino	알비노
Albion	알비온
Albright	올브라이트
album	앨범
Albuquerque	앨버커큐
Albury	앨버리
Alcoa	알코아
alcohol	알코올
Alcolu	알콜루
Alcona County	앨코나 카운티
Alcorn County	알콘 카운티
aldehyde	알데히드
Alden	올던
Alder	앨더
Alderley	앨덜리
Alderpoint	앨더포인트
Alderson	앨더슨
Aldora	알도라
Aldrich	알드리치
Aledo	알레도
Aleknagik	알레크나기크
Alesia	알레시아
Aleutians East Borough	알류샨스 이스트 버러
Aleutians West Census Area	알류샨스 웨스트 인구조사구역
Alex	알렉스
Alexander	알렉산더
Alexander City	알렉산더시티
Alexander County	알렉산더 카운티
Alexandra	알렉산드라
Alexandria	알렉산드리아
Alexis	알렉시스
Alfalfa	알팔파
Alfalfa County	앨팰파 카운티
Alford	알퍼드
Alfred	알프레드
Alger County	앨저 카운티
ALGOL	알골
Algona	앨고나
algorithm	알고리즘
Alhambra	앨햄브라
alibi	알리바이
Alicante	알리칸테
Alice	앨리스
Alice Springs	앨리스 스프링
Aliceville	앨리스빌
Alicia	알리시아
alien	에일리언
Aline	앨라인
Alipay	알리페이
Aliquippa	앨리퀴파
Aliso Viejo	알리소 비에호
alive	얼라이브
alkali	알칼리
alkaloid	알칼로이드
Alkol	알코올
all	올
all game	올게임
Allagash	알라가시
Allah	알라
Allakaket	알라카케트
Allamakee County	알루무키 카운티
Alledonia	알레도니아
Allegan	앨러간
Allegan County	앨러간 카운티
Allegany	앨러가니
Allegany County	앨러게니 카운티
Alleghany	앨러게니
Alleghany County	앨러게니 카운티
allegory	알레고리
Alleman	에일맨
Allen	앨런
Allen County	앨런 카운티
Allen Parish County	앨런 패리시
Allen Park	앨런 파크
Allendale	앨런데일
Allendale County	앨런데일 카운티
Allenhurst	앨런허스트
Allensworth	앨런스워스
Allentown	앨렌타운
Allergen	알레르겐
allergie	알레르기
Allerton	앨러턴
Allgood	올굿
Alliance	얼라이언스
Alligator Point	엘리게이터 포인트
Allison	앨리슨
Alloy	알로이
Allport	올포트
Allyn	알레인
Alma	앨마
Almaty	알마티
Almeria	앨머리아
Almira	알미라
Almo	앨모
Almon	앨먼
almond	아몬드
Almond	알몬드
Almont	알몬트
almost	올모스트
Almyra	알미라
Alna	앨너
aloe	알로에
Alor Setar	아로세터
Alpena	앨피너
Alpena County	앨피너 카운티
Alpha	알파
alpha test	알파테스트
AlphaGo	알파고
Alpharetta	알파레타
Alpine	알파인
Alpine County	알파인 카운티
Alpine Lake	알파인 레이크
Alpoca	알포카
Alread	알리드
Alsen	알슨
Alsop	앨솝
Alta	알타
Alta Vista	알타 비스타
Altair	알테어
Altamont	알타몬트
Altamonte Springs	알타몬티스프링스
altavista	알타비스타
Altavista	알타비스타
Altha	알타
Altheimer	앨세이머
Altitude	앨티튜드
alto	알토
Alto	앨토
Alton	얼턴
Altona	알토나
altruism	앨트루이즘
Altura	앨투라
Alturas	앨투러스
Altus	앨투스
altvore	알트보어
Alum Ridge	알룸 리지
aluminium	알루미늄
Alva	앨바
Alvada	앨버다
Alvarado	알바라도
Alvin	앨빈
always	올웨이즈
Aly	앨리
Alzada	알자다
AM	에이엠
Amador	아마도르
Amador City	아마도르 시티
Amador County	아마도르 카운티
Amagon	아마곤
Amalia	아말리아
Amami O Shima	아마미오시마
Amanda	아만다
Amargosa Valley	아마고사 밸리
Amarillo	아마릴로
amaryllis	아마릴리스
amateur	아마추어
Amateur	아마추어
amazon	아마존
Amazon	아마존
Amber	앰버
Ambia	앰비아
Ambler	앰블러
Amboy	앰보이
Ambridge	앰브리지
Ambrose	앰브로즈
ambulance	앰블런스
Amelia	아멜리아
Amelia City	어밀리아시티
Amelia County	아멜리아 카운티
Amelia Court House	아멜리아 코트하우스
amen	아멘
Amenia	아메니아
America	아메리카
American Canyon	아메리칸캐니언
American Corner	아메리칸 코너
American Falls	아메리칸 폴스
American Fork	아메리칸 포크
Americana	아메리카나
Americanism	아메리카즘
americium	아메리슘
Americus	아메리커스
Amery	애머리
Ames	에임스
Amesbury	에임즈베리
Amherst	애머스트
Amherst County	애머스트 카운티
Amidon	애미던
Amigo	아미고
Amish	애미시
Amissville	아미스빌
Amistad	아미스타드
Amite	에이미트
Amite City	에이미트 시티
Amite County	에이미트 카운티
Amity	아미티
Amlin	애믈린
Amma	애마
Amman	암만
Ammon	암몬
ammonia	암모니아
Amo	아모
amoeba	아메바
amore	아모레
Amorita	아모리타
Amory	에이모리
Amos	아모스
amp	앰프
ampere	암페어
ampoule	앰플
Amsden	앰스던
Amsterdam	암스테르담
amuse	어뮤즈
Anabel	애너벨
Anaconda	애너콘다
Anacortes	아나코테스
Anadarko	애너다코
ANADOLU	아나돌루
anagram	애너그램
Anaheim	애너하임
Anahuac	아나우악
Anaktuvuk Pass	아낙투벅 패스
analog	아날로그
analog computer	아날로그컴퓨터
analytics	애널리틱스
Ananova	아나노바
Anapa	아나파
Ancho	앤초
anchor	앵커
Anchor Bay	앵커 베이
Anchorage	앵커리지
Anco	앤코
Ancona	안코나
and	앤드
Andale	앤데일
Andalusia	안달루시아
Anderson	앤더슨
Anderson County	앤더슨 카운티
Andersonville	앤더슨빌
Andes	안데스
Anding	앤딩
Andover	앤도버
Andree	앤드리
Andres	안드레스
Andrew	앤드루
Andrew County	앤드류 카운티
Andrews	앤드루스
Andrews County	앤드루스 카운티
android	안드로이드
Android	안드로이드
Android Pay	안드로이드페이
Androscoggin County	앤드로스코긴 카운티
Aneta	아네타
angel	엔젤
Angelica	앤젤리카
Angelina County	앤젤리나 카운티
Angelo	안젤로
Angels Camp	앤젤스캠프
Angelus Oaks	엔젤러스 오크스
Angier	앤지어
angle	앵글
Angola	앙골라
Angoon	안군
angora	앙고라
Angora	앵고라
Anguilla	앵길라
Angus	앵거스
animal	애니멜
Animas	애니머스
animation	애니메이션
Anita	애니타
Ankara	앙카라
Ankeny	앙키니
Ann Arbor	앤아버
Anna	애나
Anna Maria	애나 마리아
Annabella	애나벨라
Annandale	애넌데일
Annapolis	아나폴리스
Annapolis Junction	아나폴리스 정션
Anne Arundel County	앤 어런델 카운티
Anniston	애니스턴
Annona	아노나
announcer	아나운서
Annsville	앤즈빌
Annville	앤빌
Anoka	애너카
Anoka County	애너카 카운티
Anonymous	어나니머스
Anson	앤슨
Anson County	앤슨 카운티
Ansonia	앤소니아
Antalya	안탈야
Antelope	앤털로프
Antelope Acres	앤텔로피 에이커스
Antelope County	앤털로프 카운티
antenna	안테나
Anthem	앤텀
anthology	앤솔러지
Anthon	앤손
Anthony	앤서니
anti-internet	안티인터넷
Antietam	앤티텀
Antigo	안티고
Antigua	앤티가
Antikythera Mechanism	안티키테라메커니즘
Antimony	안티모니
Antioch	앤티오크
antique	안티크
Antler	앤틀러
Antlers	앤틀러스
Antoine	앙투안
Anton	앤턴
Antrim County	앤트림 카운티
Antwerp	앤튜워프
Anvik	안비크
any	애니
anywhere	애니웨어
Anza	안자
Aomori	아오모리
Apache	아파치
Apache County	아파치 카운티
Apache Junction	아파치 정크션
Apalachicola	아팔라치콜라
apartment	아파트
apartment house	아파트
aphorism	아포리즘
Apollo	아폴로
Apopka	아폽카
aporia	아포리아
app	앱
App store	앱스토어
Appalachia	애팔래치아
Appanoose County	아파누스 카운티
appeal	어필
apple	애플
Apple Pay	애플페이
Apple River	애플 리버
Apple Script	애플스크립트
Apple Valley	애플밸리
Apple Watch	애플 워치
Appleby	애플비
Applegate	애플게이트
applet	애플릿
Appleton	애플턴
Appleton City	애플턴 시티
application	애플리케이션
Appling	애플링
Appling County	애플링 카운티
Appomattox	아포맷톡스
Appomattox County	아포맷톡스 카운티
apt	앱트
AQ	에이큐
Aqaba	아카바
Aquasco	아쿠아스코
Aquastar System	아쿼스타시스템
