a	e i
Aalborg	a l b o k
Aalesund	o l l e s u n d
Aaran	ɛ l ʌ n
abandon	ʌ b ɛ n d ʌ n
Abbeville	a b b i l
Abbot	ɛ b ʌ t
Abbotsford	ɛ b o tʃ p ʌ d
Abbott	ɛ b o t
Abbyville	ɛ b i b i l
Abell	a b e l
Abercrombie	ɛ b ʌ k l o m b i
Aberdeen	ɛ b ʌ dʒ i n
Abidjan	a b i dʒ a ŋ
Abilene	a b i l l e n
Abingdon	ɛ b i ŋ d ʌ n
Abington	ɛ b i ŋ t ʌ n
Abiquiu	ɛ b i k w i u
able	e i b l
Able	e i b l
Abney	ɛ b n i
Abo	ɛ b o
Aboite	ɛ b o i t
about	ʌ b a u t
Abraham	e i b l ʌ h ɛ m
Abrams	ɛ b l ɛ m s
Absecon	ɛ p s i k ʌ n
absent	ɛ p s e n t
Abuja	a b u dʒ a
acacia	a k a s i a
academy	a k a d e m i
Acadia	a k a dʒ i a
Acampo	a k a m p o
acapella	a k a p e l l a
Acapulco	a k a p u l k o
accent	a k s e n t
access	ɛ k s e s
accessory	ɛ k s e s a l i
Accident	e k s i d ʌ n t
accordion	a k o dʒ i ʌ n
Accotink	ɛ k o tʃ i ŋ k
Accoville	a k o b i l
Accra	a k l a
acetaldehyde	a s e t a l d e h i d
acetate	a s e t e i t
acetone	a s e t o n
Achille	a tʃ i l
Achilles	a k i l l e s
Ackerman	ɛ k ʌ m ʌ n
Ackley	ɛ k l l i
Acona	ɛ k o n a
Acres	e i k ʌ s
acrylic	a k l i l
act	ɛ k t
actinium	a k tʃ i n j u m
action	ɛ k s j ʌ n
active	ɛ k tʃ i b
ActiveMovie	ɛ k tʃ i b m u b i
ActiveX	ɛ k tʃ i b e k s
Acton	ɛ k t ʌ n
Acushnet	ʌ k ʌ s i n e t
Acworth	ɛ k w ʌ s
Acy	e i s i
Ada	e i d a
Adabelle	ɛ d ʌ b e l
Adairsville	a d e ʌ s b i l
Adam	a d a m
Adams	ɛ d ʌ m s
Adamstown	ɛ d ʌ m s t a u n
Adamsville	ɛ d ʌ m s b i l
Adana	a d a n a
adaptor	ʌ d ɛ p t ʌ
Addington	ɛ dʒ i ŋ t ʌ n
Addis	ɛ dʒ i s
Addison	ɛ dʒ i s n
Addy	ɛ dʒ i
Adel	a d e l
Adela	a d e l l a
Adelaide	a d e l l e i d
Adelanto	a d e l l a n t o
Adell	a d e l
Aden	a d e n
Adger	ɛ d g a
Adin	ɛ dʒ i n
ADIYAMAN	a dʒ i j a m a n
Adler	ɛ d l l ʌ
admin	ʌ d m i n
Admire	ʌ d m a i ʌ
admob	ɛ d m o p
Adna	ɛ d n a
Adolph	a d o l p
Adolphus	a d o l p ʌ s
Adona	a d o n a
Adonijah	a d o n i j a
Adrian	e i d l i ʌ n
adsense	ɛ d s e n s
Adult	ʌ d ʌ l t
Advance	ʌ d b ɛ n s
Advent	ɛ d b ʌ n t
adventure	ʌ d b e n tʃ ʌ
Adwolf	a d u l p
Aeneas	a i n e i a s
aerobics	e ʌ l o b i k s
Aestetik	e s t e tʃ i k
Aetna	ɛ t n a
Affinity	ʌ p i n i tʃ i
Afghanistan	a p g a n i s t a n
afreeca	a p l i k a
agape	a g a p e
Agar	a g a
Agate	a g e i t
