a	에이	ei
Aalborg	알보크	albokʰɯ
Aalesund	올레순드	ollesundɯ
Aaran	애런	ɛlʌn
abandon	어밴던	ʌbɛndʌn
Abbeville	아브빌	abɯbil
Abbot	애벗	ɛbʌt
Abbotsford	애보츠퍼드	ɛbot͡ɕʰɯpʰʌdɯ
Abbott	애보트	ɛbotʰɯ
Abbyville	애비빌	ɛbibil
Abell	아벨	abel
Abercrombie	애버크롬비	ɛbʌkʰɯlombi
Aberdeen	애버딘	ɛbʌdin
Abidjan	아비장	abid͡ɕaŋ
Abilene	아빌렌	abillen
Abingdon	애빙던	ɛbiŋdʌn
Abington	애빙턴	ɛbiŋtʰʌn
Abiquiu	애비퀴우	ɛbikʰwiu
able	에이블	eibɯl
Able	에이블	eibɯl
Abney	애브니	ɛbɯni
Abo	애보	ɛbo
Aboite	애보이트	ɛboitʰɯ
about	어바웃	ʌbaut
Abraham	에이브러햄	eibɯlʌhɛm
Abrams	애브램스	ɛbɯlɛms͈ɯ
Absecon	앱시컨	ɛps͈ikʰʌn
absent	앱센트	ɛps͈entʰɯ
Abuja	아부자	abud͡ɕa
acacia	아카시아	akʰasia
academy	아카데미	akʰademi
Acadia	아카디아	akʰadia
Acampo	아캄포	akʰampʰo
acapella	아카펠라	akʰapʰella
Acapulco	아카풀코	akʰapʰulkʰo
accent	악센트	aks͈entʰɯ
access	액세스	ɛks͈esɯ
accessory	액세사리	ɛks͈esali
Accident	엑시던트	eks͈idʌntʰɯ
accordion	아코디언	akʰodiʌn
Accotink	애코팅크	ɛkʰotʰiŋkʰɯ
Accoville	아코빌	akʰobil
Accra	아크라	akʰɯla
acetaldehyde	아세트알데히드	asetʰɯaldehidɯ
acetate	아세테이트	asetʰeitʰɯ
acetone	아세톤	asetʰon
Achille	아칠	at͡ɕʰil
Achilles	아킬레스	akʰillesɯ
Ackerman	애커먼	ɛkʰʌmʌn
Ackley	애클리	ɛkʰɯlli
Acona	애코나	ɛkʰona
Acres	에이커스	eikʰʌsɯ
acrylic	아크릴	akʰɯlil
act	액트	ɛktʰɯ
actinium	악티늄	aktʰinjum
action	액션	ɛks͈jʌn
active	액티브	ɛktʰibɯ
ActiveMovie	액티브무비	ɛktʰibɯmubi
ActiveX	액티브엑스	ɛktʰibɯeks͈ɯ
Acton	액턴	ɛktʰʌn
Acushnet	어커시넷	ʌkʰʌsinet
Acworth	애크워스	ɛkʰɯwʌsɯ
Acy	에이시	eisi
Ada	에이다	eida
Adabelle	애더벨	ɛdʌbel
Adairsville	아데어스빌	adeʌsɯbil
Adam	아담	adam
Adams	애덤스	ɛdʌms͈ɯ
Adamstown	애덤스타운	ɛdʌms͈ɯtʰaun
Adamsville	애덤스빌	ɛdʌms͈ɯbil
Adana	아다나	adana
adaptor	어댑터	ʌdɛptʰʌ
Addington	애딩턴	ɛdiŋtʰʌn
Addis	애디스	ɛdisɯ
Addison	애디슨	ɛdisɯn
Addy	애디	ɛdi
Adel	아델	adel
Adela	아델라	adella
Adelaide	아델레이드	adelleidɯ
Adelanto	아델란토	adellantʰo
Adell	아델	adel
Aden	아덴	aden
Adger	애드가	ɛdɯga
Adin	애딘	ɛdin
ADIYAMAN	아디야만	adijaman
Adler	애들러	ɛdɯllʌ
admin	어드민	ʌdɯmin
Admire	어드마이어	ʌdɯmaiʌ
admob	애드몹	ɛdɯmop
Adna	애드나	ɛdɯna
Adolph	아돌프	adolpʰɯ
Adolphus	아돌퍼스	adolpʰʌsɯ
Adona	아도나	adona
Adonijah	아도니야	adonija
Adrian	에이드리언	eidɯliʌn
adsense	애드센스	ɛdɯsens͈ɯ
Adult	어덜트	ʌdʌltʰɯ
Advance	어드밴스	ʌdɯbɛns͈ɯ
Advent	애드번트	ɛdɯbʌntʰɯ
adventure	어드벤처	ʌdɯbent͡ɕʰʌ
Adwolf	아드울프	adɯulpʰɯ
Aeneas	아이네이아스	aineiasɯ
aerobics	에어로빅스	eʌlobiks͈ɯ
Aestetik	에스테틱	esɯtʰetʰik
Aetna	애트나	ɛtʰɯna
Affinity	어피니티	ʌpʰinitʰi
Afghanistan	아프가니스탄	apʰɯganisɯtʰan
afreeca	아프리카	apʰɯlikʰa
agape	아가페	agapʰe
Agar	아가	aga
Agate	아게이트	ageitʰɯ
Agawam	아가왐	agawam
Agency	에이전시	eid͡ɕʌns͈i
Agenda	아젠다	ad͡ɕenda
agent	에이전트	eid͡ɕʌntʰɯ
Agness	아그네스	agɯnesɯ
Agnew	애그뉴	ɛgɯnju
Agoura	아구라	agula
Agra	아그라	agɯla
Agri	아리	ali
Agricola	아그리콜라	agɯlikʰolla
Aguanga	아구앙가	aguaŋga
Aguascalientes	아구아스카리엔테스	aguasɯkʰalientʰesɯ
Aguila	아귈라	agwilla
Aguilar	아귈라	agwilla
Ahnapee	아나피	anapʰi
Ahoskie	아호스키	ahosɯkʰi
Ahualoa	아후알로아	ahualloa
Ahwahnee	아와니	awani
AIDS	에이즈	eid͡ɕɯ
Aiken	에이컨	eikʰʌn
Ailey	에일리	eilli
Aims	에임스	eims͈ɯ
Ainsworth	에인스워스	eins͈ɯwʌsɯ
air	에어	eʌ
airbnb	에어비앤비	eʌbiɛnbi
Airlie	에어라이	eʌlai
Airmont	에어몬트	eʌmontʰɯ
Airpoint	에어포인트	eʌpʰointʰɯ
Aitkin	에잇킨	eitkʰin
Ajax	에이잭스	eid͡ɕɛks͈ɯ
Akan	아칸소	akʰans͈o
Akaroa	아카로아	akʰaloa
Akers	에이커스	eikʰʌsɯ
Akita	아키타	akʰitʰa
Aklavik	어클라빅	ʌkʰɯllabik
Akron	애크런	ɛkʰɯlʌn
Aktau	악타우	aktʰau
Akutan	아쿠탄	akʰutʰan
Alabama	앨라배마	ɛllabɛma
Alachua	앨라추아	ɛllat͡ɕʰua
Aladdin	알라딘	alladin
Alamana	앨라마나	ɛllamana
Alameda	앨러미다	ɛllʌmida
Alamo	알라모	allamo
Alamogordo	앨라모고도	ɛllamogodo
Alamosa	앨라모사	ɛllamosa
Alapaha	알라파하	allapʰaha
alarm	알람	allam
Alaska	알래스카	allɛsɯkʰa
Alba	알바	alba
Alban	알반	alban
Albania	알바니아	albania
Albany	알바니	albani
Albatross	앨버트로스	ɛlbʌtʰɯlosɯ
Albee	앨비	ɛlbi
Albemarle	앨버말	ɛlbʌmal
Albert	앨버트	ɛlbʌtʰɯ
Alberta	앨버타	ɛlbʌtʰa
Alberton	앨버턴	ɛlbʌtʰʌn
