Nicolaas	n i . k o l . l a . s ɯ
Friesland	p ɯ . l i . s ɯ l . l a n . t ɯ
Assen	a . s ʌ n
Hendrik	h e n . d ɯ . l i ɡ
Asser	a . s ʌ . l ɯ
Volcher	p o l . h ʌ . l ɯ
Bouwman	b a . u . m a n
Middelburg	m i . d e l . b w i . l ɯ . h ɯ
Zwolle	dʒ ɯ . b o l . l ʌ
Campen	k a m . p ʌ n
Roosendaal	l o . s e n . d a l
moeite	m u . i . t ʌ
Jongkind	j o ŋ . k i n . t ɯ
Waddeneilanden	b a . d e . n e . i l . l a n . d ʌ n
Boer	b u . l ɯ
Eijkman	e . i . k ɯ . m a n
hartig	h a . l ɯ . t ʌ . h ɯ
Torenberg	t o . l e n . b e . l ɯ . h ɯ
Maarssen	m a . l ɯ . s ʌ n
Deventer	d e . b e n . t ʌ . l ɯ
Paul	p a . u l
Veendam	p e . i n . d a m
Hoop	h o . p ɯ
Maaikes	m a . i . k ʌ . s ɯ
Zalm	dʒ a l . l ɯ m
Zevenbergen	dʒ e . b e n . b e . l ɯ . h ʌ n
Birdaard	b i . l ɯ . d a . l ɯ . t ɯ
Breskens	b ɯ . l e . s ɯ . k ʌ n . s ɯ
Coevorden	k u . b o . l ɯ . d ʌ n
Diremond	d i . l e . m o n . t ɯ
Veldhoven	p e l . t ɯ . h o . b ʌ n
Kloosterhaar	k ɯ l . l o . s ɯ . t e . l ɯ . h a . l ɯ
Eindhoven	e . i n . t ɯ . h o . b ʌ n
Hengelo	h e ŋ . e l . l o
Petrus	p e . t ɯ . l w i . s ɯ
Lieuwma	l i . u . m a
Utrecht	w i . t ɯ . l e . h ɯ . t ɯ
Herkenbosch	h e . l ɯ . k e n . b o . s ɯ
Vriezenveen	p ɯ . l i . dʒ e n . b e . i n
Uden	w i . d ʌ n
Tilburg	t i l . b w i . l ɯ . h ɯ
Kok	k o ɡ
cyaan	s i . a n
Tiele	t i l . l ʌ
Emmeloord	e . m e l . l o . l ɯ . t ɯ
Bolkestein	b o l . k e . s ɯ . t e . i n
Pieter	p i . t ʌ . l ɯ
Kerkrade	k e . l ɯ . k ɯ . l a . d ʌ
Tobias	t o . b i . a . s ɯ
Wieringerwerf	b i . l i ŋ . e . l ɯ . b ʌ . l ɯ . p ɯ
Winterswijk	b i n . t e . l ɯ . s ɯ . b e . i . k ɯ
Dronten	d ɯ . l o n . t ʌ n
sabel	s a . b ʌ l
Bram	b ɯ . l a m
topic	t o . p i ɡ
Maastricht	m a . s ɯ . t ɯ . l i . h ɯ . t ɯ
Amersfoort	a . m e . l ɯ . s ɯ . p o . l ɯ . t ɯ
Schiphol	s ɯ . h i . p o l
Huizinga	h a . w i . dʒ i ŋ . a
Sloten	s ɯ l . l o . t ʌ n
Harlingen	h a . l ɯ l . l i ŋ . ʌ n
fraai	p ɯ . l a . i
Ceelen	s e . i l . l ʌ n
Wolvega	b o l . b e . h a
Heineken	h e . i . n e . k ʌ n
Kapteyn	k a b . t e . i n
Terschelling	t e . l ɯ . s ɯ . h e l . l i ŋ
Sittarad	s i . t a . l a . t ɯ
Beverwijk	b e . b e . l ɯ . b e . i . k ɯ
Ede	e . d ʌ
Markermeer	m a . l ɯ . k e . l ɯ . m e . i . l ɯ
september	s e b . t e m . b ʌ . l ɯ
Inge	i ŋ . ʌ
brik	b ɯ . l i ɡ
Enkhuizen	e ŋ . k ɯ . h a . w i . dʒ ʌ n
Stein	s ɯ . t e . i n
Tinbergen	t i n . b e . l ɯ . h ʌ n
Nieuwegein	n i . u . e . h e . i n
Doesburg	d u . s ɯ . b w i . l ɯ . h ɯ
Erp	e . l ɯ . p ɯ
IJsselmeer	e . i . s ʌ l . m e . i . l ɯ
Alkmaar	a l . k ɯ . m a . l ɯ
Michael	m i . k a . e l
Schagen	s ɯ . h a . h ʌ n
Helmond	h e l . m o n . t ɯ
Wolfswinkel	b o l . p ɯ . s ɯ . b i ŋ . k ʌ l
Vlissingen	p ɯ l . l i . s i ŋ . ʌ n
Jeroen	j e . l u n
Naarden	n a . l ɯ . d ʌ n
Nijmegen	n e . i . m e . h ʌ n
Wanroij	b a n . l o . i
Borne	b o . l ɯ . n ʌ
Roermond	l u . l ɯ . m o n . t ɯ
Gennip	h e . n i b
Schoonhoven	s ɯ . h o n . h o . b ʌ n
Ferwerd	p e . l ɯ . b ʌ . l ɯ . t ɯ
Wadden	b a . d ʌ n
overkomst	o . b ʌ . l ɯ . k o m . s ɯ . t ɯ
Leiden	l e . i . d ʌ n
Texel	t e ɡ . s ʌ l
Witmarsum	b i . t ɯ . m a . l ɯ . s w i m
Zandvoort	dʒ a n . d ɯ . b o . l ɯ . t ɯ
Verwey	p e . l ɯ . b e . i
Grave	h ɯ . l a . b ʌ
Arnhem	a . l ɯ n . h ʌ m
Aartsen	a . l ɯ . tʃ ʌ n
Kessel	k e . s ʌ l
Breda	b ɯ . l e . d a
Vlaardingen	p ɯ l . l a . l ɯ . d i ŋ . ʌ n
duwen	d w i . ʌ n
Urk	w i . l ɯ . k ɯ
Vries	p ɯ . l i . s ɯ
Venlo	p e n . l o
Heerlen	h e . i . l ɯ l . l ʌ n
Ballot	b a l . l o t
Haag	h a . h ɯ
Lasso	l a . s o
Vondel	p o n . d ʌ l
Goes	h u . s ɯ
Gorinchem	h o . l i n . h ʌ m
Waalwijk	b a l . b e . i . k ɯ
Gelderland	h e l . d e . l ɯ l . l a n . t ɯ
Tiel	t i l
Emmen	e . m ʌ n
Koopmans	k o . p ɯ . m a n . s ɯ
Hoorn	h o . l ɯ n
Andelst	a n . d e l . s ɯ . t ɯ
Roordahuizum	l o . l ɯ . d a . h a . w i . dʒ w i m
Lauwersmeer	l a . u . e . l ɯ . s ɯ . m e . i . l ɯ
Boeijinga	b u . i ŋ . a
Onnes	o . n ʌ . s ɯ
Rieuwers	l i . u . ʌ . l ɯ . s ɯ
Berlage	b e . l ɯ l . l a . h ʌ
Zierikzee	dʒ i . l i ɡ . dʒ e . i
Vlieland	p ɯ l . l i l . l a n . t ɯ
Marsdiep	m a . l ɯ . s ɯ . d i b
Franciscus	p ɯ . l a n . s i . s ɯ . k w i . s ɯ
Wijchen	b e . i . h ʌ n
Spijkenisse	s ɯ . p e . i . k e . n i . s ʌ
Hellevoetsluis	h e l . l e . b u . tʃ ɯ l . l a . w i . s ɯ
Hapert	h a . p ʌ . l ɯ . t ɯ
Peter	p e . t ʌ . l ɯ
Culemborg	k w i l . l e m . b o . l ɯ . h ɯ
Booisman	b o . i . s ɯ . m a n
Ommen	o . m ʌ n
Boxtel	b o ɡ . s ɯ . t ʌ l
Hals	h a l . s ɯ
Drenthe	d ɯ . l e n . t ʌ
Oldenzaal	o l . d e n . dʒ a l
Zeeland	dʒ e . i l . l a n . t ɯ
Dordrecht	d o . l ɯ . d ɯ . l e . h ɯ . t ɯ
Waddenzee	b a . d e n . dʒ e . i
Appingedam	a . p i ŋ . e . d a m
Uithuizen	a . w i . t ɯ . h a . w i . dʒ ʌ n
Delft	d e l . p ɯ . t ɯ
