Nicolaas	니콜라스	nikʰollasɯ
Friesland	프리슬란트	pʰɯlisɯllantʰɯ
Assen	아선	asʌn
Hendrik	헨드릭	hendɯlik
Asser	아서르	asʌlɯ
Volcher	폴허르	pʰolhʌlɯ
Bouwman	바우만	pauman
Middelburg	미델뷔르흐	midelbwilɯhɯ
Zwolle	즈볼러	t͡ɕɯbollʌ
Campen	캄펀	kʰampʰʌn
Roosendaal	로센달	losendal
moeite	무이터	muitʰʌ
Jongkind	용킨트	joŋkʰintʰɯ
Waddeneilanden	바데네일란던	padeneillandʌn
Boer	부르	pulɯ
Eijkman	에이크만	eikʰɯman
hartig	하르터흐	halɯtʰʌhɯ
Torenberg	토렌베르흐	tʰolenbelɯhɯ
Maarssen	마르선	malɯsʌn
Deventer	데벤터르	tebentʰʌlɯ
Paul	파울	pʰaul
Veendam	페인담	pʰeindam
Hoop	호프	hopʰɯ
Maaikes	마이커스	maikʰʌsɯ
Zalm	잘름	t͡ɕallɯm
Zevenbergen	제벤베르헌	t͡ɕebenbelɯhʌn
Birdaard	비르다르트	pilɯdalɯtʰɯ
Breskens	브레스컨스	pɯlesɯkʰʌns͈ɯ
Coevorden	쿠보르던	kʰubolɯdʌn
Diremond	디레몬트	tilemontʰɯ
Veldhoven	펠트호번	pʰeltʰɯhobʌn
Kloosterhaar	클로스테르하르	kʰɯllosɯtʰelɯhalɯ
Eindhoven	에인트호번	eintʰɯhobʌn
Hengelo	헹엘로	heŋello
Petrus	페트뤼스	pʰetʰɯlwisɯ
Lieuwma	리우마	liuma
Utrecht	위트레흐트	witʰɯlehɯtʰɯ
Herkenbosch	헤르켄보스	helɯkʰenbosɯ
Vriezenveen	프리젠베인	pʰɯlid͡ɕenbein
Uden	위던	widʌn
Tilburg	틸뷔르흐	tʰilbwilɯhɯ
Kok	콕	kʰok
cyaan	시안	sian
Tiele	틸러	tʰillʌ
Emmeloord	에멜로르트	emellolɯtʰɯ
Bolkestein	볼케스테인	polkʰesɯtʰein
Pieter	피터르	pʰitʰʌlɯ
Kerkrade	케르크라더	kʰelɯkʰɯladʌ
Tobias	토비아스	tʰobiasɯ
Wieringerwerf	비링에르버르프	piliŋelɯbʌlɯpʰɯ
Winterswijk	빈테르스베이크	pintʰelɯsɯbeikʰɯ
Dronten	드론턴	tɯlontʰʌn
sabel	사벌	sabʌl
Bram	브람	pɯlam
topic	토픽	tʰopʰik
Maastricht	마스트리흐트	masɯtʰɯlihɯtʰɯ
Amersfoort	아메르스포르트	amelɯsɯpʰolɯtʰɯ
Schiphol	스히폴	sɯhipʰol
Huizinga	하위징아	hawid͡ɕiŋa
Sloten	슬로턴	sɯllotʰʌn
Harlingen	하를링언	halɯlliŋʌn
fraai	프라이	pʰɯlai
Ceelen	세일런	seillʌn
Wolvega	볼베하	polbeha
Heineken	헤이네컨	heinekʰʌn
Kapteyn	캅테인	kʰaptʰein
Terschelling	테르스헬링	tʰelɯsɯhelliŋ
Sittarad	시타라트	sitʰalatʰɯ
Beverwijk	베베르베이크	pebelɯbeikʰɯ
Ede	에더	edʌ
Markermeer	마르케르메이르	malɯkʰelɯmeilɯ
september	셉템버르	septʰembʌlɯ
Inge	잉어	iŋʌ
brik	브릭	pɯlik
Enkhuizen	엥크하위전	eŋkʰɯhawid͡ɕʌn
Stein	스테인	sɯtʰein
Tinbergen	틴베르헌	tʰinbelɯhʌn
Nieuwegein	니우에헤인	niuehein
Doesburg	두스뷔르흐	tusɯbwilɯhɯ
Erp	에르프	elɯpʰɯ
IJsselmeer	에이설메이르	eisʌlmeilɯ
Alkmaar	알크마르	alkʰɯmalɯ
Michael	미카엘	mikʰael
Schagen	스하헌	sɯhahʌn
Helmond	헬몬트	helmontʰɯ
Wolfswinkel	볼프스빙컬	polpʰɯsɯbiŋkʰʌl
Vlissingen	플리싱언	pʰɯllisiŋʌn
Jeroen	예룬	jelun
Naarden	나르던	nalɯdʌn
Nijmegen	네이메헌	neimehʌn
Wanroij	반로이	palloi
Borne	보르너	polɯnʌ
Roermond	루르몬트	lulɯmontʰɯ
Gennip	헤닙	henip
Schoonhoven	스혼호번	sɯhonhobʌn
Ferwerd	페르버르트	pʰelɯbʌlɯtʰɯ
Wadden	바던	padʌn
overkomst	오버르콤스트	obʌlɯkʰoms͈ɯtʰɯ
Leiden	레이던	leidʌn
Texel	텍설	tʰeks͈ʌl
Witmarsum	비트마르쉼	pitʰɯmalɯswim
Zandvoort	잔드보르트	t͡ɕandɯbolɯtʰɯ
Verwey	페르베이	pʰelɯbei
Grave	흐라버	hɯlabʌ
Arnhem	아른험	alɯnhʌm
Aartsen	아르천	alɯt͡ɕʰʌn
Kessel	케설	kʰesʌl
Breda	브레다	pɯleda
Vlaardingen	플라르딩언	pʰɯllalɯdiŋʌn
duwen	뒤언	twiʌn
Urk	위르크	wilɯkʰɯ
Vries	프리스	pʰɯlisɯ
Venlo	펜로	pʰello
Heerlen	헤이를런	heilɯllʌn
Ballot	발롯	pallot
Haag	하흐	hahɯ
Lasso	라소	laso
Vondel	폰덜	pʰondʌl
Goes	후스	husɯ
Gorinchem	호린험	holinhʌm
Waalwijk	발베이크	palbeikʰɯ
Gelderland	헬데를란트	heldelɯllantʰɯ
Tiel	틸	tʰil
Emmen	에먼	emʌn
Koopmans	코프만스	kʰopʰɯmans͈ɯ
Hoorn	호른	holɯn
Andelst	안델스트	andels͈ɯtʰɯ
Roordahuizum	로르다하위쥠	lolɯdahawid͡ɕwim
Lauwersmeer	라우에르스메이르	lauelɯsɯmeilɯ
Boeijinga	부잉아	puiŋa
Onnes	오너스	onʌsɯ
Rieuwers	리우어르스	liuʌlɯsɯ
Berlage	베를라허	pelɯllahʌ
Zierikzee	지릭제이	t͡ɕilikt͈͡ɕei
Vlieland	플릴란트	pʰɯllillantʰɯ
Marsdiep	마르스딥	malɯsɯdip
Franciscus	프란시스퀴스	pʰɯlans͈isɯkʰwisɯ
Wijchen	베이헌	peihʌn
Spijkenisse	스페이케니서	sɯpʰeikʰenisʌ
Hellevoetsluis	헬레부츨라위스	hellebut͡ɕʰɯllawisɯ
Hapert	하퍼르트	hapʰʌlɯtʰɯ
Peter	페터르	pʰetʰʌlɯ
Culemborg	퀼렘보르흐	kʰwillembolɯhɯ
Booisman	보이스만	poisɯman
Ommen	오먼	omʌn
Boxtel	복스털	poks͈ɯtʰʌl
Hals	할스	hals͈ɯ
Drenthe	드렌터	tɯlentʰʌ
Oldenzaal	올덴잘	oldend͡ɕal
Zeeland	제일란트	t͡ɕeillantʰɯ
Dordrecht	도르드레흐트	tolɯdɯlehɯtʰɯ
Waddenzee	바덴제이	padend͡ɕei
Appingedam	아핑에담	apʰiŋedam
Uithuizen	아위트하위전	awitʰɯhawid͡ɕʌn
Delft	델프트	telpʰɯtʰɯ
Kraggenburg	크라헨뷔르흐	kʰɯlahenbwilɯhɯ
Philippine	필리피너	pʰillipʰinʌ
Hooites	호이터스	hoitʰʌsɯ
Amsterdam	암스테르담	ams͈ɯtʰelɯdam
Benk	벵크	peŋkʰɯ
Franeker	프라네커르	pʰɯlanekʰʌlɯ
Waal	발	pal
Sluis	슬라위스	sɯllawisɯ
Bedum	베뒴	pedwim
Jakob	야코프	jakʰopʰɯ
drieëntwintig	드리엔트빈터흐	tɯlientʰɯbintʰʌhɯ
Lelystad	렐리스타트	lellisɯtʰatʰɯ
Westkapelle	베스트카펠러	pesɯtʰɯkʰapʰellʌ
Scharendijke	스하렌데이커	sɯhalendeikʰʌ
Harderwijk	하르데르베이크	halɯdelɯbeikʰɯ
Jacob	야코프	jakʰopʰɯ
natie	나시	nasi
Kees	케이스	kʰeisɯ
Zevenaar	제베나르	t͡ɕebenalɯ
Koenraad	쿤라트	kʰullatʰɯ
fetisj	페티시	pʰetʰisi
Hilversum	힐베르쉼	hilbelɯswim
Eibergen	에이베르헌	eibelɯhʌn
Creil	크레일	kʰɯleil
Ameland	아멜란트	amellantʰɯ
Tiësto	티에스토	tʰiesɯtʰo
Heerde	헤이르더	heilɯdʌ
Zaandam	잔담	t͡ɕandam
Egmont	에흐몬트	ehɯmontʰɯ
Boerhaave	부르하버	pulɯhabʌ
Overijssel	오버레이설	obʌleisʌl
Barneveld	바르네벨트	palɯnebeltʰɯ
Borst	보르스트	polɯsɯtʰɯ
Edgar	엣하르	etʰalɯ
Hobbema	호베마	hobema
Castricum	카스트리큄	kʰasɯtʰɯlikʰwim
Dokkum	도큄	tokʰwim
Schiermonnikoog	스히르모니코흐	sɯhilɯmonikʰohɯ
Weltevree	벨테브레이	peltʰebɯlei
Almelo	알멜로	almello
Luyksgestel	라위크스헤스털	lawikʰɯsɯhesɯtʰʌl
Beilen	베일런	peillʌn
Middelharnis	미델하르니스	midelhalɯnisɯ
Euwen	에위언	ewiʌn
draaien	드라이언	tɯlaiʌn
Kollum	콜륌	kʰollwim
Flevoland	플레볼란트	pʰɯllebollantʰɯ
Duisenberg	다위센베르흐	tawisenbelɯhɯ
carré	카레	kʰale
Groningen	흐로닝언	hɯloniŋʌn
Hendricus	헨드리퀴스	hendɯlikʰwisɯ
Apeldoorn	아펠도른	apʰeldolɯn
Meeuwes	메이우어스	meiuʌsɯ
Oosterhout	오스테르하우트	osɯtʰelɯhautʰɯ
Heerenveen	헤이렌베인	heilenbein
huisje	하위셔	hawisjʌ
Eemskanaal	에임스카날	eims͈ɯkʰanal
Veenendal	페이넨달	pʰeinendal
sjaal	샬	sjal
Limburg	림뷔르흐	limbwilɯhɯ
Graaf	흐라프	hɯlapʰɯ
Frederik	프레데릭	pʰɯledelik
Drachten	드라흐턴	tɯlahɯtʰʌn
Berkhout	베르크하우트	pelɯkʰɯhautʰɯ
kwitantie	크비탄시	kʰɯbitʰans͈i
Steeswijk	스테이스베이크	sɯtʰeisɯbeikʰɯ
Nijkerk	네이커르크	neikʰʌlɯkʰɯ
Dennis	데니스	tenisɯ
zaait	자이트	t͡ɕaitʰɯ
Mengelberg	멩엘베르흐	meŋelbelɯhɯ
gulden	휠던	hwildʌn
Jansen	얀선	jans͈ʌn
typisch	티피스	tʰipʰisɯ
Delfzijl	델프제일	telpʰɯd͡ɕeil
Bouts	바우츠	paut͡ɕʰɯ
Heike	헤이커	heikʰʌ
Heerhugowaard	헤이르휘호바르트	heilɯhwihobalɯtʰɯ
Leeuwenhoek	레이우엔훅	leiuenhuk
Leeuwarden	레이우아르던	leiualɯdʌn
Kampen	캄펀	kʰampʰʌn
scrupel	스크뤼펄	sɯkʰɯlwipʰʌl
Weert	베이르트	peilɯtʰɯ
Oosterschelde	오스테르스헬더	osɯtʰelɯsɯheldʌ
tuig	타위흐	tʰawihɯ
Veltman	펠트만	pʰeltʰɯman
Sneek	스네이크	sɯneikʰɯ
Hillegom	힐레홈	hillehom
Frank	프랑크	pʰɯlaŋkʰɯ
Asten	아스턴	asɯtʰʌn
Frans	프란스	pʰɯlans͈ɯ
Arcadelt	아르카덜트	alɯkʰadʌltʰɯ
Gerrit	헤릿	helit
Bolsward	볼스바르트	pols͈ɯbalɯtʰɯ
Hollum	홀륌	hollwim
ruw	뤼	lwi
Oss	오스	osɯ
Best	베스트	pesɯtʰɯ
Halsteren	할스테런	hals͈ɯtʰelʌn
IJmuiden	에이마위던	eimawidʌn
Waddinxveen	바딩크스베인	padiŋkʰɯsɯbein
Meppel	메펄	mepʰʌl
Buys	바위스	pawisɯ
Rotterdam	로테르담	lotʰelɯdam
Meerssen	메이르선	meilɯsʌn
Einthoven	에인트호번	eintʰɯhobʌn
Jan	얀	jan
Westerschelde	베스테르스헬더	pesɯtʰelɯsɯheldʌ
Nijverdal	네이베르달	neibelɯdal
Stevin	스테빈	sɯtʰebin
Berkel	베르컬	pelɯkʰʌl
Zeeman	제이만	t͡ɕeiman
Purmerend	퓌르메런트	pʰwilɯmelʌntʰɯ
Mechelen	메헬런	mehellʌn
Lubbers	뤼버르스	lwibʌlɯsɯ
Enschede	엔스헤데	ens͈ɯhede
Doetinchem	두틴험	tutʰinhʌm
Koudekerke	카우데케르커	kʰaudekʰelɯkʰʌ
Peper	페퍼르	pʰepʰʌlɯ
Eenrum	에인륌	eillwim
Zutphan	쥣판	t͡ɕwitpʰan
Oenkerk	웅커르크	uŋkʰʌlɯkʰɯ
politie	폴리시	pʰollisi
kwellen	크벨런	kʰɯbellʌn
Gouda	하우다	hauda
Haarlem	하를럼	halɯllʌm
Raalte	랄터	laltʰʌ
Wonschoten	본스호턴	pons͈ɯhotʰʌn
Hoogeveen	호헤베인	hohebein
Hoogerheide	호헤르헤이더	hohelɯheidʌ
Wit	빗	pit
Elfstedentocht	엘프스테덴토흐트	elpʰɯsɯtʰedentʰohɯtʰɯ
kwaliteit	크발리테이트	kʰɯballitʰeitʰɯ
Beets	베이츠	peit͡ɕʰɯ
Mondriaan	몬드리안	mondɯlian
Escher	에스허르	esɯhʌlɯ
Valkenswaard	팔켄스바르트	pʰalkʰens͈ɯbalɯtʰɯ
Hardenberg	하르덴베르흐	halɯdenbelɯhɯ
Hiddink	히딩크	hidiŋkʰɯ
IJssel	에이설	eisʌl
Hooch	호흐	hohɯ
Amstelveen	암스텔베인	ams͈ɯtʰelbein
Wim	빔	pim
Spinoza	스피노자	sɯpʰinod͡ɕa
ramsj	람시	lams͈i
tachtig	타흐터흐	tʰahɯtʰʌhɯ
Wageningen	바헤닝언	paheniŋʌn
