dywan	d i . b a n
straż	s ɯ . t ɯ . l a . s i
targ	t a . l ɯ . k ɯ
dobrze	d o . b ɯ . dʒ e
matka	m a . t ɯ . k a
zabawka	dʒ a . b a . p ɯ . k a
Poznań	p o . dʒ ɯ . n a n
Rzeszów	dʒ e . s j u . p ɯ
proszę	p ɯ . l o . s j e
łyżka	w i . s j u . k a
chory	h o . l i
grzmot	ɡ ɯ . dʒ u . m o . t ɯ
łodż	w ʌ . tʃ i
nerka	n e . l ɯ . k a
kuchnia	k u . h ɯ . n i . a
węgorz	b e ŋ . ɡ o . s i
burak	b u . l a . k ɯ
zdrowy	dʒ ɯ . d ɯ . l o . b i
wywóz	b i . b u . s ɯ
kapelusz	k a . p e l . l u . s i
góra	ɡ u . l a
cel	tʃ e l
noc	n o . tʃ ɯ
jasny	j a . s ɯ . n i
mokry	m o . k ɯ . l i
bank	b a n . k ɯ
mąka	m o ŋ . k a
kolano	k o l . l a . n o
odpis	o . t ɯ . p i . s ɯ
kula	k u l . l a
fryzjer	p ɯ . l i . dʒ e . l ɯ
grad	ɡ ɯ . l a . t ɯ
motyl	m o . t i l
koszt	k o . s j u . t ɯ
trawa	t ɯ . l a . b a
zero	dʒ e . l o
sznur	s j u . n u . l ɯ
fasola	p a . s o l . l a
gwoździk	ɡ ɯ . b o . dʒ i . dʒ i . k ɯ
zimno	dʒ i m . n o
musztarda	m u . s j u . t a . l ɯ . d a
przyjaciół	p ɯ . s i . j a . tʃ i . u
rzeka	dʒ e . k a
łono	w ʌ . n o
Warszawa	b a . l ɯ . s j a . b a
Częstochowa	tʃ e ŋ . s ɯ . t o . h o . b a
dziś	dʒ i . s i
Gdańsk	ɡ ɯ . d a n . s ɯ . k ɯ
słodki	s ɯ . w ʌ . t ɯ . k i
od	o . t ɯ
daktyl	d a ɡ . t i l
serce	s e . l ɯ . tʃ e
Słupsk	s ɯ . u b . s ɯ . k ɯ
kąt	k o ŋ . t ɯ
szybko	s i b . k o
zamek	dʒ a . m e . k ɯ
trąba	t ɯ . l o ŋ . b a
herbata	h e . l ɯ . b a . t a
garnek	ɡ a . l ɯ . n e . k ɯ
przjyaciół	p ɯ . s i . a . tʃ i . u
pod	p o . t ɯ
chleb	h ɯ l . l e . p ɯ
klucz	k ɯ l . l u . tʃ i
dać	d a . tʃ i
mosiądz	m o . s i . o ŋ . tʃ ɯ
kraj	k ɯ . l a . i
kanał	k a . n a . u
łóżko	u . s j u . k o
ślepy	s i l . l e . p i
Przemyśl	p ɯ . s j e . m i . s i l
ręka	l e ŋ . k a
dzwon	dʒ ɯ . b o n
para	p a . l a
befsztyk	b e . p ɯ . s j u . t i . k ɯ
kępa	k e ŋ . p a
but	b u . t ɯ
beczka	b e . tʃ i . k a
tą	t o ŋ
zbrodnia	dʒ ɯ . b ɯ . l o . d ɯ . n i . a
Grabski	ɡ ɯ . l a b . s ɯ . k i
kino	k i . n o
żyto	dʒ i . t o
mrówka	m ɯ . l u . p ɯ . k a
czysty	tʃ i . s ɯ . t i
olej	o l . l e . i
pęcherz	p e ŋ . h e . s i
drzewo	dʒ e . b o
Balicki	b a l . l i . tʃ ɯ . k i
piwnica	p i . b ɯ . n i . tʃ a
sam	s a m
krew	k ɯ . l e . p ɯ
kołnierz	k o . u . n i . e . s i
dokument	d o . k u . m e n . t ɯ
kosz	k o . s i
tam	t a m
Jagiełło	j a . ɡ i . e . w ʌ
głowa	ɡ ɯ . w ʌ . b a
dach	d a . h ɯ
srebro	s ɯ . l e . b ɯ . l o
pas	p a . s ɯ
rower	l o . b e . l ɯ
stacja	s ɯ . t a . tʃ a
lis	l i . s ɯ
różny	l u . dʒ u . n i
szary	s j a . l i
udo	u . d o
więź	b i . e ŋ . s i
zima	dʒ i . m a
most	m o . s ɯ . t ɯ
król	k ɯ . l u l
bułka	b u . u . k a
obraz	o . b ɯ . l a . s ɯ
dziura	dʒ i . u . l a
chłop	h ɯ . w ʌ . p ɯ
próba	p ɯ . l u . b a
Hrubieszów	h ɯ . l u . b i . e . s j u . p ɯ
niedźwiedź	n i . e . tʃ i . b i . e . tʃ i
mleko	m ɯ l . l e . k o
