dywan	디반	tiban
straż	스트라시	sɯtʰɯlasi
targ	타르크	tʰalɯkʰɯ
dobrze	도브제	tobɯd͡ɕe
matka	마트카	matʰɯkʰa
zabawka	자바프카	t͡ɕabapʰɯkʰa
Poznań	포즈난	pʰod͡ɕɯnan
Rzeszów	제슈프	t͡ɕesjupʰɯ
proszę	프로셰	pʰɯlosje
łyżka	위슈카	wisjukʰa
chory	호리	holi
grzmot	그주모트	kɯd͡ɕumotʰɯ
łodż	워치	wʌt͡ɕʰi
nerka	네르카	nelɯkʰa
kuchnia	쿠흐니아	kʰuhɯnia
węgorz	벵고시	peŋgosi
burak	부라크	pulakʰɯ
zdrowy	즈드로비	t͡ɕɯdɯlobi
wywóz	비부스	pibusɯ
kapelusz	카펠루시	kʰapʰellusi
góra	구라	kula
cel	첼	t͡ɕʰel
noc	노츠	not͡ɕʰɯ
jasny	야스니	jasɯni
mokry	모크리	mokʰɯli
bank	반크	pankʰɯ
mąka	몽카	moŋkʰa
kolano	콜라노	kʰollano
odpis	오트피스	otʰɯpʰisɯ
kula	쿨라	kʰulla
fryzjer	프리제르	pʰɯlid͡ɕelɯ
grad	그라트	kɯlatʰɯ
motyl	모틸	motʰil
koszt	코슈트	kʰosjutʰɯ
trawa	트라바	tʰɯlaba
zero	제로	t͡ɕelo
sznur	슈누르	sjunulɯ
fasola	파솔라	pʰasolla
gwoździk	그보지지크	kɯbod͡ɕid͡ɕikʰɯ
zimno	짐노	t͡ɕimno
musztarda	무슈타르다	musjutʰalɯda
przyjaciół	프시야치우	pʰɯsijat͡ɕʰiu
rzeka	제카	t͡ɕekʰa
łono	워노	wʌno
Warszawa	바르샤바	palɯsjaba
Częstochowa	쳉스토호바	t͡ɕʰeŋs͈ɯtʰohoba
dziś	지시	t͡ɕisi
Gdańsk	그단스크	kɯdans͈ɯkʰɯ
słodki	스워트키	sɯwʌtʰɯkʰi
od	오트	otʰɯ
daktyl	닥틸	taktʰil
serce	세르체	selɯt͡ɕʰe
Słupsk	스웁스크	sɯups͈ɯkʰɯ
kąt	콩트	kʰoŋtʰɯ
szybko	십코	sipkʰo
zamek	자메크	t͡ɕamekʰɯ
trąba	트롱바	tʰɯloŋba
herbata	헤르바타	helɯbatʰa
garnek	가르네크	kalɯnekʰɯ
przjyaciół	프시아치우	pʰɯsiat͡ɕʰiu
pod	포트	pʰotʰɯ
chleb	흘레프	hɯllepʰɯ
klucz	클루치	kʰɯllut͡ɕʰi
dać	다치	tat͡ɕʰi
mosiądz	모시옹츠	mosioŋt͡ɕʰɯ
kraj	크라이	kʰɯlai
kanał	카나우	kʰanau
łóżko	우슈코	usjukʰo
ślepy	실레피	sillepʰi
Przemyśl	프셰미실	pʰɯsjemisil
ręka	렝카	leŋkʰa
dzwon	즈본	t͡ɕɯbon
para	파라	pʰala
befsztyk	베프슈티크	pepʰɯsjutʰikʰɯ
kępa	켕파	kʰeŋpʰa
but	부트	putʰɯ
beczka	베치카	pet͡ɕʰikʰa
tą	통	tʰoŋ
zbrodnia	즈브로드니아	t͡ɕɯbɯlodɯnia
Grabski	그랍스키	kɯlaps͈ɯkʰi
kino	키노	kʰino
żyto	지토	t͡ɕitʰo
mrówka	므루프카	mɯlupʰɯkʰa
czysty	치스티	t͡ɕʰisɯtʰi
olej	올레이	ollei
pęcherz	펭헤시	pʰeŋhesi
drzewo	제보	t͡ɕebo
Balicki	발리츠키	pallit͡ɕʰɯkʰi
piwnica	피브니차	pʰibɯnit͡ɕʰa
sam	삼	sam
krew	크레프	kʰɯlepʰɯ
kołnierz	코우니에시	kʰouniesi
dokument	도쿠멘트	tokʰumentʰɯ
kosz	코시	kʰosi
tam	탐	tʰam
Jagiełło	야기에워	jagiewʌ
głowa	그워바	kɯwʌba
dach	다흐	tahɯ
srebro	스레브로	sɯlebɯlo
pas	파스	pʰasɯ
rower	로베르	lobelɯ
stacja	스타차	sɯtʰat͡ɕʰa
lis	리스	lisɯ
różny	루주니	lud͡ɕuni
szary	샤리	sjali
udo	우도	udo
więź	비엥시	pieŋs͈i
zima	지마	t͡ɕima
most	모스트	mosɯtʰɯ
król	크룰	kʰɯlul
bułka	부우카	puukʰa
obraz	오브라스	obɯlasɯ
dziura	지우라	t͡ɕiula
chłop	흐워프	hɯwʌpʰɯ
próba	프루바	pʰɯluba
Hrubieszów	흐루비에슈프	hɯlubiesjupʰɯ
niedźwiedź	니에치비에치	niet͡ɕʰibiet͡ɕʰi
mleko	믈레코	mɯllekʰo
