Montes	m o n t ɯ s ɯ
Angelo	a n dʒ e l l u
Afonso	a p o n s u
Saramago	s a l a m a g u
Nascimento	n a s i m e n t u
Azul	a dʒ u l
Santarem	s a n t a l e ŋ
Garrett	ɡ a h e t ɯ
Sul	s u l
Branco	b ɯ l a ŋ k u
Teixeira	t e i s j e i l a
excelente	i s e l l e n t ɯ
Melo	m e l l u
lixo	l i s j u
Passos	p a s u s ɯ
cresça	k ɯ l e s a
Conquista	k o ŋ k i s ɯ t a
Gil	dʒ i l
Pires	p i l ɯ s ɯ
Barroso	b a h o dʒ u
Diamantina	d i a m a n t i n a
Francisco	p ɯ l a n s i s ɯ k u
Mattoso	m a t o dʒ u
Bandeira	b a n d e i l a
Ribeiro	h i b e i l u
Soares	s o a l ɯ s ɯ
Chaves	s j a b e s ɯ
Lins	l i ŋ s ɯ
Chifre	s i p ɯ l ɯ
Peniche	p e n i s i
Angola	a ŋ g o l l a
Campos	k a m p u s ɯ
Lopes	l o p e s ɯ
Moniz	m o n i s ɯ
Caracol	k a l a k o l
Vincente	b i n s e n t ɯ
Egas	e g a s ɯ
Iguaçú	i g u a s u
Costa	k o s ɯ t a
Rondon	h o n d o ŋ
Montemayor	m o n t e m a j o l ɯ
Amado	a m a d u
Toress	t o l e s ɯ
Alegrete	a l l e g ɯ l e t ɯ
de	d ɯ
Antonio	a n t o n i u
Araquari	a l a k u a l i
exemplo	i dʒ e m p ɯ l l u
Salazar	s a l l a dʒ a l ɯ
Manuel	m a n u e l
piscina	p i s i n a
Camocim	k a m o s i ŋ
Junqueiro	dʒ u ŋ k e i l u
Gervasio	dʒ e l ɯ b a dʒ i u
Henrique	e n h i k ɯ
Carlos	k a l ɯ l l u s ɯ
Aquilino	a k i l l i n u
exame	i dʒ a m ɯ
Angoche	a ŋ g o s i
Guerra	ɡ e h a
Estremoz	i s ɯ t ɯ l e m o s ɯ
Amalia	a m a l l i a
Gilberto	dʒ i l b e l ɯ t u
Gomes	ɡ o m e s ɯ
Lagos	l a g u s ɯ
Nobre	n o b ɯ l ɯ
Neves	n e b e s ɯ
Rubens	h u b e ŋ s ɯ
Cabral	k a b ɯ l a l
