Montes	몬트스	montʰɯsɯ
Angelo	안젤루	and͡ɕellu
Afonso	아폰수	apʰons͈u
Saramago	사라마구	salamagu
Nascimento	나시멘투	nasimentʰu
Azul	아줄	ad͡ɕul
Santarem	산타렝	santʰaleŋ
Garrett	가헤트	kahetʰɯ
Sul	술	sul
Branco	브랑쿠	pɯlaŋkʰu
Teixeira	테이셰이라	tʰeisjeila
excelente	이셀렌트	isellentʰɯ
Melo	멜루	mellu
lixo	리슈	lisju
Passos	파수스	pʰasusɯ
cresça	크레사	kʰɯlesa
Conquista	콩키스타	kʰoŋkʰisɯtʰa
Gil	질	t͡ɕil
Pires	피르스	pʰilɯsɯ
Barroso	바호주	pahod͡ɕu
Diamantina	디아만티나	tiamantʰina
Francisco	프란시스쿠	pʰɯlans͈isɯkʰu
Mattoso	마토주	matʰod͡ɕu
Bandeira	반데이라	pandeila
Ribeiro	히베이루	hibeilu
Soares	소아르스	soalɯsɯ
Chaves	샤베스	sjabesɯ
Lins	링스	liŋs͈ɯ
Chifre	시프르	sipʰɯlɯ
Peniche	페니시	pʰenisi
Angola	앙골라	aŋgolla
Campos	캄푸스	kʰampʰusɯ
Lopes	로페스	lopʰesɯ
Moniz	모니스	monisɯ
Caracol	카라콜	kʰalakʰol
Vincente	빈센트	pins͈entʰɯ
Egas	에가스	egasɯ
Iguaçú	이구아수	iguasu
Costa	코스타	kʰosɯtʰa
Rondon	혼동	hondoŋ
Montemayor	몬테마요르	montʰemajolɯ
Amado	아마두	amadu
Toress	토레스	tʰolesɯ
Alegrete	알레그레트	allegɯletʰɯ
de	드	tɯ
Antonio	안토니우	antʰoniu
Araquari	아라쿠아리	alakʰuali
exemplo	이젬플루	id͡ɕempʰɯllu
Salazar	살라자르	sallad͡ɕalɯ
Manuel	마누엘	manuel
piscina	피시나	pʰisina
Camocim	카모싱	kʰamosiŋ
Junqueiro	중케이루	t͡ɕuŋkʰeilu
Gervasio	제르바지우	t͡ɕelɯbad͡ɕiu
Henrique	엔히크	enhikʰɯ
Carlos	카를루스	kʰalɯllusɯ
Aquilino	아킬리누	akʰillinu
exame	이자므	id͡ɕamɯ
Angoche	앙고시	aŋgosi
Guerra	게하	keha
Estremoz	이스트레모스	isɯtʰɯlemosɯ
Amalia	아말리아	amallia
Gilberto	질베르투	t͡ɕilbelɯtʰu
Gomes	고메스	komesɯ
Lagos	라구스	lagusɯ
Nobre	노브르	nobɯlɯ
Neves	네베스	nebesɯ
Rubens	후벵스	hubeŋs͈ɯ
Cabral	카브랄	kʰabɯlal
