taxi	t a ɡ . s i
este	j e . s ɯ . t e
Cine	tʃ i . n e
alb	a l . b ɯ
telefonist	t e l . l e . p o . n i . s ɯ . t ɯ
Jiu	dʒ i . u
radio	l a . d i . o
Avram	a . b ɯ . l a m
duh	d u . h ɯ
Victoria	b i ɡ . t o . l i . a
Cartof	k a . l ɯ . t o . p ɯ
Elena	e l . l e . n a
Theodor	t e . o . d o . l ɯ
Galaţi	ɡ a l . l a . tʃ i
Gheorghe	ɡ e . o . l ɯ . ɡ e
hotel	h o . t e l
Moldova	m o l . d o . b a
hering	h e . l i n . ɡ ɯ
Brad	b ɯ . l a . d ɯ
examen	e . ɡ ɯ . dʒ a . m e n
Bran	b ɯ . l a n
Cîmpina	k ɯ m . p i . n a
cap	k a . p ɯ
autobuz	a . u . t o . b u . dʒ ɯ
era	j e . l a
lemn	l e m . n ɯ
el	j e l
Focşani	p o ɡ . s j a . n i
Maramureş	m a . l a . m u . l e . s j u
Oradea	o . l a . d e . a
clei	k ɯ l . l e . i
eu	j e . u
Cluj	k ɯ l . l u . dʒ i
Mureş	m u . l e . s j u
pas	p a . s ɯ
pumn	p u m . n ɯ
Sibiu	s i . b i . u
Bacău	b a . k ʌ . u
Braşov	b ɯ . l a . s j o . b ɯ
Arad	a . l a . d ɯ
pianist	p i . a . n i . s ɯ . t ɯ
Gigel	dʒ i . dʒ e l
România	l o . m ɯ . n i . a
Sturdza	s ɯ . t u . l ɯ . dʒ a
bilet	b i l . l e . t ɯ
Emil	e . m i l
bibliotecă	b i . b ɯ l . l i . o . t e . k ʌ
Cheia	k e . i . a
centru	tʃ e n . t ɯ . l u
septembrie	s e b . t e m . b ɯ . l i . e
şag	s j a . ɡ ɯ
ziar	dʒ i . a . l ɯ
Nucet	n u . tʃ e . t ɯ
factură	p a ɡ . t u . l ʌ
kilogram	k i l . l o . ɡ ɯ . l a m
ţigară	tʃ i . ɡ a . l ʌ
braţ	b ɯ . l a . tʃ ɯ
haţeg	h a . tʃ e . ɡ ɯ
dor	d o . l ɯ
Cîntec	k ɯ n . t e . k ɯ
