taxi	탁시	tʰaks͈i
este	예스테	jesɯtʰe
Cine	치네	t͡ɕʰine
alb	알브	albɯ
telefonist	텔레포니스트	tʰellepʰonisɯtʰɯ
Jiu	지우	t͡ɕiu
radio	라디오	ladio
Avram	아브람	abɯlam
duh	두흐	tuhɯ
Victoria	빅토리아	piktʰolia
Cartof	카르토프	kʰalɯtʰopʰɯ
Elena	엘레나	ellena
Theodor	테오도르	tʰeodolɯ
Galaţi	갈라치	kallat͡ɕʰi
Gheorghe	게오르게	keolɯge
hotel	호텔	hotʰel
Moldova	몰도바	moldoba
hering	헤린그	helingɯ
Brad	브라드	pɯladɯ
examen	에그자멘	egɯd͡ɕamen
Bran	브란	pɯlan
Cîmpina	큼피나	kʰɯmpʰina
cap	카프	kʰapʰɯ
autobuz	아우토부즈	autʰobud͡ɕɯ
era	예라	jela
lemn	렘느	lemnɯ
el	옐	jel
Focşani	폭샤니	pʰoks͈jani
Maramureş	마라무레슈	malamulesju
Oradea	오라데아	oladea
clei	클레이	kʰɯllei
eu	예우	jeu
Cluj	클루지	kʰɯllud͡ɕi
Mureş	무레슈	mulesju
pas	파스	pʰasɯ
pumn	품느	pʰumnɯ
Sibiu	시비우	sibiu
Bacău	바커우	pakʰʌu
Braşov	브라쇼브	pɯlasjobɯ
Arad	아라드	aladɯ
pianist	피아니스트	pʰianisɯtʰɯ
Gigel	지젤	t͡ɕid͡ɕel
România	로므니아	lomɯnia
Sturdza	스투르자	sɯtʰulɯd͡ɕa
bilet	빌레트	pilletʰɯ
Emil	에밀	emil
bibliotecă	비블리오테커	pibɯlliotʰekʰʌ
Cheia	케이아	kʰeia
centru	첸트루	t͡ɕʰentʰɯlu
septembrie	셉템브리에	septʰembɯlie
şag	샤그	sjagɯ
ziar	지아르	t͡ɕialɯ
Nucet	누체트	nut͡ɕʰetʰɯ
factură	팍투러	pʰaktʰulʌ
kilogram	킬로그람	kʰillogɯlam
ţigară	치가러	t͡ɕʰigalʌ
braţ	브라츠	pɯlat͡ɕʰɯ
haţeg	하체그	hat͡ɕʰegɯ
dor	도르	tolɯ
Cîntec	큰테크	kʰɯntʰekʰɯ
