Надя	n a d j a
Щирец	s i l e tʃ ɯ
Игорь	i g o l i
Аввакум	a b a k u m
Крылов	k ɯ l i l l o p ɯ
Гоголь	ɡ o g o l
Бобров	b o b ɯ l o p ɯ
Владивосток	b ɯ l l a d i b o s ɯ t o k ɯ
Калмык	k a l m i k ɯ
Капица	k a p i tʃ a
Псков	p ɯ s ɯ k o p ɯ
Аксаков	a k s a k o p ɯ
Ефремов	j e p ɯ l e m o p ɯ
Манечка	m a n e tʃ i k a
Жадовская	dʒ a d o p s ɯ k a j a
Шишков	s i s i k o p ɯ
Соллогуб	s o l l o g u p ɯ
Брятск	b ɯ l j a tʃ ɯ k ɯ
Павел	p a b e l
Глеб	ɡ ɯ l l e p ɯ
Андарбаг	a n d a l ɯ b a k ɯ
Петрозаводск	p e t ɯ l o dʒ a b o tʃ ɯ k ɯ
Якутск	j a k u tʃ ɯ k ɯ
Восход	b o s ɯ h o t ɯ
Ойстрах	o i s ɯ t ɯ l a h ɯ
Кыра	k i l a
Алексей	a l l e k s e i
Сарапул	s a l a p u l
Петров	p e t ɯ l o p ɯ
Кебеж	k e b e s i
Цветаева	tʃ ɯ b e t a j e b a
Илья	i l l i j a
Марков	m a l ɯ k o p ɯ
Алексеев	a l l e k s e j e p ɯ
Таджикистан	t a dʒ i k i s ɯ t a n
Агрыз	a g ɯ l i s ɯ
Юрий	j u l i
Егвекинот	j e g ɯ b e k i n o t ɯ
Калининград	k a l l i n i n g ɯ l a d ɯ
Тверь	t ɯ b e l i
Гончаров	ɡ o n tʃ a l o p ɯ
Хабаровск	h a b a l o p s ɯ k ɯ
Мусоргский	m u s o l ɯ k s ɯ k i
Мценск	m ɯ tʃ e n s ɯ k ɯ
Квас	k ɯ b a s ɯ
Стефан	s ɯ t e p a n
Славгород	s ɯ l l a b ɯ g o l o d ɯ
Юрга	j u l ɯ g a
Премьер	p ɯ l e m i j e l ɯ
Белый	b e l l i
Анна	a n n a
Ленин	l e n i n
Ростопчиня	l o s ɯ t o p tʃ i n j a
Зайчев	dʒ a i tʃ e p ɯ
Волгоград	b o l g o g ɯ l a d ɯ
Веревкин	b e l e p k i n
Андрей	a n d ɯ l e i
Цимлянск	tʃ i m ɯ l l j a n s ɯ k ɯ
Одесса	o d e s a
Майкоп	m a i k o p ɯ
Максим	m a k s i m
Лермонтов	l e l ɯ m o n t o p ɯ
Дмитрий	d ɯ m i t ɯ l i
Вернадский	b e l ɯ n a tʃ ɯ k i
Иванов	i b a n o p ɯ
Дьяково	d i j a k o b o
Татьяна	t a t i j a n a
Лопатка	l o p a t k a
Эртель	j e l ɯ t e l
Акбаур	a k ɯ b a u l ɯ
Фёдор	p j o d o l ɯ
Салтыков	s a l t i k o p ɯ
Адыгея	a d i g e j a
Садко	s a t k o
Ахматова	a h ɯ m a t o b a
Рубцовск	l u p tʃ o p s ɯ k ɯ
Якубович	j a k u b o b i tʃ i
Лужков	l u s i k o p ɯ
Авксесия	a p k ɯ s e s i j a
Острогожск	o s ɯ t ɯ l o g o s i s ɯ k ɯ
Гатчина	ɡ a tʃ i n a
Ольга	o l g a
борщ	b o l ɯ s i
Назрань	n a dʒ ɯ l a n
Гиппиус	ɡ i p i u s ɯ
Курбский	k u l ɯ p s ɯ k i
Борис	b o l i s ɯ
Болотов	b o l l o t o p ɯ
Гамма	ɡ a m m a
Кузнецов	k u dʒ ɯ n e tʃ o p ɯ
Михаийл	m i h a i l
Ока	o k a
Достоевский	d o s ɯ t o j e p s ɯ k i
Рязань	l j a dʒ a n
Льбовна	l i b o b ɯ n a
Хомяков	h o m j a k o p ɯ
Ушаков	u s j a k o p ɯ
Николаевич	n i k o l l a j e b i tʃ i
Шелгунов	s j e l g u n o p ɯ
Рыбинск	l i b i n s ɯ k ɯ
Хватков	h ɯ b a t k o p ɯ
Евгений	j e b ɯ g e n i
Жданов	dʒ ɯ d a n o p ɯ
Абакан	a b a k a n
Соловьёв	s o l l o b i j o p ɯ
Иосиф	i o s i p ɯ
Пётр	p j o t ɯ l ɯ
Земля	dʒ e m ɯ l l j a
Бурят	b u l j a t ɯ
Ясинский	j a s i n s ɯ k i
Богдан	b o g ɯ d a n
Артём	a l ɯ t j o m
Дзержинский	dʒ e l ɯ dʒ i n s ɯ k i
Щербаков	s j e l ɯ b a k o p ɯ
Николай	n i k o l l a i
Василий	b a s i l l i
Тютчев	t j u tʃ e p ɯ
Акмеизм	a k ɯ m e i dʒ ɯ m
Акколь	a k o l
Находка	n a h o t k a
Бенедиктов	b e n e d i k t o p ɯ
