Надя	나댜	nadja
Щирец	시레츠	silet͡ɕʰɯ
Игорь	이고리	igoli
Аввакум	아바쿰	abakʰum
Крылов	크릴로프	kʰɯlillopʰɯ
Гоголь	고골	kogol
Бобров	보브로프	pobɯlopʰɯ
Владивосток	블라디보스토크	pɯlladibosɯtʰokʰɯ
Калмык	칼미크	kʰalmikʰɯ
Капица	카피차	kʰapʰit͡ɕʰa
Псков	프스코프	pʰɯsɯkʰopʰɯ
Аксаков	악사코프	aks͈akʰopʰɯ
Ефремов	예프레모프	jepʰɯlemopʰɯ
Манечка	마네치카	manet͡ɕʰikʰa
Жадовская	자돕스카야	t͡ɕadops͈ɯkʰaja
Шишков	시시코프	sisikʰopʰɯ
Соллогуб	솔로구프	sollogupʰɯ
Брятск	브랴츠크	pɯljat͡ɕʰɯkʰɯ
Павел	파벨	pʰabel
Глеб	글레프	kɯllepʰɯ
Андарбаг	안다르바크	andalɯbakʰɯ
Петрозаводск	페트로자보츠크	pʰetʰɯlod͡ɕabot͡ɕʰɯkʰɯ
Якутск	야쿠츠크	jakʰut͡ɕʰɯkʰɯ
Восход	보스호트	posɯhotʰɯ
Ойстрах	오이스트라흐	oisɯtʰɯlahɯ
Кыра	키라	kʰila
Алексей	알렉세이	alleks͈ei
Сарапул	사라풀	salapʰul
Петров	페트로프	pʰetʰɯlopʰɯ
Кебеж	케베시	kʰebesi
Цветаева	츠베타예바	t͡ɕʰɯbetʰajeba
Илья	일리야	illija
Марков	마르코프	malɯkʰopʰɯ
Алексеев	알렉세예프	alleks͈ejepʰɯ
Таджикистан	타지키스탄	tʰad͡ɕikʰisɯtʰan
Агрыз	아그리스	agɯlisɯ
Юрий	유리	juli
Егвекинот	예그베키노트	jegɯbekʰinotʰɯ
Калининград	칼리닌그라드	kʰalliningɯladɯ
Тверь	트베리	tʰɯbeli
Гончаров	곤차로프	kont͡ɕʰalopʰɯ
Хабаровск	하바롭스크	habalops͈ɯkʰɯ
Мусоргский	무소륵스키	musolɯks͈ɯkʰi
Мценск	므첸스크	mɯt͡ɕʰens͈ɯkʰɯ
Квас	크바스	kʰɯbasɯ
Стефан	스테판	sɯtʰepʰan
Славгород	슬라브고로드	sɯllabɯgolodɯ
Юрга	유르가	julɯga
Премьер	프레미예르	pʰɯlemijelɯ
Белый	벨리	pelli
Анна	안나	anna
Ленин	레닌	lenin
Ростопчиня	로스톱치냐	losɯtʰopt͡ɕʰinja
Зайчев	자이체프	t͡ɕait͡ɕʰepʰɯ
Волгоград	볼고그라드	polgogɯladɯ
Веревкин	베렙킨	pelepkʰin
Андрей	안드레이	andɯlei
Цимлянск	치믈랸스크	t͡ɕʰimɯlljans͈ɯkʰɯ
Одесса	오데사	odesa
Майкоп	마이코프	maikʰopʰɯ
Максим	막심	maks͈im
Лермонтов	레르몬토프	lelɯmontʰopʰɯ
Дмитрий	드미트리	tɯmitʰɯli
Вернадский	베르나츠키	pelɯnat͡ɕʰɯkʰi
Иванов	이바노프	ibanopʰɯ
Дьяково	디야코보	tijakʰobo
Татьяна	타티야나	tʰatʰijana
Лопатка	로팟카	lopʰatkʰa
Эртель	예르텔	jelɯtʰel
Акбаур	아크바우르	akʰɯbaulɯ
Фёдор	표도르	pʰjodolɯ
Салтыков	살티코프	saltʰikʰopʰɯ
Адыгея	아디게야	adigeja
Садко	삿코	satkʰo
Ахматова	아흐마토바	ahɯmatʰoba
Рубцовск	룹촙스크	lupt͡ɕʰops͈ɯkʰɯ
Якубович	야쿠보비치	jakʰubobit͡ɕʰi
Лужков	루시코프	lusikʰopʰɯ
Авксесия	압크세시야	apkʰɯsesija
Острогожск	오스트로고시스크	osɯtʰɯlogosisɯkʰɯ
Гатчина	가치나	kat͡ɕʰina
Ольга	올가	olga
борщ	보르시	polɯsi
Назрань	나즈란	nad͡ɕɯlan
Гиппиус	기피우스	kipʰiusɯ
Курбский	쿠릅스키	kʰulɯps͈ɯkʰi
Борис	보리스	polisɯ
Болотов	볼로토프	pollotʰopʰɯ
Гамма	감마	kamma
Кузнецов	쿠즈네초프	kʰud͡ɕɯnet͡ɕʰopʰɯ
Михаийл	미하일	mihail
Ока	오카	okʰa
Достоевский	도스토옙스키	tosɯtʰojeps͈ɯkʰi
Рязань	랴잔	ljad͡ɕan
Льбовна	리보브나	libobɯna
Хомяков	호먀코프	homjakʰopʰɯ
Ушаков	우샤코프	usjakʰopʰɯ
Николаевич	니콜라예비치	nikʰollajebit͡ɕʰi
Шелгунов	셸구노프	sjelgunopʰɯ
Рыбинск	리빈스크	libins͈ɯkʰɯ
Хватков	흐밧코프	hɯbatkʰopʰɯ
Евгений	예브게니	jebɯgeni
Жданов	즈다노프	t͡ɕɯdanopʰɯ
Абакан	아바칸	abakʰan
Соловьёв	솔로비요프	sollobijopʰɯ
Иосиф	이오시프	iosipʰɯ
Пётр	표트르	pʰjotʰɯlɯ
Земля	제믈랴	t͡ɕemɯllja
Бурят	부랴트	puljatʰɯ
Ясинский	야신스키	jasins͈ɯkʰi
Богдан	보그단	pogɯdan
Артём	아르툠	alɯtʰjom
Дзержинский	제르진스키	t͡ɕelɯd͡ɕins͈ɯkʰi
Щербаков	셰르바코프	sjelɯbakʰopʰɯ
Николай	니콜라이	nikʰollai
Василий	바실리	pasilli
Тютчев	튜체프	tʰjut͡ɕʰepʰɯ
Акмеизм	아크메이즘	akʰɯmeid͡ɕɯm
Акколь	아콜	akʰol
Находка	나홋카	nahotkʰa
Бенедиктов	베네딕토프	penediktʰopʰɯ
