Prešov	p ɯ l e s j o u
Nitra	n i t ɯ l a
Martin	m a l ɯ t i n
deväť	d e b e t i
Vavrinec	b a u l i n e tʃ ɯ
Komárno	k o m a l ɯ n o
Zvolen	dʒ ɯ b o l l e n
Hviezdoslav	h ɯ b i e dʒ ɯ d o s ɯ l l a u
Poprad	p o p ɯ l a t ɯ
Bratislava	b ɯ l a t i s ɯ l l a b a
jahôd	j a h u o t ɯ
Bardejov	b a l ɯ d e j o u
Rožňava	l o dʒ u n j a b a
pätnásť	p e t ɯ n a s ɯ t i
Spiš	s ɯ p i s i
Trnava	t ɯ l ɯ n a b a
Váh	b a h ɯ
Považská	p o b a s j u s ɯ k a
Trenčín	t ɯ l e n tʃ i n
mäkčeň	m e k tʃ e n
Žilina	dʒ i l l i n a
Košice	k o s i tʃ e
Slavín	s ɯ l l a b i n
Michalovce	m i h a l l o u tʃ e
Žehra	dʒ e h ɯ l a
Vlkolínec	b ɯ l k o l l i n e tʃ ɯ
Vydrica	b i d ɯ l i tʃ a
