Prešov	프레쇼우	pʰɯlesjou
Nitra	니트라	nitʰɯla
Martin	마르틴	malɯtʰin
deväť	데베티	tebetʰi
Vavrinec	바우리네츠	paulinet͡ɕʰɯ
Komárno	코마르노	kʰomalɯno
Zvolen	즈볼렌	t͡ɕɯbollen
Hviezdoslav	흐비에즈도슬라우	hɯbied͡ɕɯdosɯllau
Poprad	포프라트	pʰopʰɯlatʰɯ
Bratislava	브라티슬라바	pɯlatʰisɯllaba
jahôd	야후오트	jahuotʰɯ
Bardejov	바르데요우	palɯdejou
Rožňava	로주냐바	lod͡ɕunjaba
pätnásť	페트나스티	pʰetʰɯnasɯtʰi
Spiš	스피시	sɯpʰisi
Trnava	트르나바	tʰɯlɯnaba
Váh	바흐	pahɯ
Považská	포바슈스카	pʰobasjusɯkʰa
Trenčín	트렌친	tʰɯlent͡ɕʰin
mäkčeň	멕첸	mekt͡ɕʰen
Žilina	질리나	t͡ɕillina
Košice	코시체	kʰosit͡ɕʰe
Slavín	슬라빈	sɯllabin
Michalovce	미할로우체	mihallout͡ɕʰe
Žehra	제흐라	t͡ɕehɯla
Vlkolínec	블콜리네츠	pɯlkʰollinet͡ɕʰɯ
Vydrica	비드리차	pidɯlit͡ɕʰa
