Triglav	t ɯ . l i . ɡ ɯ l . l a . u
Maribor	m a . l i . b o . l ɯ
Ljubljana	l j u . b ɯ l . l j a . n a
Trbovlje	t ɯ . l ɯ . b o . u l . l i . e
Pivka	p i . u . k a
Kamnik	k a m . n i . k ɯ
Ptuj	p ɯ . t u . i
Jesenice	j e . s e . n i . tʃ e
Bohinj	b o . h i n
Koper	k o . p e . l ɯ
Piran	p i . l a n
Celje	tʃ e l . l i . e
Domžale	d o m . dʒ a l . l e
Kranj	k ɯ . l a n
Izola	i . dʒ o l . l a
Velenje	b e l . l e . n i . e
Bled	b ɯ l . l e . t ɯ
Kras	k ɯ . l a . s ɯ
Slovenija	s ɯ l . l o . b e . n i . j a
