quisquilla	k i . s ɯ . k i . j a
braceo	b ɯ . l a . s e . o
colcren	k o l . k ɯ . l e n
ñoñez	n j o . n j e . s ɯ
xilofono	s i l . l o . p o . n o
yuxta	j u ɡ . s ɯ . t a
giganta	h i . ɡ a n . t a
ganga	ɡ a ŋ . ɡ a
coquito	k o . k i . t o
flan	p ɯ l . l a n
cifra	s i . p ɯ . l a
Cecilia	s e . s i l . l i . a
bistec	b i . s ɯ . t e ɡ
ocal	o . k a l
fuga	p u . ɡ a
laxante	l a ɡ . s a n . t e
queso	k e . s o
dictado	d i ɡ . t a . d o
Ángeles	a ŋ . h e l . l e . s ɯ
jueves	h u . e . b e . s ɯ
güerrero	ɡ w e . l e . l o
llama	j a . m a
plantón	p ɯ l . l a n . t o n
mañana	m a . n j a . n a
accion	a ɡ . s i . o n
yungla	j u ŋ . ɡ ɯ l . l a
kapok	k a . p o . k ɯ
viudedad	b i . u . d e . d a . d ɯ
membrete	m e m . b ɯ . l e . t e
antiguo	a n . t i . ɡ u . o
felicidad	p e l . l i . s i . d a . d ɯ
Nicaragua	n i . k a . l a . ɡ w a
blandon	b ɯ l . l a n . d o n
tetraetro	t e . t ɯ . l a . e . t ɯ . l o
carreterra	k a . l e . t e . l a
guerra	ɡ e . l a
Quarai	k w a . l a . i
xenón	s e . n o n
Quorem	k u . o . l e m
walkirias	w a l . k i . l i . a . s ɯ
geologia	h e . o l . l o . h i . a
pepsina	p e b . s i . n a
blanco	b ɯ l . l a ŋ . k o
lluvia	j u . b i . a
Güicho	ɡ w i . tʃ o
gato	ɡ a . t o
Gamiño	ɡ a . m i . n j o
carrera	k a . l e . l a
Lulio	l u l . l i . o
quehacer	k e . a . s e . l ɯ
Guipuzcoa	ɡ i . p u . s ɯ . k o . a
noche	n o . tʃ e
rascador	l a . s ɯ . k a . d o . l ɯ
fran	p ɯ . l a n
zagal	s a . ɡ a l
georgico	h e . o . l ɯ . h i . k o
lacrar	l a . k ɯ . l a . l ɯ
hipo	i . p o
coccion	k o ɡ . s i . o n
sastreria	s a . s ɯ . t ɯ . l e . l i . a
chicharra	tʃ i . tʃ a . l a
biz	b i . s ɯ
liquidez	l i . k i . d e . s ɯ
reloj	l e l . l o
Ecuador	e . k w a . d o . l ɯ
Pascual	p a . s ɯ . k w a l
Edwin	e . d ɯ . w i n
adequado	a . d e . k w a . d o
