quisquilla	키스키야	kʰisɯkʰija
braceo	브라세오	pɯlaseo
colcren	콜크렌	kʰolkʰɯlen
ñoñez	뇨녜스	njonjesɯ
xilofono	실로포노	sillopʰono
yuxta	육스타	juks͈ɯtʰa
giganta	히간타	higantʰa
ganga	강가	kaŋk͈a
coquito	코키토	kʰokʰitʰo
flan	플란	pʰɯllan
cifra	시프라	sipʰɯla
Cecilia	세실리아	sesillia
bistec	비스텍	pisɯtʰek
ocal	오칼	okʰal
fuga	푸가	pʰuga
laxante	락산테	laks͈antʰe
queso	케소	kʰeso
dictado	딕타도	tiktʰado
Ángeles	앙헬레스	aŋhellesɯ
jueves	후에베스	huebesɯ
güerrero	궤레로	kwelelo
llama	야마	jama
plantón	플란톤	pʰɯllantʰon
mañana	마냐나	manjana
accion	악시온	aks͈ion
yungla	융글라	juŋgɯlla
kapok	카포크	kʰapʰokʰɯ
viudedad	비우데다드	piudedadɯ
membrete	멤브레테	membɯletʰe
antiguo	안티구오	antʰiguo
felicidad	펠리시다드	pʰellisidadɯ
Nicaragua	니카라과	nikʰalagwa
blandon	블란돈	pɯllant͈on
tetraetro	테트라에트로	tʰetʰɯlaetʰɯlo
carreterra	카레테라	kʰaletʰela
guerra	게라	kela
Quarai	콰라이	kʰwalai
xenón	세논	senon
Quorem	쿠오렘	kʰuolem
walkirias	왈키리아스	walkʰiliasɯ
geologia	헤올로히아	heollohia
pepsina	펩시나	pʰeps͈ina
blanco	블랑코	pɯllaŋkʰo
lluvia	유비아	jubia
Güicho	귀초	kwit͡ɕʰo
gato	가토	katʰo
Gamiño	가미뇨	kaminjo
carrera	카레라	kʰalela
Lulio	룰리오	lullio
quehacer	케아세르	kʰeaselɯ
Guipuzcoa	기푸스코아	kipʰusɯkʰoa
noche	노체	not͡ɕʰe
rascador	라스카도르	lasɯkʰadolɯ
fran	프란	pʰɯlan
zagal	사갈	sagal
georgico	헤오르히코	heolɯhikʰo
lacrar	라크라르	lakʰɯlalɯ
hipo	이포	ipʰo
coccion	콕시온	kʰoks͈ion
sastreria	사스트레리아	sasɯtʰɯlelia
chicharra	치차라	t͡ɕʰit͡ɕʰala
biz	비스	pisɯ
liquidez	리키데스	likʰidesɯ
reloj	렐로	lello
Ecuador	에콰도르	ekʰwadolɯ
Pascual	파스콸	pʰasɯkʰwal
Edwin	에드윈	edɯwin
adequado	아데콰도	adekʰwado
