Berati	b e l a t i
Fieri	p i e l i
Ulpiana	u l p i a n a
Kavaja	k a b a j a
Tirana	t i l a n a
Prizreni	p ɯ l i dʒ ɯ l e n i
Peja	p e j a
Vlora	b ɯ l l o l a
Saranda	s a l a n d a
Shkumbini	s j u k u m b i n i
Shkodra	s j u k o d ɯ l a
Korça	k o l ɯ tʃ a
Lezha	l e dʒ a
Mitrovica	m i t ɯ l o b i tʃ a
Lushnja	l u s j u n j a
Kaçaniku	k a tʃ a n i k u
Durrësi	d u l ʌ s i
Gjilani	dʒ i l l a n i
Prishtina	p ɯ l i s j u t i n a
Butrinti	b u t ɯ l i n t i
Gjirokastra	dʒ i l o k a s ɯ t ɯ l a
Kruja	k ɯ l u j a
Gjakova	dʒ a k o b a
Pogradeci	p o g ɯ l a d e tʃ i
Shqipëria	s j u tʃ i p ʌ l i a
Elbasani	e l b a s a n i
