Berati	베라티	pelatʰi
Fieri	피에리	pʰieli
Ulpiana	울피아나	ulpʰiana
Kavaja	카바야	kʰabaja
Tirana	티라나	tʰilana
Prizreni	프리즈레니	pʰɯlid͡ɕɯleni
Peja	페야	pʰeja
Vlora	블로라	pɯllola
Saranda	사란다	salanda
Shkumbini	슈쿰비니	sjukʰumbini
Shkodra	슈코드라	sjukʰodɯla
Korça	코르차	kʰolɯt͡ɕʰa
Lezha	레자	led͡ɕa
Mitrovica	미트로비차	mitʰɯlobit͡ɕʰa
Lushnja	루슈냐	lusjunja
Kaçaniku	카차니쿠	kʰat͡ɕʰanikʰu
Durrësi	두러시	tulʌsi
Gjilani	질라니	t͡ɕillani
Prishtina	프리슈티나	pʰɯlisjutʰina
Butrinti	부트린티	putʰɯlintʰi
Gjirokastra	지로카스트라	t͡ɕilokʰasɯtʰɯla
Kruja	크루야	kʰɯluja
Gjakova	자코바	t͡ɕakʰoba
Pogradeci	포그라데치	pʰogɯladet͡ɕʰi
Shqipëria	슈치퍼리아	sjut͡ɕʰipʰʌlia
Elbasani	엘바사니	elbasani
