Erlander	e l l a n d e l ɯ
Kiruna	k i l u n a
Vänern	b e n e l ɯ n
tjeck	s j e k ɯ
detalj	d e t a l l i
Småland	s ɯ m o l l a n d ɯ
Carlsson	k a l s o n
bock	b o k ɯ
Sjöberg	s j e b e l i
börja	b w e l i a
och	o k ɯ
Geijer	j e i j e l ɯ
Ludvig	l u d ɯ b i g ɯ
Greta	ɡ ɯ l e t a
röd	l w e d ɯ
helgon	h e l g o n
sjukhem	s j u k ɯ h e m
Wilander	b i l l a n d e l ɯ
Lindqvist	l i n d ɯ k ɯ b i s ɯ t ɯ
Jacob	j a k o b ɯ
mjuk	m i u k ɯ
skydda	s w i d a
Luther	l u t e l ɯ
dag	d a g ɯ
lång	l o ŋ
Linköping	l i n s j e p i ŋ
tjugo	s j u g o
tjäna	s j e n a
lektion	l e k s j o n
Eslöv	e s ɯ l l w e b ɯ
Sundsvall	s u n s ɯ b a l
Östersund	w e s ɯ t e l ɯ s u n d ɯ
bank	b a ŋ k ɯ
Schack	s j a k ɯ
Alvesta	a l b e s ɯ t a
namn	n a m
Tjåkkå	s j o k o
Celsius	s e l s i u s ɯ
Lorenzo	l o l e n s o
bal	b a l
Karlgren	k a l g ɯ l e n
Lysekil	l w i s e s i l
Björk	b i e l ɯ k ɯ
Björn	b i e l ɯ n
Kattegatt	k a t e g a t ɯ
Schein	s j e i n
adjö	a j e
Boden	b o d e n
Umeå	u m e o
Ericson	e l i k s o n
folk	p o l k ɯ
Gustav	ɡ u s ɯ t a b ɯ
Nynäshamn	n w i n e s ɯ h a m
Skeppsholmen	s j e p s ɯ h o l m e n
Swedenborg	s ɯ b e d e n b o l i
skål	s ɯ k o l
Trelleborg	t ɯ l e l l e b o l i
Malmö	m a l m w e
Sankt	s a ŋ t ɯ
Gislaved	i s ɯ l l a b e d ɯ
Hjalmar	j a l m a l ɯ
hummer	h u m m e l ɯ
Svealand	s ɯ b e a l l a n d ɯ
Kerstin	s j e l ɯ s ɯ t i n
punkt	p u ŋ t ɯ
fjäril	p i e l i l
högst	h w e k s ɯ t ɯ
Jönköping	j e n s j e p i ŋ
Jansson	j a n s o n
kamp	k a m p ɯ
samtal	s a m t a l
kniv	k ɯ n i b ɯ
Dahl	d a l
Visby	b i s ɯ b w i
Karl	k a l
Agnes	a ŋ n e s ɯ
Piteå	p i t e o
Göteborg	j e t e b o l i
Skövde	s j e b ɯ d e
Göta	j e t a
Gjerstad	j e l ɯ s ɯ t a d ɯ
kung	k u ŋ
Borg	b o l i
Kalix	k a l l i k s ɯ
mjöl	m i e l
Fredrik	p ɯ l e d ɯ l i k ɯ
Storvik	s ɯ t o l ɯ b i k ɯ
Södertälje	s w e d e l ɯ t e l l i e
Halmstad	h a l l ɯ m s ɯ t a d ɯ
Magnus	m a ŋ n u s ɯ
Luleå	l u l l e o
Kjell	s j e l
Axel	a k s e l
Falun	p a l l u n
Hjälmaren	j e l m a l e n
älg	e l l i
Örebro	w e l e b ɯ l o
Gjörwell	j e l ɯ b e l
dricka	d ɯ l i k a
Uppsala	u p s a l l a
revansch	l e b a n s j u
luft	l u p ɯ t ɯ
station	s ɯ t a s j o n
Bromma	b ɯ l o m m a
Nässjö	n e s j e
Strindberg	s ɯ t ɯ l i n d ɯ b e l i
Kock	k o k ɯ
vacker	b a k e l ɯ
oktober	o k t o b e l ɯ
Oxenstjerna	o k s e n s j e l ɯ n a
Alexander	a l l e k s a n d e l ɯ
Johansson	j o h a n s o n
Sverige	s ɯ b e l i j e
knappt	k ɯ n a p t ɯ
Dannemora	d a n n e m o l a
snabbt	s ɯ n a p t ɯ
Karlshamn	k a l s ɯ h a m
Stjärneborg	s j e l ɯ n e b o l i
land	l a n d ɯ
Kjula	s j u l l a
Stockholm	s ɯ t o k o l l ɯ m
skörd	s j e l ɯ d ɯ
sex	s e k s ɯ
Hjort	j o l ɯ t ɯ
Enköping	e n s j e p i ŋ
Hälsingborg	h e l s i ŋ b o l i
Trollhättan	t ɯ l o l h e t a n
Skellefteå	s j e l l e p ɯ t e o
dans	d a n s ɯ
kedja	s j e d i a
Lund	l u n d ɯ
Wasa	b a s a
skuldra	s ɯ k u l d ɯ l a
Botkyrka	b o t s w i l ɯ k a
Jarl	j a l
Björling	b i e l l i ŋ
Mälaren	m e l l a l e n
sommar	s o m m a l ɯ
tal	t a l
Djurgården	j u l ɯ g o l ɯ d e n
Kungsholm	k u ŋ s ɯ h o l l ɯ m
Norrköping	n o l ɯ s j e p i ŋ
Hammarskjöld	h a m m a l ɯ s j e l d ɯ
zon	s o n
Skoglund	s ɯ k o g ɯ l l u n d ɯ
Ragnar	l a ŋ n a l ɯ
anka	a ŋ k a
Idre	i d ɯ l e
Zachris	s a k ɯ l i s ɯ
Borlänge	b o l l e ŋ e
Ljusnan	j u s ɯ n a n
charm	s j a l ɯ m
Grönberg	ɡ ɯ l w e n b e l i
Malmqvist	m a l l ɯ m k ɯ b i s ɯ t ɯ
Åmål	o m o l
Västerås	b e s ɯ t e l o s ɯ
Thunberg	t u n b e l i
campa	k a m p a
Skjöldebrand	s j e l d e b ɯ l a n t ɯ
tala	t a l l a
båt	b o t ɯ
hyra	h w i l a
Ystad	w i s ɯ t a d ɯ
