Erlander	엘란데르	ellandelɯ
Kiruna	키루나	kʰiluna
Vänern	베네른	penelɯn
tjeck	셰크	sjekʰɯ
detalj	데탈리	tetʰalli
Småland	스몰란드	sɯmollandɯ
Carlsson	칼손	kʰals͈on
bock	보크	pokʰɯ
Sjöberg	셰베리	sjebeli
börja	뵈리아	pwelia
och	오크	okʰɯ
Geijer	예이예르	jeijelɯ
Ludvig	루드비그	ludɯbigɯ
Greta	그레타	kɯletʰa
röd	뢰드	lwedɯ
helgon	헬곤	helgon
sjukhem	슈크헴	sjukʰɯhem
Wilander	빌란데르	pillandelɯ
Lindqvist	린드크비스트	lindɯkʰɯbisɯtʰɯ
Jacob	야코브	jakʰobɯ
mjuk	미우크	miukʰɯ
skydda	쉬다	swida
Luther	루테르	lutʰelɯ
dag	다그	tagɯ
lång	롱	loŋ
Linköping	린셰핑	lins͈jepʰiŋ
tjugo	슈고	sjugo
tjäna	셰나	sjena
lektion	렉숀	leks͈jon
Eslöv	에슬뢰브	esɯllwebɯ
Sundsvall	순스발	suns͈ɯbal
Östersund	외스테르순드	wesɯtʰelɯsundɯ
bank	방크	paŋkʰɯ
Schack	샤크	sjakʰɯ
Alvesta	알베스타	albesɯtʰa
namn	남	nam
Tjåkkå	쇼코	sjokʰo
Celsius	셀시우스	sels͈iusɯ
Lorenzo	로렌소	lolens͈o
bal	발	pal
Karlgren	칼그렌	kʰalgɯlen
Lysekil	뤼세실	lwisesil
Björk	비에르크	pielɯkʰɯ
Björn	비에른	pielɯn
Kattegatt	카테가트	kʰatʰegatʰɯ
Schein	셰인	sjein
adjö	아예	aje
Boden	보덴	poden
Umeå	우메오	umeo
Ericson	에릭손	eliks͈on
folk	폴크	pʰolkʰɯ
Gustav	구스타브	kusɯtʰabɯ
Nynäshamn	뉘네스함	nwinesɯham
Skeppsholmen	솁스홀멘	sjeps͈ɯholmen
Swedenborg	스베덴보리	sɯbedenboli
skål	스콜	sɯkʰol
Trelleborg	트렐레보리	tʰɯlelleboli
Malmö	말뫼	malmwe
Sankt	상트	saŋtʰɯ
Gislaved	이슬라베드	isɯllabedɯ
Hjalmar	얄마르	jalmalɯ
hummer	훔메르	hummelɯ
Svealand	스베알란드	sɯbeallandɯ
Kerstin	셰르스틴	sjelɯsɯtʰin
punkt	풍트	pʰuŋtʰɯ
fjäril	피에릴	pʰielil
högst	획스트	hweks͈ɯtʰɯ
Jönköping	옌셰핑	jens͈jepʰiŋ
Jansson	얀손	jans͈on
kamp	캄프	kʰampʰɯ
samtal	삼탈	samtʰal
kniv	크니브	kʰɯnibɯ
Dahl	달	tal
Visby	비스뷔	pisɯbwi
Karl	칼	kʰal
Agnes	앙네스	aŋnesɯ
Piteå	피테오	pʰitʰeo
Göteborg	예테보리	jetʰeboli
Skövde	셰브데	sjebɯde
Göta	예타	jetʰa
Gjerstad	예르스타드	jelɯsɯtʰadɯ
kung	쿵	kʰuŋ
Borg	보리	poli
Kalix	칼릭스	kʰalliks͈ɯ
mjöl	미엘	miel
Fredrik	프레드리크	pʰɯledɯlikʰɯ
Storvik	스토르비크	sɯtʰolɯbikʰɯ
