İzmir	i . dʒ ɯ . m i . l ɯ
Battani	b a . t a . n i
Beşiktaş	b e . s i ɡ . t a . s j u
Trabzon	t ɯ . l a . b ɯ . dʒ o n
Dolmabahçe	d o l . m a . b a . h ɯ . tʃ e
Patara	p a . t a . l a
Adana	a . d a . n a
Gaziantep	ɡ a . dʒ i . a n . t e . p ɯ
Kapadokya	k a . p a . d o . k i . a
Pamukkale	p a . m u . k a l . l e
Selçuk	s e l . tʃ u . k ɯ
Hattuşaş	h a . t u . s j a . s j u
Ankara	a ŋ . k a . l a
Kayseri	k a . i . s e . l i
Bursa	b u . l ɯ . s a
Arykanda	a . l i . k a n . d a
Türkiye	t w i . l ɯ . k i . j e
Mersin	m e . l ɯ . s i n
Çanakkale	tʃ a . n a . k a l . l e
Ağrı	a . l ɯ
Antalya	a n . t a l . l i . a
Topkapı	t o b . k a . p ɯ
Denizli	d e . n i . dʒ ɯ l . l i
Divriği	d i . b ɯ . l i . i
İstanbul	i . s ɯ . t a n . b u l
Safranbolu	s a . p ɯ . l a n . b o l . l u
Antakya	a n . t a . k i . a
Konya	k o . n i . a
