İzmir	이즈미르	id͡ɕɯmilɯ
Battani	바타니	patʰani
Beşiktaş	베식타슈	pesiktʰasju
Trabzon	트라브존	tʰɯlabɯd͡ɕon
Dolmabahçe	돌마바흐체	tolmabahɯt͡ɕʰe
Patara	파타라	pʰatʰala
Adana	아다나	adana
Gaziantep	가지안테프	kad͡ɕiantʰepʰɯ
Kapadokya	카파도키아	kʰapʰadokʰia
Pamukkale	파무칼레	pʰamukʰalle
Selçuk	셀추크	selt͡ɕʰukʰɯ
Hattuşaş	하투샤슈	hatʰusjasju
Ankara	앙카라	aŋkʰala
Kayseri	카이세리	kʰaiseli
Bursa	부르사	pulɯsa
Arykanda	아리칸다	alikʰanda
Türkiye	튀르키예	tʰwilɯkʰije
Mersin	메르신	melɯsin
Çanakkale	차나칼레	t͡ɕʰanakʰalle
Ağrı	아르	alɯ
Antalya	안탈리아	antʰallia
Topkapı	톱카프	tʰopkʰapʰɯ
Denizli	데니즐리	tenid͡ɕɯlli
Divriği	디브리이	tibɯlii
İstanbul	이스탄불	isɯtʰanbul
Safranbolu	사프란볼루	sapʰɯlanbollu
Antakya	안타키아	antʰakʰia
Çatalhöyük	차탈회위크	t͡ɕʰatʰalhwewikʰɯ
Konya	코니아	kʰonia
