кобзар	k o . b ɯ . dʒ a . l ɯ
Луцьк	l u . tʃ ɯ . k ɯ
Горлівка	h o . l ɯ l . l i . u . k a
Єнакієве	j e . n a . k i . j e . b e
Запоріжжя	dʒ a . p o . l i . dʒ a
Сєверодонецьк	s e . b e . l o . d o . n e . tʃ ɯ . k ɯ
Львів	l i . b i . u
Кіровоград	k i . l o . b o . h ɯ . l a . d ɯ
Чернівці	tʃ e . l ɯ . n i . u . tʃ i
Вінниця	b i n . n i . tʃ a
Одеса	o . d e . s a
Миколаїв	m i . k o l . l a . i . u
Херсон	h e . l ɯ . s o n
Дніпродзержинськ	d ɯ . n i . p ɯ . l o . dʒ e . l ɯ . dʒ i n . s ɯ . k ɯ
Рівне	l i . u . n e
Маріуполь	m a . l i . u . p o l
Суми	s u . m i
Слов'янськ	s ɯ l . l o . b i . j a n . s ɯ . k ɯ
Кременчук	k ɯ . l e . m e n . tʃ u . k ɯ
гетьман	h e . t i . m a n
бандура	b a n . d u . l a
Харків	h a . l ɯ . k i . u
Дніпропетровськ	d ɯ . n i . p ɯ . l o . p e . t ɯ . l o . u . s ɯ . k ɯ
Голодомор	h o l . l o . d o . m o . l ɯ
Євпаторія	j e . u . p a . t o . l i . j a
Тернопіль	t e . l ɯ . n o . p i l
Черкаси	tʃ e . l ɯ . k a . s i
Ананьїв	a . n a . n i . u
Чернігів	tʃ e . l ɯ . n i . h i . u
Донецьк	d o . n e . tʃ ɯ . k ɯ
Ужгород	u . dʒ u . h o . l o . d ɯ
козак	k o . dʒ a . k ɯ
Полтава	p o l . t a . b a
писанка	p i . s a n . k a
Луганськ	l u . h a n . s ɯ . k ɯ
Макіївка	m a . k i . i . u . k a
Київ	k i . i . u
Житомир	dʒ i . t o . m i . l ɯ
гопак	h o . p a . k ɯ
